,Well,Fluor,Target,Content,Sample,Cq,SQ
,A02,ROX,,Unkn,001-1,NaN,NaN
,A03,ROX,,Unkn,001-2,NaN,NaN
,A04,ROX,,Unkn,001-3,NaN,NaN
,A05,ROX,,Unkn,001-4,NaN,NaN
,A06,ROX,,Unkn,001-5,NaN,NaN
,A07,ROX,,Unkn,Blank,NaN,NaN
,A08,ROX,,Unkn,009-1,NaN,NaN
,A09,ROX,,Unkn,009-2,NaN,NaN
,B02,ROX,,Unkn,009-3,NaN,NaN
,B03,ROX,,Unkn,009-4,NaN,NaN
,B04,ROX,,Unkn,009-5,NaN,NaN
,B05,ROX,,Unkn,014-1,NaN,NaN
,B06,ROX,,Unkn,014-2,NaN,NaN
,B07,ROX,,Unkn,014-3,NaN,NaN
,B08,ROX,,Unkn,014-4,NaN,NaN
,B09,ROX,,Unkn,014-5,NaN,NaN
,C02,ROX,,Unkn,015-1,NaN,NaN
,C03,ROX,,Unkn,015-2,NaN,NaN
,C04,ROX,,Unkn,015-3,NaN,NaN
,C05,ROX,,Unkn,015-4,NaN,NaN
,C06,ROX,,Unkn,015-5,NaN,NaN
,C07,ROX,,Unkn,048-1,NaN,NaN
,C08,ROX,,Unkn,048-2,NaN,NaN
,C09,ROX,,Unkn,048-3,NaN,NaN
,D02,ROX,,Unkn,048-4,NaN,NaN
,D03,ROX,,Unkn,048-5,NaN,NaN
,D04,ROX,,Unkn,049-1,NaN,NaN
,D05,ROX,,Unkn,049-2,NaN,NaN
,D06,ROX,,Unkn,049-3,NaN,NaN
,D07,ROX,,Unkn,049-4,NaN,NaN
,D08,ROX,,Unkn,049-5,NaN,NaN
,D09,ROX,,Unkn,052-1,NaN,NaN
,E02,ROX,,Unkn,052-2,NaN,NaN
,E03,ROX,,Unkn,052-3,NaN,NaN
,E04,ROX,,Unkn,052-4,NaN,NaN
,E05,ROX,,Unkn,052-5,NaN,NaN
,E06,ROX,,Unkn,053-1,NaN,NaN
,E07,ROX,,Unkn,053-2,NaN,NaN
,E08,ROX,,Unkn,053-3,NaN,NaN
,E09,ROX,,Unkn,053-4,NaN,NaN
,F02,ROX,,Unkn,053-5,NaN,NaN
,F03,ROX,,Unkn,069-1,NaN,NaN
,F04,ROX,,Unkn,069-2,NaN,NaN
,F05,ROX,,Unkn,069-3,NaN,NaN
,F06,ROX,,Unkn,069-4,NaN,NaN
,F07,ROX,,Unkn,069-5,NaN,NaN
,F08,ROX,,Unkn,070-1,NaN,NaN
,F09,ROX,,Unkn,070-2,NaN,NaN
,G02,ROX,,Unkn,070-3,NaN,NaN
,G03,ROX,,Unkn,070-4,NaN,NaN
,G04,ROX,,Unkn,070-5,NaN,NaN
,G05,ROX,,Unkn,076-1,NaN,NaN
,G06,ROX,,Unkn,076-2,NaN,NaN
,G07,ROX,,Unkn,076-3,NaN,NaN
,G08,ROX,,Unkn,076-4,NaN,NaN
,G09,ROX,,Unkn,076-5,NaN,NaN
,H02,ROX,,Unkn,122-1,NaN,NaN
