,Well,Sample,Call,Type,RFU1,RFU2
,A01,048-1,Allele 1,Auto,2374.673425671,-1.76500665943286
,A02,048-2,Allele 1,Auto,2346.618401596,-1.3359328382403
,A03,048-3,Allele 1,Auto,2715.41074735547,0.227600821237047
,A04,014-1,Allele 1,Auto,2797.73564515608,-1.2930063341455
,A05,014-2,Allele 1,Auto,2708.34844442066,-5.63325422316484
,A06,002-1,Allele 1,Auto,2546.59361426594,-4.06185763548729
,A07,002-2,Allele 1,Auto,2551.05465701526,0.40434477309509
,A08,002-3,Allele 1,Auto,2350.00105175563,2.77477634014576
,A09,002-4,Allele 1,Auto,2419.46749825974,-3.03417154927411
,A10,002-5,Allele 1,Auto,2630.04326446668,-3.95941925185298
,A11,004-1,Allele 1,Auto,2388.2282233588,-4.51853190138809
,A12,004-2,Allele 1,Auto,2194.33872407245,-0.528663651774423
,B01,004-3,Allele 1,Auto,2495.48189202497,-5.19773211224901
,B02,004-4,Allele 1,Auto,2390.4330015576,-1.33050793786788
,B03,004-5,Allele 1,Auto,2543.42279984936,0.846164359754312
,B04,018-1,Allele 1,Auto,2981.40124021033,-6.85538391982163
,B05,018-2,Allele 1,Auto,3078.28326829164,-3.5552444881514
,B06,018-3,Allele 1,Auto,3067.20248144855,-1.02843722412808
,B07,018-4,Allele 1,Auto,3225.26542841363,-0.817529623599967
,B08,018-5,Allele 1,Auto,3225.30662236773,-1.53477879142247
,B09,019-1,Allele 1,Auto,3165.41398618959,-2.06077388374024
,B10,019-2,Allele 1,Auto,2849.16398885078,-5.39827070011734
,B11,019-3,Allele 1,Auto,2920.4753843432,-5.07970006160485
,B12,019-4,Allele 1,Auto,2888.59656969726,-2.60596952275955
,C01,019-5,Allele 1,Auto,2522.45533904339,-3.64115051257113
,C02,024-1,Allele 1,Auto,2587.84382952669,0.422893744805151
,C03,024-2,Allele 1,Auto,2598.05488743046,-1.02587211051241
,C04,024-3,Allele 1,Auto,2496.96219395479,-3.10230744178398
,C05,024-4,Allele 1,Auto,2959.06824039631,-2.70480697914718
