,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3
,1,-71.0289153029785,-12.6341378583461,-16.1838521404038,4.83088682508696,-16.9766052846644,-15.4893885299944,-19.6884801503811,-29.3998008869771,-15.9520409453244,-20.2990221601663,-9.12537902361601,15.1091882876608,4.52811435977901,-12.0800054587739,2.31456813047271,5.31941010296759,11.4795572190446,-15.3086163179069,-14.8410956654179,12.6853466185148,-1.47711697989917,6.09725051235,-21.7492205187436,-15.9000840346425,10.5682281935974,2.74338380827248,-15.5111312187114,-23.2928277001893,2.27697236172935,-10.8566679520063,1.56151535825165,0.0258679113271683,0.374439302722749,-29.8339979729567,-3.28257783892332,-29.4032415792844,6.45450242465085,-22.1148302981746,-86.0211837608613,-42.0478160750017,-2.01340045655706,7.10551959921668,-32.3515387419484,4.03016804989147,-11.1364235707688,-22.9692749908031,23.018097333349,30.118619840538,14.7654010491533,-0.185180314920217,-12.568203885804,29.639140460235,6.69741330280795,-38.0813549717009,-39.5308105161193
,2,-4.02072489741431,-1.94680352167188,8.35854441789206,-0.898669440965932,-12.5738376609033,-9.27723736969574,-15.6793712366075,-13.0275021788561,5.7811411017351,-8.72186684186499,-0.733974581207804,15.9737295118316,3.35151917034136,0.729942380219654,1.00670807324013,6.78117523800802,8.85202299944876,-8.87474417151361,-8.99559595452774,7.22815047629183,-0.636899522754902,4.18236696353188,-11.765276175207,-7.06145209373699,10.5683170858638,-0.0051920597602475,-9.9619981110759,-11.1379680630916,3.02561998467127,-6.38062058726609,4.93703475046777,4.90148258022555,0.0164107632754167,-17.1494760641731,-8.11099382457542,-5.48010175234685,8.055222009918,-11.9633665013343,-50.3416168743288,-19.655399508194,-4.19336086433805,-1.28729570176711,-18.4446086684943,5.99426651454451,-3.58340093482093,-6.84232667486049,17.1850977878858,20.3540871924215,43.0609142403732,-2.40531723954246,-6.71527002028688,15.978632804582,2.10475794011927,3.55704522181168,-24.4415210169577
,3,2.33689700033119,-0.866158665244711,4.87689060407502,8.14080798716168,-12.0276093945181,-3.65324323680125,-8.20410916073843,-1.02590166529853,5.20672101815444,4.68056258818933,-1.58714824609933,7.70448959595433,4.93908845312217,4.01506453100274,5.16526950990965,2.65210945363606,8.48611608370766,10.478788750313,-1.1437483945806,9.64112296114354,-1.38613699266079,-0.56725385755999,-1.86750111334004,-2.00971722196891,8.99909121705014,2.27143917974581,-1.83117312776949,3.60084434956616,5.91629579891833,6.45854219465491,7.10696660104213,4.26702750492132,5.82246941506128,-4.16273583059456,2.01517901080433,-2.50608468315022,10.3442332732584,-2.2614199605805,6.28449325559086,-4.1240398636628,3.39966589340929,-2.65714865755717,-14.3665143340868,10.1204474065794,7.14646458870811,0.259289688675381,11.2100189814287,21.4711568585649,21.9091894447647,2.9691017737432,2.7052835852146,10.8368960681005,-0.295046466512758,8.75411854508366,-4.34193704669906
,4,2.1588021391949,-1.4178333152804,10.0586247100337,2.65195812736783,-9.17625292009598,1.90310661130025,-2.5522349629955,2.96932380275439,6.0462692047895,-0.992387818019324,5.34709382322126,3.19911275347749,9.95101730083388,1.34458065379749,1.35652008537272,4.42310353236189,8.19082470427384,9.19241174140143,1.62873067265173,10.8447591514114,-0.713746190986058,4.12407042831956,1.07131899221986,-0.577012592737901,9.72299961420231,1.9638436506757,8.16525232453114,8.38502583766467,0.39653122332129,4.44133852798132,5.49672270270003,4.54923344329063,3.71096694804646,-3.0264432504714,1.8986631063608,4.42091785465345,5.18231228972763,8.49259699548657,-4.50557049468262,-6.22983791830848,0.0584027020631765,0.282515052138479,4.64743494978211,5.01217059612873,12.1754713862815,1.55310341724726,5.38611478242228,10.4865792674177,10.3989844480675,6.26538501563573,10.6871484495268,6.16789037952321,0.72472170783476,3.54907022787302,2.66595877944428
,5,0.500115596004434,-0.537318579123166,-1.7703260179469,4.56778791098168,-7.34092329652458,3.16665685864655,6.10117454197461,3.79542455002638,8.77719964822018,0.540963603246382,2.53531684289055,3.44988017325113,2.45643837845637,6.46554546222342,4.96722417703131,4.13864408821519,7.47084833802319,7.20901066897341,0.959917843180847,7.8032241118849,1.83471056900953,6.11735677792421,11.4614659045683,4.37986510241353,8.58143802492259,8.21767091764605,3.52915795291528,3.14981733996774,1.7258752526941,6.81900611214996,5.87732569920991,7.50439093706973,4.192874748554,7.15673540070611,2.39786247809025,8.92584301038551,4.08419297194996,5.7981522597911,-1.48103163626729,3.87275971546205,-0.115460712175263,-6.46669837420495,8.37760656014598,13.149549617217,9.43405448855083,6.93473379506304,7.4661671236131,7.48028424561971,13.8979170425291,8.12632391398938,10.5960980876007,4.86820877871196,4.65057358458125,3.87887630618343,11.0704783873266
,6,7.30743148531792,9.19494544459121,-0.00846776542539374,1.7436649758115,-2.7051449386845,3.78157279461766,5.00157383220267,6.36974537755168,5.37997714531684,7.05507188182992,3.65869025712618,1.99403177049544,0.907043727801465,4.71636655504062,4.09411058114028,9.49807838544075,3.06222967790472,6.99786004204589,5.08273698664652,4.4192451011063,4.32968226237927,7.51837566072118,3.96831576299883,7.5243021215133,4.75934469873891,9.3719427741662,7.00247010451994,1.77844319199539,-0.102277518974006,2.27942521782461,5.74271883654501,6.67220090263663,5.62583364963893,7.33476504915143,7.78496558806546,10.0725983182401,7.09913845655774,7.32901387932998,2.54316990202187,5.67982977171141,10.6058529027609,5.9991956324302,9.20399119725198,3.05774188215446,5.80704891601908,6.25779446962861,2.69895077317915,9.2290852886058,8.47598735620204,4.33856065924465,11.4814458354194,4.26739556858229,6.11005872225724,5.13196931567245,12.2004749853227
,7,-3.94647329976124,4.16614780966438,-4.15749087105041,-7.4781971200473,-4.44681697962187,6.31871192140352,3.3414404658588,5.33910446678783,3.96609146591982,2.24308646584541,3.65787458197792,-2.42076644725921,0.98062453120383,-0.595626812237697,-2.75824864319929,5.67995585817198,5.78016713840498,6.55398208421047,6.73888319287607,1.36626711224699,5.14055501580378,-0.0995635124318142,2.55339132045992,5.637250727827,-0.736839937520926,2.56972444832036,-2.09276293988069,-3.72043995975491,4.45071413698861,1.50199530828513,3.85243992429287,3.07442509435487,0.681648010991466,8.93571567283425,3.83871798844348,-2.15854932552156,-5.59806173172001,5.5085815378452,-1.7099868511159,6.87561299990375,5.27755062915594,8.91260544504757,4.89422123523809,0.988364746504885,-0.792104144831683,4.10304338161859,-4.82882514440598,2.0204487218507,0.288680379631387,-1.4497618597261,3.44532672381774,3.6312042229456,5.75763552988064,4.0735461461195,-0.0539551392203066
,8,0.0832368993337695,-1.02561629123193,-4.93652320642968,-9.11004721009294,-0.268667028594791,4.20672682988334,3.23656914509093,5.17675991486249,4.1274608292224,0.449613520049297,-0.539125755457462,-2.45138044375472,-6.50439749104589,3.40364123054042,-2.01120237240775,1.74128036737829,-2.5584481810597,-2.27165608644555,2.67553801992381,2.61583810561069,1.927672497804,-2.117341660497,1.9098229706301,0.0274088374189887,-1.75892712550785,-5.71146174959904,-4.85061047385625,-1.27671302137514,-3.46619755038364,-5.22852534046979,4.38406536205366,-1.57993440560313,-3.04803351819146,4.24298325998188,1.37368280320334,-1.68997639826011,-7.0910034385879,-4.04274416008047,-2.14411335089699,7.16084216477702,1.97532857429906,6.4331652711453,3.84166113406127,-6.9178652869241,-4.68390167063126,2.78786319732853,-5.20607107664227,-2.89769121554582,-9.26352875198199,-5.8526844267717,-3.7102672150595,1.16310571638496,2.78258216645099,-0.339657221212292,-1.07718621591175
,9,-4.30359227683493,-4.93297016893303,1.54451447893507,-4.8672062198907,2.07424277892687,2.29849976238984,5.68848380067675,4.52826465831777,-8.11781427151391,-2.84968556478589,-2.84242446325243,-6.17439542862076,-8.29338617711073,-4.65748581160233,-2.40208750565762,2.20015886967576,-1.97393669470694,-4.41034222986264,-0.491062802964279,-7.22680659248317,-0.521140859299067,-3.92415632256507,-3.47812612405824,0.828060014139737,-2.8926747676278,-11.8698172490613,-8.58159609082941,1.11421424154378,1.04615856645978,-6.35309190827638,-2.42878262837075,1.47808006497371,-3.59627945221246,-0.354225910398327,-3.03222816595917,-6.82046179366353,-11.9878590523867,-10.0092169036561,-10.7022469899493,0.97488632852037,-5.43642683612006,-0.0583753382070427,-5.28066057938349,-11.1917854980356,-12.3113553241164,-1.22659752353229,-10.2514827048271,-9.55141835549557,-12.5282073725461,-10.4508703389874,-4.92330028333618,-6.69819316367466,-5.95610283922451,-2.33897152038617,1.0806841252579
,10,-10.1860924454868,-6.71210553378069,-9.81533369748558,-12.02040042614,-2.04716383056166,-7.13835683871912,1.47485728675383,0.161957382078981,-6.23396244044852,-6.51342520660046,-4.65094678164314,-9.61315474662706,-8.99483615619283,-8.87333196381496,-9.06409063909268,-2.09900990355436,-1.93656076768002,-9.44696393968115,-2.32173324191808,-4.85401709930193,-1.59488454409211,-9.86541859705403,-9.77230250827552,-9.84796568617048,-11.2873315381139,-16.848043741833,-11.7658186214226,-9.36176431809417,-5.89933190636202,-14.459382668038,-13.0812247036947,-8.3916793428325,-10.8485776366811,-3.50729088055641,-2.2754342029325,-18.8622824418271,-13.8720138094395,-20.4319595875486,-10.2583609071307,-4.91538043266428,-9.66669002297886,-0.300391739256156,-6.01283002095943,-10.3436091505919,-11.670671165034,-12.5685597650277,-9.45921478576338,-14.2638055433754,-18.9987336371314,-12.4302370461814,-12.7910490075319,-9.00730675375144,-3.27095191451645,-12.0214880986405,-3.77632041092966
,11,-8.74753391022296,-9.01405867328776,-14.9284365412759,-9.41019507455621,5.08924523822998,-5.99933787683995,3.85602342924949,0.660654960104239,-9.12462046513701,-3.8958591606347,-7.30549865368403,-5.75389523157128,-10.4808840451242,-13.5134063679061,-8.97828005236488,-4.39009583807456,-5.68655344153194,-9.55181773640834,-2.73707634609764,-7.51157224583903,-7.35099073408446,-8.27133565081567,-8.906454681794,-7.9435434573179,-9.95994504266082,-17.3744470978277,-12.3930219049184,-10.295934640134,-12.8316097412139,-14.0251776660116,-9.31417450086155,-6.97690996260098,-3.0990172131369,-6.01039886830085,-7.3423379186861,-15.7592790557201,-20.3972640855754,-19.1147308101072,0.0215999994898084,-5.01384505802253,-9.87474273821499,-10.574340390956,-4.45583242540033,-19.0822030786862,-21.2899572831734,-9.97656852010959,-15.8227773643312,-26.0819689292525,-20.1354270560932,-11.4926724981633,-12.0957478076134,-11.2050273717018,-11.7226371773518,-12.8647606664622,-5.14872226686111
,12,-15.6722135859923,-8.23557923596127,1.20452017277103,3.05606247152627,1.99838162655624,-10.137349985619,-0.247463128622258,-9.48327223135993,-8.26072726109396,-4.17192662088837,-8.33437415317349,-13.1822762750594,-10.1671223962617,-8.80794274123173,-11.4310973595211,-13.1360688005429,-9.0859582466619,-8.34039528614494,-5.45182648729815,-15.5134107759118,-5.96617747539676,-17.0035709911722,-13.6333353069876,-8.95497433540459,-26.1632183872589,-17.2378386428413,-12.6192664498217,-14.721118995516,-17.9609943456398,-18.1664732735344,-11.6318746866914,-10.9068180461195,-5.22180877808023,-4.8863849105669,-10.2055782469447,-18.6194643693734,-17.3252982596614,-16.3619934040707,-9.37200838314038,-9.42869228884319,-14.3739356113329,-19.0353318388893,-6.97588853157731,-23.7296246338851,-19.9807113063293,-8.62636894682419,-21.6422472521358,-26.5093911662543,-31.8042712279184,-18.9323614962268,-19.4369872363641,-18.7005278551833,-16.1778330442648,-20.0232465105173,-15.6343515787498
