,Well,Fluor,Target,Content,Sample,Cq,SQ
,A06,SYBR,,Unkn,006-1,22.9759964890474,NaN
,A07,SYBR,,Unkn,006-2,23.4765658624318,NaN
,A08,SYBR,,Unkn,006-3,23.2554399578101,NaN
,A09,SYBR,,Unkn,006-4,23.3388534403172,NaN
,A10,SYBR,,Unkn,006-5,23.3118623510877,NaN
,A11,SYBR,,Unkn,012-1,23.4052460925372,NaN
,A12,SYBR,,Unkn,012-2,23.4904630121782,NaN
,B01,SYBR,,Unkn,012-3,23.5840850817083,NaN
,B02,SYBR,,Unkn,012-4,24.0148664505143,NaN
,B03,SYBR,,Unkn,012-5,23.9118862624325,NaN
,B04,SYBR,,Unkn,021-1,23.412590600001,NaN
,B05,SYBR,,Unkn,021-2,23.4877930029775,NaN
,B06,SYBR,,Unkn,021-3,23.3287793134048,NaN
,B07,SYBR,,Unkn,021-4,23.3987729535422,NaN
,B08,SYBR,,Unkn,021-5,23.4919932816357,NaN
,B09,SYBR,,Unkn,038-1,23.4186263178051,NaN
,B10,SYBR,,Unkn,038-2,23.1784081607499,NaN
,B11,SYBR,,Unkn,038-3,23.1374249897395,NaN
,B12,SYBR,,Unkn,038-4,23.1776336770739,NaN
,C01,SYBR,,Unkn,038-5,23.5335544284215,NaN
,C02,SYBR,,Unkn,043-1,23.5674086004053,NaN
,C03,SYBR,,Unkn,043-2,23.7301668875806,NaN
,C04,SYBR,,Unkn,043-3,23.7505594110941,NaN
,C05,SYBR,,Unkn,043-4,23.4214995417257,NaN
,C06,SYBR,,Unkn,043-5,23.7088759847011,NaN
,C07,SYBR,,Unkn,047-1,18.6667691725071,NaN
,C08,SYBR,,Unkn,047-2,18.5457792826876,NaN
,C09,SYBR,,Unkn,047-3,18.6516169262108,NaN
,C10,SYBR,,Unkn,047-4,18.5083084354381,NaN
,C11,SYBR,,Unkn,047-5,20.0997661927474,NaN
,C12,SYBR,,Unkn,050-1,22.7667554819786,NaN
,D01,SYBR,,Unkn,050-2,22.2575314953801,NaN
,D02,SYBR,,Unkn,050-3,22.7709584763637,NaN
,D03,SYBR,,Unkn,050-4,23.3257735875919,NaN
,D04,SYBR,,Unkn,050-5,24.2244696701827,NaN
,D05,SYBR,,Unkn,061-1,19.856516443018,NaN
,D06,SYBR,,Unkn,061-2,18.6433646326489,NaN
,D07,SYBR,,Unkn,061-3,20.0358812502649,NaN
,D08,SYBR,,Unkn,061-4,19.3614120590716,NaN
,D09,SYBR,,Unkn,061-5,19.9081148891716,NaN
,D10,SYBR,,Unkn,062-1,23.3448426244507,NaN
,D11,SYBR,,Unkn,062-2,23.6717044508757,NaN
,D12,SYBR,,Unkn,062-3,23.0426487214682,NaN
,E01,SYBR,,Unkn,062-4,22.4158569189716,NaN
,E02,SYBR,,Unkn,062-5,23.1562537704164,NaN
,E03,SYBR,,Unkn,064-1,23.180022082906,NaN
,E04,SYBR,,Unkn,064-2,23.7689958550578,NaN
,E05,SYBR,,Unkn,064-3,25.8667720774279,NaN
,E06,SYBR,,Unkn,064-4,23.7862247523712,NaN
,E07,SYBR,,Unkn,064-5,24.2378417280808,NaN
,E08,SYBR,,Unkn,065-1,20.8628308150123,NaN
,E09,SYBR,,Unkn,065-2,21.4192413223647,NaN
,E10,SYBR,,Unkn,065-3,18.1329141075499,NaN
,E11,SYBR,,Unkn,065-4,17.9431793464791,NaN
,E12,SYBR,,Unkn,065-5,18.4928776714872,NaN
,F01,SYBR,,Unkn,077-1,19.8764294581887,NaN
,F02,SYBR,,Unkn,077-2,22.8290941326997,NaN
,F03,SYBR,,Unkn,077-3,20.3088313313423,NaN
,F04,SYBR,,Unkn,077-4,21.9441582777886,NaN
,F05,SYBR,,Unkn,077-5,20.5243716532388,NaN
,F06,SYBR,,Unkn,084-1,23.2391989591332,NaN
,F07,SYBR,,Unkn,084-2,24.9208788701951,NaN
,F08,SYBR,,Unkn,084-3,25.4697733385672,NaN
,F09,SYBR,,Unkn,084-4,23.3473678413686,NaN
,F10,SYBR,,Unkn,084-5,24.1413848558024,NaN
,F11,SYBR,,Unkn,089-1,23.1157372609875,NaN
,F12,SYBR,,Unkn,089-2,23.1339634147589,NaN
,G01,SYBR,,Unkn,089-3,25.5582641405566,NaN
,G02,SYBR,,Unkn,089-4,24.7357988977375,NaN
,G03,SYBR,,Unkn,089-5,26.8234502827188,NaN
,G04,SYBR,,Unkn,096-1,20.4762929098015,NaN
,G05,SYBR,,Unkn,096-2,19.3406596523974,NaN
,G06,SYBR,,Unkn,096-3,22.3507675206382,NaN
,G07,SYBR,,Unkn,096-4,20.5104484298007,NaN
,G08,SYBR,,Unkn,096-5,25.1070990667527,NaN
,G09,SYBR,,Unkn,103-1,26.557369496706,NaN
,G10,SYBR,,Unkn,103-2,25.0283132372694,NaN
,G11,SYBR,,Unkn,103-3,23.7188506804129,NaN
,G12,SYBR,,Unkn,103-4,20.6012420562059,NaN
,H01,SYBR,,Unkn,103-5,20.0759138996303,NaN
,H02,SYBR,,Unkn,109-1,19.4992310919722,NaN
,H03,SYBR,,Unkn,109-2,20.100895716672,NaN
,H04,SYBR,,Unkn,109-3,20.1409471034557,NaN
,H05,SYBR,,Unkn,109-4,19.9538875435262,NaN
,H06,SYBR,,Unkn,109-5,19.9785709756185,NaN
,H07,SYBR,,Unkn,048-1,16.9509513394416,NaN
,H08,SYBR,,Unkn,048-2,17.1578723627769,NaN
,H09,SYBR,,Unkn,014-1,18.4633221089495,NaN
,H10,SYBR,,Unkn,014-2,19.1313148302678,NaN
,H11,SYBR,,Unkn,014-3,19.2431637816453,NaN
,H12,SYBR,,Unkn,Blank,NaN,NaN
