sample_no,jar_soil_mass,cn_soil_mass,n_extraction_soil_mass,n_leachate_glassware_pre,n_leachate_soil_mass_pre,n_leachate_soil_glassware_post,n_leachate_soil_mass_post,water_absorbed_soil,water_leachate
7,500.28,,5.037,236.26,15.03,260.47,24.21,9.18,15.82
8,522.75,,5.065,216.74,15.08,237.28,20.54,5.46,19.54
11,507.79,,5.004,228.3,15,246.28,17.98,2.98,22.02
26,518.99,,5.012,182.87,15.04,203.74,20.87,5.83,19.17
28,504.72,,5.027,197.98,14.99,217.74,19.76,4.77,20.23
30,531.01,,4.998,193.49,15.08,215.55,22.06,6.98,18.02
34,528.96,,5.054,218.93,15.02,242.32,23.39,8.37,16.63
51,520.02,,5.039,190.64,15,214.54,23.9,8.9,16.1
56,529.77,,4.987,205.46,15.04,227.66,22.2,7.16,17.84
59,530.15,,5.003,203.79,15.08,225.5,21.71,6.63,18.37
60,530.38,,5.064,213.74,14.96,235.76,22.02,7.06,17.94
67,532.45,,4.987,208.47,15.07,229.83,21.36,6.29,18.71
73,527.22,,4.987,241.4,15.06,263.2,21.8,6.74,18.26
79,529.19,,4.998,214.02,14.99,236.74,22.72,7.73,17.27
86,498.74,,5.024,218.48,14.98,242.38,23.9,8.92,16.08
87,532.77,,5.023,205.71,14.98,229,23.29,8.31,16.69
101,521.29,,5.034,212.41,14.99,235.74,23.33,8.34,16.66
104,520.16,,5.003,207.36,15.02,228.07,20.71,5.69,19.31
124,523.01,,5.021,210.75,15.06,234.06,23.31,8.25,16.75
129,518.94,,4.936,214.32,15,234.29,19.97,4.97,20.03
