,Well,Sample,Call,Type,RFU1,RFU2
,A01,048-1,Allele 1,Auto,1639.39765953501,-4.96622074178367
,A02,048-2,Allele 1,Auto,1853.35763931379,-3.33867591933358
,A03,014-1,Allele 1,Auto,1794.65859354072,-2.96539771392918
,A04,014-2,Allele 1,Auto,1710.15882442975,68.228809593144
,A05,014-3,Allele 1,Auto,1953.4779415771,-1.56383099105369
,A06,007-1,Allele 1,Auto,1528.91518353866,-3.00793166580206
,A07,007-2,Allele 1,Auto,1571.70363188903,-1.43180321158115
,A08,007-3,Allele 1,Auto,1399.16532427578,-6.12233550773044
,A09,007-4,Allele 1,Auto,1607.19050015291,-3.9096836798667
,A10,007-5,Allele 1,Auto,1424.03169912819,-2.13685861353724
,A11,008-1,Allele 1,Auto,1747.5792162405,-1.81573541243233
,A12,008-2,Allele 1,Auto,1731.23476127358,-3.9902100435238
,B01,008-3,Allele 1,Auto,1768.99498529741,68.6517942196147
,B02,008-4,Allele 1,Auto,1727.41394174012,-4.14820211950973
,B03,008-5,Allele 1,Auto,1721.51975574695,-5.02520670283729
,B04,011-1,Allele 1,Auto,2075.42684008573,-3.89279869537131
,B05,011-2,Allele 1,Auto,1950.03423210237,-2.1322947285762
,B06,011-3,Allele 1,Auto,2138.34069865195,74.4776630099313
,B07,011-4,Allele 1,Auto,2091.98706618649,-5.58062749205465
,B08,011-5,Allele 1,Auto,1850.22765762854,103.628950298259
,B09,026-1,Allele 1,Auto,1741.93382071308,-5.79197213687303
,B10,026-2,Allele 1,Auto,1622.49702209791,-3.20469847644654
,B11,026-3,Allele 1,Auto,1690.84022152347,-6.45572255379557
,B12,026-4,Allele 1,Auto,1835.18531243641,-1.66436262600064
,C01,026-5,Allele 1,Auto,1570.97616902597,0.868286668705878
,C02,028-1,Allele 1,Auto,1577.36365672836,-1.45875207285417
,C03,028-2,Allele 1,Auto,1763.41737626012,-1.63729774232979
,C04,028-3,Allele 1,Auto,1362.43765895589,92.6537707893922
,C05,028-4,Allele 1,Auto,1263.58892598675,-5.21457827596669
,C06,028-5,Allele 1,Auto,1609.72584172781,-2.33268702960231
,C07,030-1,Allele 1,Auto,1574.50548298388,-3.25098945691116
,C08,030-2,Allele 1,Auto,1615.42387926358,-0.876325776837803
,C09,030-3,Allele 1,Auto,1613.87023581064,-0.377498496469343
,C10,030-4,Allele 1,Auto,1764.35658766538,-6.33610258017279
,C11,030-5,Allele 1,Auto,1785.4033565898,-3.47680675441234
,C12,034-1,Allele 1,Auto,1802.50510053958,-1.63472827829173
,D01,034-2,Allele 1,Auto,1624.45343427484,-3.62068414995338
,D02,034-3,Allele 1,Auto,1653.58585062606,53.4230943114239
,D03,034-4,Allele 1,Auto,1528.3015100605,144.948676997776
,D04,034-5,Allele 1,Auto,1491.59118188201,-7.11559774421448
,D05,051-1,Allele 1,Auto,1436.06083348021,-3.25048486095602
,D06,051-2,Allele 1,Auto,1401.91396723587,-6.44998522263131
,D07,051-3,Allele 1,Auto,1620.33201702016,-5.3801476284907
,D08,051-4,Allele 1,Auto,1688.211133823,-3.82681652786914
,D09,051-5,Allele 1,Auto,1329.1800376943,-2.23382498028332
,D10,056-1,Allele 1,Auto,1603.18030552238,-3.86526875629306
,D11,056-2,Allele 1,Auto,1803.1737318617,-1.11502938361718
,D12,056-3,Allele 1,Auto,1724.26739843921,-4.28959201411499
,E01,056-4,Allele 1,Auto,1549.33484003033,-1.93460130716312
,E02,056-5,Allele 1,Auto,1416.21457229947,-1.80782853740857
,E03,059-1,Allele 1,Auto,1160.74505559564,-7.4727586242916
,E04,059-2,Allele 1,Auto,1430.47428686813,-3.53929014989944
,E05,059-3,Allele 1,Auto,1635.70336146585,-5.71867520761816
,E06,059-4,Allele 1,Auto,1619.83311249244,0.953968236980018
,E07,059-5,Allele 1,Auto,1576.58346676114,-2.16430016527875
,E08,086-1,Allele 1,Auto,1448.80183630407,-4.66379828658228
,E09,086-2,Allele 1,Auto,1371.2720269557,-6.74681795080414
,E10,086-3,Allele 1,Auto,1459.97400252956,-7.19424716533558
,E11,086-4,Allele 1,Auto,1536.3097011319,-1.55563592056251
,E12,086-5,Allele 1,Auto,1530.66942456428,-0.278872596258225
,F01,087-1,Allele 1,Auto,1753.15096978413,1.5114980713588
,F02,087-2,Allele 1,Auto,1520.0917398504,-1.93880822728806
,F03,087-3,Allele 1,Auto,1629.77827908303,0.0314419366163747
,F04,087-4,Allele 1,Auto,1766.45605654295,-2.05426612820747
,F05,087-5,Allele 1,Auto,1720.06897676769,-1.54308214568164
,F06,101-1,Allele 1,Auto,1509.66316569105,33.6060612058986
,F07,101-2,Allele 1,Auto,1452.11217232436,-7.81851738043633
,F08,101-3,Allele 1,Auto,1504.50807363988,-3.03352756623326
,F09,101-4,Allele 1,Auto,1365.43489491791,-4.56885759834722
,F10,101-5,Allele 1,Auto,1561.68604657602,-3.68417668454413
,F11,104-1,Allele 1,Auto,1637.76603942854,-7.97639542997013
,F12,104-2,Allele 1,Auto,1621.3836594191,-5.68662170265452
,G01,104-3,Allele 2,Auto,-4.76933012075733,9.91054046391673
,G02,104-4,Allele 1,Auto,1516.35409744221,3.22233851656074
,G03,104-5,Allele 1,Auto,1426.98333682089,-0.943787925319612
,G04,112-1,Allele 1,Auto,1869.931087073,-1.06455586123548
,G05,112-2,Allele 1,Auto,2120.78040820191,-0.865202362574109
,G06,112-3,Allele 1,Auto,2090.17237218252,-2.08536279983764
,G07,112-4,Allele 1,Auto,2192.23837445887,-4.46157906260942
,G08,112-5,Allele 1,Auto,2250.75466183583,-3.84036065135115
,G09,120-1,Allele 1,Auto,1832.79810780513,-3.72597864586533
,G10,120-2,Allele 1,Auto,1605.10293410883,2.58244268469798
,G11,120-3,Allele 1,Auto,1556.06749066291,133.455096899339
,G12,120-4,Allele 1,Auto,1679.11302118732,-7.94191112368662
,H01,120-5,Allele 1,Auto,1540.06274306503,-5.34683026068387
,H02,123-1,Allele 1,Auto,1662.41251076527,-1.80334145748748
,H03,123-2,Allele 1,Auto,1789.03462477144,-4.35495625837302
,H04,123-3,Allele 1,Auto,1744.15322835591,-3.26824389351532
,H05,123-4,Allele 1,Auto,1826.3663260637,-3.25504428018303
,H06,123-5,Allele 1,Auto,1667.35214917673,-2.14607134106745
,H07,125-1,Allele 1,Auto,1876.61868290191,-7.47616738025727
,H08,125-2,Allele 1,Auto,1925.4485795969,-0.968179760553994
,H09,125-3,Allele 1,Auto,1879.95444231184,-5.7925603321155
,H10,125-4,Allele 1,Auto,1788.49206836976,-3.05000934427426
,H11,125-5,Allele 1,Auto,1861.75708892156,-4.11131197158602
,H12,Blank,Allele 1,Auto,-3.20708901769831,-3.85213543671307
