,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,G06,SYBR,,Unkn,122-3,2137.38957302575,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,122-4,2205.0612808078,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,122-5,2132.48807114256,,Unknown,Unassigned,False
,G09,SYBR,,Unkn,131-1,1946.89570697821,,Unknown,Unassigned,False
,G10,SYBR,,Unkn,131-2,2008.80440891081,,Unknown,Unassigned,False
,G11,SYBR,,Unkn,131-3,2017.37977780106,,Unknown,Unassigned,False
,G12,SYBR,,Unkn,131-4,1841.38903630853,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,131-5,1962.2834420164,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,132-1,1908.89534627212,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,132-2,1959.51772422574,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,132-3,1987.73845377713,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,132-4,1947.06743331482,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,132-5,1931.72737607305,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,048-1,2050.20549330686,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,048-2,2057.2538251436,,Unknown,Unassigned,False
,H09,SYBR,,Unkn,014-1,1969.33057097993,,Unknown,Unassigned,False
,H10,SYBR,,Unkn,014-2,2128.60629668051,,Unknown,Unassigned,False
,H11,SYBR,,Unkn,014-3,1780.60060056018,,Unknown,Unassigned,False
,H12,SYBR,,Unkn,Blank,-0.856488033904498,,Unknown,Unassigned,False
