,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,003-1,NaN,NaN
,A02,ROX,,Unkn,003-2,NaN,NaN
,A03,ROX,,Unkn,003-3,2.64310068152221,NaN
,A04,ROX,,Unkn,003-4,NaN,NaN
,A05,ROX,,Unkn,003-5,NaN,NaN
,A06,ROX,,Unkn,010-1,NaN,NaN
,A07,ROX,,Unkn,010-2,NaN,NaN
,A08,ROX,,Unkn,010-3,NaN,NaN
,A09,ROX,,Unkn,010-4,NaN,NaN
,A10,ROX,,Unkn,010-5,NaN,NaN
,A11,ROX,,Unkn,013-1,NaN,NaN
,A12,ROX,,Unkn,013-2,NaN,NaN
,B01,ROX,,Unkn,013-3,NaN,NaN
,B02,ROX,,Unkn,013-4,NaN,NaN
,B03,ROX,,Unkn,013-5,3.50840170330043,NaN
,B04,ROX,,Unkn,016-1,NaN,NaN
,B05,ROX,,Unkn,016-2,NaN,NaN
,B06,ROX,,Unkn,016-3,NaN,NaN
,B07,ROX,,Unkn,016-4,2.81564713580326,NaN
,B08,ROX,,Unkn,016-5,NaN,NaN
,B09,ROX,,Unkn,017-1,5.02167723529008,NaN
,B10,ROX,,Unkn,017-2,NaN,NaN
,B11,ROX,,Unkn,017-3,5.29667639122177,NaN
,B12,ROX,,Unkn,017-4,NaN,NaN
,C01,ROX,,Unkn,017-5,NaN,NaN
,C02,ROX,,Unkn,020-1,NaN,NaN
,C03,ROX,,Unkn,020-2,NaN,NaN
,C04,ROX,,Unkn,020-3,NaN,NaN
,C05,ROX,,Unkn,020-4,NaN,NaN
,C06,ROX,,Unkn,020-5,NaN,NaN
,C07,ROX,,Unkn,020-6,NaN,NaN
,C08,ROX,,Unkn,020-7,NaN,NaN
,C09,ROX,,Unkn,020-8,NaN,NaN
,C10,ROX,,Unkn,020-9,NaN,NaN
,C11,ROX,,Unkn,020-10,NaN,NaN
,C12,ROX,,Unkn,022-1,NaN,NaN
,D01,ROX,,Unkn,022-2,NaN,NaN
,D02,ROX,,Unkn,022-3,NaN,NaN
,D03,ROX,,Unkn,022-4,NaN,NaN
,D04,ROX,,Unkn,022-5,NaN,NaN
,D05,ROX,,Unkn,027-1,NaN,NaN
,D06,ROX,,Unkn,027-2,NaN,NaN
,D07,ROX,,Unkn,027-3,NaN,NaN
,D08,ROX,,Unkn,027-4,1.33769876810253,NaN
,D09,ROX,,Unkn,027-5,NaN,NaN
,D10,ROX,,Unkn,035-1,NaN,NaN
,D11,ROX,,Unkn,035-2,NaN,NaN
,D12,ROX,,Unkn,035-3,NaN,NaN
,E01,ROX,,Unkn,035-4,1.50218531310807,NaN
,E02,ROX,,Unkn,035-5,NaN,NaN
,E03,ROX,,Unkn,085-1,NaN,NaN
,E04,ROX,,Unkn,085-2,8.96105612240806,NaN
,E05,ROX,,Unkn,085-3,NaN,NaN
,E06,ROX,,Unkn,085-4,NaN,NaN
,E07,ROX,,Unkn,085-5,NaN,NaN
,E08,ROX,,Unkn,090-1,NaN,NaN
,E09,ROX,,Unkn,090-2,NaN,NaN
,E10,ROX,,Unkn,090-3,NaN,NaN
,E11,ROX,,Unkn,090-4,NaN,NaN
,E12,ROX,,Unkn,090-5,NaN,NaN
,F01,ROX,,Unkn,091-1,NaN,NaN
,F02,ROX,,Unkn,091-2,NaN,NaN
,F03,ROX,,Unkn,091-3,NaN,NaN
,F04,ROX,,Unkn,091-4,1.13279001288765,NaN
,F05,ROX,,Unkn,091-5,NaN,NaN
,F06,ROX,,Unkn,094-1,NaN,NaN
,F07,ROX,,Unkn,094-2,NaN,NaN
,F08,ROX,,Unkn,094-3,NaN,NaN
,F09,ROX,,Unkn,094-4,NaN,NaN
,F10,ROX,,Unkn,094-5,NaN,NaN
,F11,ROX,,Unkn,121-1,NaN,NaN
,F12,ROX,,Unkn,121-2,NaN,NaN
,G01,ROX,,Unkn,121-3,NaN,NaN
,G02,ROX,,Unkn,121-4,NaN,NaN
,G03,ROX,,Unkn,121-5,NaN,NaN
,G04,ROX,,Unkn,122-1,NaN,NaN
,G05,ROX,,Unkn,122-2,NaN,NaN
,G06,ROX,,Unkn,122-3,NaN,NaN
,G07,ROX,,Unkn,122-4,NaN,NaN
,G08,ROX,,Unkn,122-5,NaN,NaN
,G09,ROX,,Unkn,131-1,NaN,NaN
,G10,ROX,,Unkn,131-2,NaN,NaN
,G11,ROX,,Unkn,131-3,NaN,NaN
,G12,ROX,,Unkn,131-4,NaN,NaN
,H01,ROX,,Unkn,131-5,NaN,NaN
,H02,ROX,,Unkn,132-1,NaN,NaN
,H03,ROX,,Unkn,132-2,NaN,NaN
,H04,ROX,,Unkn,132-3,NaN,NaN
,H05,ROX,,Unkn,132-4,NaN,NaN
,H06,ROX,,Unkn,132-5,NaN,NaN
,H07,ROX,,Unkn,048-1,NaN,NaN
,H08,ROX,,Unkn,048-2,NaN,NaN
,H09,ROX,,Unkn,014-1,NaN,NaN
,H10,ROX,,Unkn,014-2,NaN,NaN
,H11,ROX,,Unkn,014-3,NaN,NaN
,H12,ROX,,Unkn,Blank,NaN,NaN
,A01,SYBR,,Unkn,003-1,25.3111890743579,NaN
,A02,SYBR,,Unkn,003-2,24.0596520927171,NaN
,A03,SYBR,,Unkn,003-3,24.310401648486,NaN
,A04,SYBR,,Unkn,003-4,24.0726965147399,NaN
,A05,SYBR,,Unkn,003-5,24.1450984275252,NaN
,A06,SYBR,,Unkn,010-1,23.6827393077372,NaN
,A07,SYBR,,Unkn,010-2,24.4065344832192,NaN
,A08,SYBR,,Unkn,010-3,24.1366208742301,NaN
,A09,SYBR,,Unkn,010-4,24.3978079218795,NaN
,A10,SYBR,,Unkn,010-5,24.4676123826561,NaN
,A11,SYBR,,Unkn,013-1,24.1094524238396,NaN
,A12,SYBR,,Unkn,013-2,23.9456918309611,NaN
,B01,SYBR,,Unkn,013-3,23.8916701764187,NaN
,B02,SYBR,,Unkn,013-4,24.9520079985534,NaN
,B03,SYBR,,Unkn,013-5,24.7480786783737,NaN
,B04,SYBR,,Unkn,016-1,21.9067586521558,NaN
,B05,SYBR,,Unkn,016-2,22.0115749784121,NaN
,B06,SYBR,,Unkn,016-3,22.042859299434,NaN
,B07,SYBR,,Unkn,016-4,22.8531750024808,NaN
,B08,SYBR,,Unkn,016-5,22.1370075637255,NaN
,B09,SYBR,,Unkn,017-1,22.2675958709789,NaN
,B10,SYBR,,Unkn,017-2,22.7505556406026,NaN
,B11,SYBR,,Unkn,017-3,22.8142699448826,NaN
,B12,SYBR,,Unkn,017-4,21.9402329496854,NaN
,C01,SYBR,,Unkn,017-5,22.0930362974626,NaN
,C02,SYBR,,Unkn,020-1,21.4172520649863,NaN
,C03,SYBR,,Unkn,020-2,21.3385769524063,NaN
,C04,SYBR,,Unkn,020-3,21.2792042606565,NaN
,C05,SYBR,,Unkn,020-4,21.2973677279553,NaN
,C06,SYBR,,Unkn,020-5,21.3260817324486,NaN
,C07,SYBR,,Unkn,020-6,21.7710017453205,NaN
,C08,SYBR,,Unkn,020-7,21.5725025938431,NaN
,C09,SYBR,,Unkn,020-8,21.492269343554,NaN
,C10,SYBR,,Unkn,020-9,21.5810332661923,NaN
,C11,SYBR,,Unkn,020-10,21.4312635109554,NaN
,C12,SYBR,,Unkn,022-1,19.9058234905164,NaN
,D01,SYBR,,Unkn,022-2,19.6475716531394,NaN
,D02,SYBR,,Unkn,022-3,19.116578904934,NaN
,D03,SYBR,,Unkn,022-4,19.5823441247797,NaN
,D04,SYBR,,Unkn,022-5,19.5633745755229,NaN
,D05,SYBR,,Unkn,027-1,22.138726769567,NaN
,D06,SYBR,,Unkn,027-2,22.7834247757154,NaN
,D07,SYBR,,Unkn,027-3,22.2498636413343,NaN
,D08,SYBR,,Unkn,027-4,22.0481171378534,NaN
,D09,SYBR,,Unkn,027-5,22.3830735397262,NaN
,D10,SYBR,,Unkn,035-1,22.6345019894106,NaN
,D11,SYBR,,Unkn,035-2,22.038141962078,NaN
,D12,SYBR,,Unkn,035-3,25.031934099202,NaN
,E01,SYBR,,Unkn,035-4,22.1151108342697,NaN
,E02,SYBR,,Unkn,035-5,22.2524398970092,NaN
,E03,SYBR,,Unkn,085-1,24.4250442476707,NaN
,E04,SYBR,,Unkn,085-2,24.5039887184649,NaN
,E05,SYBR,,Unkn,085-3,24.5238393480692,NaN
,E06,SYBR,,Unkn,085-4,25.7656962295975,NaN
,E07,SYBR,,Unkn,085-5,25.0326979299204,NaN
,E08,SYBR,,Unkn,090-1,24.0708823233927,NaN
,E09,SYBR,,Unkn,090-2,23.6374420090024,NaN
,E10,SYBR,,Unkn,090-3,23.7644029636699,NaN
,E11,SYBR,,Unkn,090-4,24.0046952792183,NaN
,E12,SYBR,,Unkn,090-5,23.384785039011,NaN
,F01,SYBR,,Unkn,091-1,23.6004264617324,NaN
,F02,SYBR,,Unkn,091-2,24.491071324723,NaN
,F03,SYBR,,Unkn,091-3,24.2282207891406,NaN
,F04,SYBR,,Unkn,091-4,24.7298401548708,NaN
,F05,SYBR,,Unkn,091-5,24.6340433583639,NaN
,F06,SYBR,,Unkn,094-1,20.1920904636615,NaN
,F07,SYBR,,Unkn,094-2,20.1745568672244,NaN
,F08,SYBR,,Unkn,094-3,20.5443882623875,NaN
,F09,SYBR,,Unkn,094-4,21.6486176710305,NaN
,F10,SYBR,,Unkn,094-5,20.3180498196549,NaN
,F11,SYBR,,Unkn,121-1,23.6984696452218,NaN
,F12,SYBR,,Unkn,121-2,23.6643504517557,NaN
,G01,SYBR,,Unkn,121-3,23.462993123321,NaN
,G02,SYBR,,Unkn,121-4,23.9433480754293,NaN
