,Well,Sample,Call,Type,RFU1,RFU2
,A01,003-1,Allele 1,Auto,1614.32883135807,-1.04409968335767
,A02,003-2,Allele 1,Auto,2166.56136849349,-1.09560722593733
,A03,003-3,Undetermined,Auto,2045.14450670556,70.8474389151179
,A04,003-4,Allele 1,Auto,2262.279370326,-3.72257699401689
,A05,003-5,Allele 1,Auto,2339.59741925739,-6.06165515655994
,A06,010-1,Allele 1,Auto,2350.34775994627,-1.84947230016223
,A07,010-2,Allele 1,Auto,2130.23954928578,-6.52916642687705
,A08,010-3,Allele 1,Auto,2211.86548994286,-1.26833591761988
,A09,010-4,Allele 1,Auto,1787.21383197422,-0.892505490285657
,A10,010-5,Allele 1,Auto,2059.02681559784,-9.52783216387525
,A11,013-1,Allele 1,Auto,2248.96031408324,1.83990905022711
,A12,013-2,Allele 1,Auto,2110.99386054372,-4.57909486353628
,B01,013-3,Allele 1,Auto,2271.31294468348,-2.90502634599716
,B02,013-4,Allele 1,Auto,2058.81478495472,1.71564836581501
,B03,013-5,Allele 1,Auto,2229.4367344642,46.1561523756163
,B04,016-1,Allele 1,Auto,1967.94925120017,-1.09665454608376
,B05,016-2,Allele 1,Auto,1924.90787470029,-1.1961596139804
,B06,016-3,Undetermined,Auto,2060.50079331385,96.5299505215835
,B07,016-4,Undetermined,Auto,1771.18395565853,82.3262833390336
,B08,016-5,Allele 1,Auto,2097.77263429754,-4.19595652848238
,B09,017-1,Undetermined,Auto,2113.50573023472,84.6782820428111
,B10,017-2,Allele 1,Auto,2137.10764231027,-3.91104890855559
,B11,017-3,Undetermined,Auto,1843.39618526582,82.3215936246929
,B12,017-4,Allele 1,Auto,2020.7960527701,-2.23719484329513
,C01,017-5,Allele 1,Auto,1796.58027625227,-3.47088271397524
,C02,020-1,Allele 1,Auto,1730.83768882205,-0.379552386749765
,C03,020-2,Heterozygote,Auto,1807.99010215478,126.684120049794
,C04,020-3,Undetermined,Auto,1985.42502593313,105.106909707057
,C05,020-4,Allele 1,Auto,1870.88665502456,-1.91344064504983
,C06,020-5,Allele 1,Auto,1972.9355865215,0.528807114052142
,C07,020-6,Heterozygote,Auto,1865.21322581484,129.507984233987
,C08,020-7,Allele 1,Auto,1884.10747917265,-6.77834326962829
,C09,020-8,Allele 1,Auto,1979.3740765037,-3.6290931956014
,C10,020-9,Allele 1,Auto,1910.08338690801,0.979997743921103
,C11,020-10,Allele 1,Auto,1769.93293968262,-0.464040159792148
,C12,022-1,Allele 1,Auto,1568.55449799643,0.872471290555495
,D01,022-2,Allele 1,Auto,1731.21556709473,-0.510280087772571
,D02,022-3,Allele 1,Auto,1863.95259554693,2.75141718374198
,D03,022-4,Allele 1,Auto,1757.84888039658,-2.87411016076567
,D04,022-5,Allele 1,Auto,1846.30732674688,3.37387090929496
,D05,027-1,Allele 1,Auto,1953.68972645296,-5.36124530659254
,D06,027-2,Heterozygote,Auto,1810.46336435828,130.144137477189
,D07,027-3,Allele 1,Auto,1914.41124654853,-2.68132392906819
,D08,027-4,Heterozygote,Auto,1892.12270543135,111.005783020644
,D09,027-5,Allele 1,Auto,1882.30144077513,-1.86228981245313
,D10,035-1,Allele 1,Auto,1814.53885939452,-2.13923320701269
,D11,035-2,Allele 1,Auto,2014.86217115284,-7.48795888215227
,D12,035-3,Allele 1,Auto,1615.48371238217,-3.71647694040985
,E01,035-4,Undetermined,Auto,1830.94582807945,87.6804436286347
,E02,035-5,Allele 1,Auto,2022.47435126235,1.14888718206703
,E03,085-1,Allele 1,Auto,2091.74360583559,-5.2409361716127
,E04,085-2,Allele 1,Auto,2145.75950200106,-3.26572111307087
,E05,085-3,Allele 1,Auto,2255.43461462943,-0.267084148960294
