sample_no,drying_treatment,date,cc_treatment,pre_post_wet,median,iqr,day_elapsed
6,one_wk,2022-02-23,no_cc,post,4421.5578887135225,636.2296532334367,1
6,one_wk,2022-02-24,no_cc,post,723.9052546613295,2549.457645003814,2
10,four_wk,2022-03-16,no_cc,post,4110.204939053308,846.0388602673729,1
10,four_wk,2022-03-17,no_cc,post,1113.0195265238629,519.8555303591572,2
12,one_wk,2022-02-23,no_cc,post,3446.271439151021,742.9257209756856,1
12,one_wk,2022-02-24,no_cc,post,1902.386643667793,2126.986482245243,2
13,four_wk,2022-03-16,no_cc,post,4037.586779248514,1089.790211683226,1
13,four_wk,2022-03-17,no_cc,post,1242.6644517486216,411.7989847793465,2
18,one_wk,2022-02-23,no_cc,post,3540.73817883419,696.8868438213153,1
18,one_wk,2022-02-24,no_cc,post,2410.593161934633,2103.620240822404,2
22,two_wk,2022-03-02,w_cc,post,98790.23869544698,11088.198184979687,NA
22,two_wk,2022-03-03,w_cc,post,101540.62868957684,97906.73601362643,NA
23,initial_dry,2022-02-15,no_cc,post_co2,4282.27270783661,771.2116901589893,NA
23,initial_dry,2022-02-16,no_cc,post_co2,3194.9087414039836,1135.816694296026,NA
23,initial_dry,2022-02-17,no_cc,post_co2,2865.0962669434925,541.0489823237203,NA
23,initial_dry,2022-02-18,no_cc,post_co2,3153.348829188669,371.3495927138829,NA
23,initial_dry,2022-02-19,no_cc,post_co2,3544.9194425391524,386.93656936526077,NA
23,two_wk,2022-03-08,no_cc,post_co2,389.744408057125,45.056936523739694,0
23,two_wk,2022-03-09,no_cc,post_co2,3062.5371057078364,448.1450899556753,1
23,two_wk,2022-03-10,no_cc,post_co2,3706.4771551970657,220.4827830739041,2
23,two_wk,2022-03-11,no_cc,post_co2,2038.354897306523,168.19798274870323,3
23,two_wk,2022-03-12,no_cc,post_co2,3825.0761440102897,1355.7514558877187,4
31,one_wk,2022-02-23,w_cc,post,94562.12713285579,26405.597455958836,1
31,one_wk,2022-02-24,w_cc,post,205027.0361220916,50045.75482592988,2
33,one_wk,2022-02-22,w_cc,post_co2,9278.46460488618,1099.595438485303,0
33,one_wk,2022-02-23,w_cc,post_co2,49215.49538519746,9171.654726965033,1
33,one_wk,2022-02-24,w_cc,post_co2,71427.35079422819,2540.520995393963,2
33,one_wk,2022-02-25,w_cc,post_co2,35268.232778204,5460.692296035842,3
33,one_wk,2022-02-26,w_cc,post_co2,44178.24225668117,25885.09543592749,4
36,initial_dry,2022-02-15,no_cc,post_co2,4517.105372151284,82.82535556902803,NA
