,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A12,B1,B2,B3,B4,B5,B6,B7,B8,B12,C1,C2,C3,C4,C5,C6,C7,C8,C12,D1,D2,D3,D4,D5,D6,D7,D8,D12,E1,E2,E3,E4,E5,E6,E7,E8,E12,F1,F2,F3,F4,F5,F6,F7,F8,F12,G1,G2,G3,G4,G5,G6,G7,G8,G12,H1,H2,H3,H4,H5,H6,H7,H8,H12
,1,-12.3878050041794,-16.3700379773368,3.65006813706987,44.0846590400524,57.7843213717833,59.7993684374665,-2.96326423081746,-49.0264517472847,-6.87451966942717,-35.0558334987759,-77.7451336970494,-33.9910812028156,-98.4525146309074,-80.1938804998545,-70.5403809417326,-4.82116056389805,2.42441568350159,-22.8974948876644,-3.50356888384022,-29.6753508377269,-25.4698389835444,-23.1365477885397,-7.39917800122885,-8.11635226554608,-13.9533163020283,-23.2519971268789,-9.88665099741684,-47.38289352726,-62.6168941945821,-41.4905536773445,-27.2602683801738,-89.8678537956903,-35.7355457948156,-49.6917104534559,-45.6560252327527,-8.91732162389872,-40.8195660989873,-14.6006098800685,-13.3094147089951,-13.6611033695781,-5.90582202884161,-24.1244508308155,-22.9587127477121,-16.7446142431477,11.4362866836641,-95.9915301893557,-6.52959273291845,-19.3430133971101,-14.2766369339411,-32.9394368726007,-16.9611713452969,-42.6927782804946,-4.11109907977925,9.38821084227902,-49.0490155937759,-16.010655549846,-10.8166449138048,-0.670624726660208,-2.51376375371274,-13.0628683975642,-1.18193988044595,-5.42259516475906,-48.4511515664872,-80.2763563291101,-139.937568102605,-17.5356401620415,-53.9306781026421,-20.7244831183866,-18.0695739002608,-39.6194546349916,-29.6527786703559,-21.942375476001
,2,-7.29401834931787,-15.6979542856143,-0.769801781182196,28.4192241992337,72.4491519146295,73.9324852223845,10.6015549132362,-37.5549477256836,-2.11219919881023,-13.0320486934766,-60.1199154724891,-22.4355512900083,-56.5122136852578,-51.5689252025927,-59.8779665990378,8.52041709785544,38.6635844587599,-19.2771608128764,-4.77361376135286,-12.5878044846895,-7.08078505915682,-1.75692598116439,-3.68861509584985,-5.01608074316255,-5.43549097637151,-14.1763814001665,-7.64020188400491,-34.3361112299945,-4.81836021314894,-6.84655990038982,-8.11530902932145,-31.4941557129432,-10.9221725645116,-7.3483813146504,-12.4775433526606,0.665397611201115,-35.453081903951,-2.87126976671152,-2.45580367066668,-2.8999898351758,-3.24676436900836,-0.268914453100024,-6.12096595340472,-3.75587298222445,12.6650909216914,-72.678183742888,3.03506942415333,-5.56317751845154,-0.381428822593989,-7.20162937065652,3.61300606807617,5.92987329992002,9.2286965600324,15.2776394915477,-21.7131747028634,-4.36189367327688,-1.51157251263976,2.07340901913403,1.60261887253318,-2.20193907588464,2.20271463313156,3.79034538891347,-27.7686097037927,-35.1826742934659,-42.9776859826666,-5.86239782220355,-30.2684022769099,-5.0239316795155,-6.9079318182753,-29.5459206733781,-14.5687811065332,-1.36504267694136
,3,-2.24559832848536,-4.95181014721811,-7.59968839368366,5.20074223988831,34.9841894430638,70.5988875415983,14.9052372155866,-28.5113097654557,-7.25641423627212,1.84712805555637,-11.776393194657,-15.4080068699582,-12.0467464478852,-33.280707814487,-36.2152354793661,11.8897661357651,48.7567568551317,-19.8669460118062,1.20632925560403,-4.66374121347599,-1.34380136130312,-3.67420481960926,-1.01167396433812,-3.87332404715517,-0.581077213897061,-6.81799154511691,-2.45405420669613,-11.8097992682779,4.90334979421141,2.10952981995615,1.02066712391616,-3.42413722445144,-0.641481305317939,-2.98509097234864,-1.25280059270972,-7.87289611928099,-24.1327007588184,0.35703796453754,-1.44372996279026,1.33823330784162,2.69246091493369,0.317257779338433,1.60669623281592,-0.27585630945805,11.5138454139833,-38.1820828439954,3.4796171848825,3.22349918981035,5.30184069095048,-1.19203387606285,5.51259996781482,2.80097572610384,12.4655612613738,10.2488660528734,-7.44614574144589,-1.72899992018665,1.48032405341337,6.55138061435537,1.76162429766691,-3.32557683463347,2.61096137879986,3.94556810845415,-18.1305903439757,-20.2609611575572,-21.521191069703,4.97429485458679,-22.55160916565,-2.78890454500606,-3.3521301587225,-23.6155390647618,-4.00976856019815,-4.81272959602029
,4,1.6628242142724,-5.70636448570394,-4.7797557324534,1.66146638255532,11.3846733588525,68.2249901075506,18.7066167882605,-24.1957302283363,-2.9402446225331,4.62178197955245,-4.6598254104938,-10.0740179317158,-12.3597533196366,-19.3824801923615,-31.4996926013573,0.882038603121146,37.5345579736409,-19.943450320699,-3.57702460513474,-0.493417640194821,-1.96947173203353,1.12905440893246,-3.82869632120992,-3.88532367003927,-2.96179080353932,-0.53618047979262,-6.76664968792193,-5.73149244099886,7.18747701715574,0.198163485304576,1.55626696748732,-3.88159577404485,4.48417872416667,3.69496013759999,3.3518153025484,0.878732503554602,-20.0216138316305,7.3229509456346,0.883164579367985,-0.419174313669828,2.13694042016323,1.61415080513871,-1.20019470028183,3.48199308730591,7.67174522558707,-10.8298651300952,5.76401188548198,5.4976549896578,6.81570558775593,-0.853604098652795,6.82598642036631,6.73202637503982,6.16975506023846,17.0197793857124,-4.42508791795854,1.38154563945182,-1.48240905948433,2.32318766964681,2.38632191553006,-0.519549316924895,2.24025025699757,3.65303036770774,-9.74961430232497,-25.1137945048185,-12.6580834178931,0.457605583909753,-17.7063221150197,-2.92886951149967,-8.47496191166147,-16.7120977138261,-1.23518621466201,-7.35273310141201
,5,-3.13931747708921,-4.93250598236727,-1.47635502309731,-0.243916466697101,4.89436333980211,28.6798635331361,19.489200194123,-17.4097800302566,0.968000840263812,3.31997823366646,2.54278680422067,-3.93765117776775,-4.92565301190734,-16.7145933548441,-16.0542643981057,1.75735739951415,23.9481380580482,-12.6050639721866,-0.988823684996078,-0.908969592985613,-1.11740438895367,-1.46314583415187,-1.95628332795013,-0.50915986650125,2.28933109225727,-1.13984363929876,-12.8688858885957,-7.61245655709945,7.61133102277972,2.97378541721173,3.4997081626052,1.172544596639,9.84035800274432,6.66776516140908,1.60875289109617,-1.98011544287647,-18.4525326686685,3.71749211442284,-1.28839568639114,-0.501934019567216,0.855263274463596,5.80671364344698,4.33283172913207,4.1428350235019,1.47425142421753,-8.04390808033395,5.84421566625618,5.10475526830548,5.99237943748722,0.595461439831524,6.2029255106739,3.30907540223416,8.42758288513278,11.1362893011878,-1.70620933858936,3.33973001507184,0.791218499663046,5.28247707387436,2.24135787472217,5.75204775001521,2.45526115910343,2.841490333195,-0.959320297838985,-14.6125142673354,4.12039148714939,4.26054753563767,4.56733920744136,-4.10189402251262,-3.06181884692205,-25.1568872578287,-4.73036744800629,-6.83850992908174
,6,0.569218769258896,-3.65804679727171,-1.68673871552028,-0.870142922607101,-1.33168939239204,0.847163616182115,20.2913349076603,-13.1368822101558,6.07345894614446,2.36558130047661,3.66380480156749,4.20263430633622,0.258489124877087,-10.4172505217211,-8.5419936765461,-2.57531688687823,13.5980382603516,-10.8216283207521,-1.93029025381111,-3.63264332630115,1.22043745876863,-0.705954208629919,0.652898674790777,-0.487781299013932,-1.05169226844464,-0.387511934111444,-9.57959269231696,-6.15663349728311,7.10267796988001,4.2164339314445,3.37840450722554,1.94170081385391,8.13484840273622,-1.26303541410243,-0.540888791237194,0.585957591307761,-9.10326270750238,2.88117406678293,-1.1816086098197,2.19285251926431,1.551090699616,1.53787743979547,-0.373346406687233,-0.731972568159563,-1.05903736253276,-13.3830352771274,4.33540806253753,3.92077793800399,3.68814359762428,0.974366960580937,5.23368171059019,0.461510697363337,3.56595517624146,10.513000665846,0.769767823980146,1.68654799137645,-2.69218225401619,-0.549231670032441,1.61831413192006,2.85106453545995,0.769061346704802,5.58464784257421,0.184146809822323,-10.3258734745486,1.95941863709095,3.10472667261502,-2.48428894767358,0.265122976396924,-7.26460981273976,-9.82570162851152,-12.0197428923766,-4.2666264328509
,7,-1.10495126522619,-4.98424357941985,-2.34908037456808,-1.862878035005,-4.88603022596317,-5.82353953792563,21.3877580870915,-10.7847084529621,14.6243735152319,2.60476104242662,4.17855107005501,2.30239391276973,2.66377875847411,-3.56721511008709,0.795171314484833,2.75311023685936,4.1448342378153,-3.90451582981268,-2.21378446411563,0.496813370827113,1.59506757534336,-3.39325265884236,3.54944497392671,-1.3486783838498,2.81172538709006,-0.21756202869301,-7.8308823103871,-1.24529113750077,1.00339692713942,-1.19518968574585,2.02448625168912,-0.158489883465791,5.63241069378046,-1.27690368433468,1.03454305475407,-9.06519323780321,-3.17412420220808,-1.07955220953409,0.938223274830307,-2.38489056985782,0.415247448600439,0.144962945472344,4.81008308822857,1.34640404388665,-0.524844620553722,4.72444184531923,2.50981946831644,2.80856175708595,0.723059211194595,2.30028466781778,3.80346727502517,3.14124338670717,4.55550491960366,7.90366922873773,-3.51063887141709,-0.108188025359444,-2.16851969603886,-0.343160334625281,0.371582377112948,2.9210539586602,5.32582113190892,1.62484298172285,-0.784042393555865,2.25557837171209,7.6761761106377,-3.70500255136722,5.88298457326482,4.63494653561611,-11.4944148616632,-12.2571034314437,-6.52428545728708,-5.94771123075498
,8,-3.69562176517229,-5.88336481931901,-2.3852970085486,-1.169365214967,-7.65089896043173,-15.6053980734509,23.536263768087,-10.2905980497162,10.6878114891316,0.904549535832757,4.1384684557429,5.62126587995454,7.14501005486454,-4.37680994239918,1.39991943057294,6.07360175536769,-5.41272381894214,15.7632479685058,1.92405941337893,-1.57526184688959,-0.862521343686694,1.20134501021448,1.34224861413395,2.50146883223715,-1.56432753753097,0.26667289046236,-6.00604351087668,-1.91959739281037,-3.13718798104037,3.58669166970958,0.411514863772785,1.98077635340906,5.22776990314514,0.647665605844395,4.02325879024056,-7.82481947973156,0.150986317496063,-1.07479146834021,-1.03606714932039,1.19621689650012,3.83070381181506,2.21475835427555,-0.0269006416683624,2.93991399967535,-2.84888943062242,5.11555852918809,1.19333849357129,0.607292565228969,2.05359535334765,-5.83101411136749,2.72036742017068,5.04104516448251,1.27719449000097,12.5828506712091,-5.10426454919616,-1.15745332656525,-1.72811463839616,1.93174765127378,0.104717056055809,0.974131858963574,1.04242919890248,-1.04698190440467,5.45406882586485,-5.50302174164381,3.50508049394512,-5.00734747217348,-0.532382407258865,0.810591919596391,-11.1710980389394,-4.21753661446792,-10.8638606644508,-3.3724121946866
,9,-1.43725443543372,-3.08058007632326,-2.79786506640676,0.499115758053449,-5.93638545616113,-20.538508463892,13.064044402628,-3.91913972425755,-5.60226797535173,4.01401575972295,3.90428462432646,6.84474016113745,6.27668079777823,4.09075670757784,5.67943753219212,13.9841491469621,-20.9190090161942,31.6986419518648,2.32517003111388,-0.266469810071158,0.453845322404959,3.7531490666679,3.2094778441674,1.76593388523042,0.3029486892774,0.779885258948525,-2.48283010968908,6.90422728940757,-0.00588301995321672,0.788147194945395,-0.892348699466462,4.36251031945631,3.83309746902796,0.87279779194705,0.653492740326783,-9.48781039843607,8.93188832354554,0.67471895304152,-1.00059912308552,0.211831600912774,1.64406509954779,1.37477861896286,-1.26402464180455,-2.09385650599506,-3.18439431682782,9.51631065068796,1.28873475660809,0.00582836367190491,4.65380639655677,2.32786248184539,0.799681095703969,-0.148285181665869,0.511344029545853,3.76826540542697,-1.10292746764571,-1.17477302897836,0.420396541768241,0.411960087759326,-0.725260323615506,2.00076344758872,-0.0592376649501603,-2.88606245761412,2.32562922772968,-9.8980088641988,-1.51704673405629,-0.402439892612165,-2.02735301595385,1.74951678541947,7.68479568340581,-4.50182711620437,39.9726929765825,4.12710576756626
,10,0.411064321147023,0.170452033994934,-4.30743036084368,1.07261572697917,-7.11999865235748,-3.9366119603078,-3.44606046429863,9.75088287334165,-10.9007625027281,2.93137471779983,3.93128421067104,5.08328105835471,7.50290577671467,8.21029224466474,8.93811853678911,20.7882047916473,-18.2487717266786,55.1857077827694,-4.87815845761861,2.56622466298404,-1.28869438496849,2.40132940916192,0.345912377036257,3.78978191937131,-1.6793030456447,0.876064099878022,-11.9403381906122,0.778263099743072,0.707194709982105,1.59648458358242,0.577381209183083,1.83710133646628,4.13988945919482,-0.620472058727501,2.27544881200356,0.537111138972705,7.54215526088774,0.381432049829982,0.856071846075793,-1.04129988350678,-4.07491064818396,0.719488753055884,0.158052748317459,-2.45966211732684,-0.163049195304666,8.41188602478269,0.0370422687346945,-0.990160329209023,-4.03887006123523,0.853681774283814,-0.788281288377069,-2.56328178523927,-0.807544649694592,-10.0656560357002,3.77241823377926,-0.287979331405647,-0.407067912403818,1.65545690196859,0.101762360660511,0.635657177821486,-3.54461922702285,-3.18862952792097,0.736216122401856,42.9235394968182,5.16999542385884,1.31009956558546,6.07254910768597,-1.11332060738869,2.52611504374408,-8.76420038748938,22.1895660728205,-0.409602920925408
