sample_no,cc_treatment,drying_treatment,pre_post_wet,samp_med_bact,samp_med_fung,samp_ratio
1,no_cc,initial,initial,2.717692301663983e-5,2.0109671839484806e-7,0.007399539612034849
2,w_cc,two_wk,pre,6.772572777908627e-5,6.564448917209599e-7,0.009692696014463063
3,no_cc,all_dry,all_dry,3.594396256818431e-5,4.7889899495749946e-8,0.0013323489140882744
4,w_cc,two_wk,pre,7.96722286744802e-5,9.358151631476941e-7,0.011745813801333325
5,w_cc,two_wk,cw,8.448331433097562e-5,8.633121097238133e-7,0.010218729184104486
6,no_cc,one_wk,post,5.33350853364361e-5,1.0139994973986182e-7,0.001901186603531878
7,no_cc,one_wk,pre,4.103151127840716e-5,9.03575583773508e-8,0.002202150385450255
8,no_cc,one_wk,cw,3.059630016164554e-5,1.2635951405317314e-7,0.004129895228690854
9,w_cc,initial,initial,5.312805611925655e-5,1.796404553719172e-6,0.03381272880917726
10,no_cc,four_wk,post,4.2456580431516146e-5,4.753818098758108e-8,0.0011196893509655523
11,w_cc,one_wk,cw,8.196030968349575e-5,9.81491736096024e-7,0.011975207754658665
12,no_cc,one_wk,post,5.033027913055314e-5,8.237177460803306e-8,0.0016366246329444466
13,no_cc,four_wk,post,4.278077046418268e-5,5.750296708050976e-8,0.001344131170537308
14,w_cc,all_dry,all_dry,7.452744395565119e-5,1.4899523057712674e-6,0.019991995252888167
15,no_cc,initial,initial,1.798531216255977e-5,5.8477330955357973e-8,0.003251393716540039
16,w_cc,four_wk,cw,6.608138611995282e-5,2.479624398040117e-7,0.0037523795180976257
17,w_cc,four_wk,cw,7.49976836734597e-5,2.1643805548543809e-7,0.002885929869885189
18,no_cc,one_wk,post,4.010529704635896e-5,6.897237095453312e-8,0.0017197820745425676
19,no_cc,two_wk,pre,5.2960469609609034e-5,1.404695570746945e-7,0.002652347271656519
20,w_cc,four_wk,cw,1.1432603623063621e-4,4.0451773831184225e-7,0.0035382818441792763
21,no_cc,four_wk,pre,3.6327776642762816e-5,8.022247092540831e-8,0.0022082956442474756
22,w_cc,two_wk,post,1.2724580231558577e-4,1.3783311500297697e-6,0.010832036302551916
24,w_cc,two_wk,cw,8.833031255490664e-5,4.0000812099756415e-7,0.004528548687619743
25,no_cc,two_wk,cw,5.535896785763098e-5,7.578752865098753e-8,0.001369019900188413
