,Well,Fluor,Target,Content,Sample,Cq,SQ
,A02,ROX,,Unkn,019-1,NaN,NaN
,A03,ROX,,Unkn,019-2,NaN,NaN
,A04,ROX,,Unkn,019-3,NaN,NaN
,A05,ROX,,Unkn,Blank,NaN,NaN
,A06,ROX,,Unkn,022-1,NaN,NaN
,A07,ROX,,Unkn,022-2,NaN,NaN
,A08,ROX,,Unkn,022-3,NaN,NaN
,A09,ROX,,Unkn,022-4,NaN,NaN
,B02,ROX,,Unkn,022-5,NaN,NaN
,B03,ROX,,Unkn,032-1,NaN,NaN
,B04,ROX,,Unkn,032-2,NaN,NaN
,B05,ROX,,Unkn,032-3,NaN,NaN
,B06,ROX,,Unkn,032-4,NaN,NaN
,B07,ROX,,Unkn,032-5,NaN,NaN
,B08,ROX,,Unkn,042-1,NaN,NaN
,B09,ROX,,Unkn,042-2,NaN,NaN
,C02,ROX,,Unkn,042-3,NaN,NaN
,C03,ROX,,Unkn,042-4,NaN,NaN
,C04,ROX,,Unkn,042-5,NaN,NaN
,C05,ROX,,Unkn,044-1,NaN,NaN
,C06,ROX,,Unkn,044-2,NaN,NaN
,C07,ROX,,Unkn,044-3,NaN,NaN
,C08,ROX,,Unkn,044-4,NaN,NaN
,C09,ROX,,Unkn,044-5,NaN,NaN
,D02,ROX,,Unkn,045-1,NaN,NaN
,D03,ROX,,Unkn,045-2,NaN,NaN
,D04,ROX,,Unkn,045-3,NaN,NaN
,D05,ROX,,Unkn,045-4,NaN,NaN
,D06,ROX,,Unkn,045-5,NaN,NaN
,D07,ROX,,Unkn,099-1,NaN,NaN
,D08,ROX,,Unkn,099-2,NaN,NaN
,D09,ROX,,Unkn,099-3,NaN,NaN
,E02,ROX,,Unkn,099-4,NaN,NaN
,E03,ROX,,Unkn,099-5,NaN,NaN
,E04,ROX,,Unkn,100-1,NaN,NaN
,E05,ROX,,Unkn,100-2,NaN,NaN
,E06,ROX,,Unkn,100-3,NaN,NaN
,E07,ROX,,Unkn,100-4,NaN,NaN
,E08,ROX,,Unkn,100-5,NaN,NaN
,E09,ROX,,Unkn,114-1,NaN,NaN
,F02,ROX,,Unkn,114-2,NaN,NaN
,F03,ROX,,Unkn,114-3,NaN,NaN
,F04,ROX,,Unkn,114-4,NaN,NaN
,F05,ROX,,Unkn,114-5,NaN,NaN
,F06,ROX,,Unkn,116-1,NaN,NaN
,F07,ROX,,Unkn,116-2,NaN,NaN
,F08,ROX,,Unkn,116-3,NaN,NaN
,F09,ROX,,Unkn,116-4,NaN,NaN
,G02,ROX,,Unkn,116-5,NaN,NaN
,G03,ROX,,Unkn,117-1,NaN,NaN
,G04,ROX,,Unkn,117-2,NaN,NaN
,G05,ROX,,Unkn,117-3,NaN,NaN
,G06,ROX,,Unkn,117-4,NaN,NaN
,G07,ROX,,Unkn,117-5,NaN,NaN
,G08,ROX,,Unkn,121-1,NaN,NaN
,G09,ROX,,Unkn,121-2,NaN,NaN
,H02,ROX,,Unkn,121-3,NaN,NaN
,H03,ROX,,Unkn,121-4,NaN,NaN
,H04,ROX,,Unkn,121-5,NaN,NaN
,H05,ROX,,Unkn,122-1,NaN,NaN
,H06,ROX,,Unkn,122-2,NaN,NaN
,H07,ROX,,Unkn,122-3,NaN,NaN
,H08,ROX,,Unkn,122-4,NaN,NaN
,H09,ROX,,Unkn,122-5,NaN,NaN
,A02,SYBR,,Unkn,019-1,14.6333777514697,NaN
,A03,SYBR,,Unkn,019-2,14.5762200574137,NaN
,A04,SYBR,,Unkn,019-3,14.6008727815465,NaN
,A05,SYBR,,Unkn,Blank,36.4753652684701,NaN
,A06,SYBR,,Unkn,022-1,12.9585833044809,NaN
,A07,SYBR,,Unkn,022-2,13.0481023504103,NaN
,A08,SYBR,,Unkn,022-3,13.7240763007207,NaN
,A09,SYBR,,Unkn,022-4,14.1755348878802,NaN
,B02,SYBR,,Unkn,022-5,13.0537924140955,NaN
,B03,SYBR,,Unkn,032-1,27.6207047817363,NaN
,B04,SYBR,,Unkn,032-2,27.7236573927653,NaN
,B05,SYBR,,Unkn,032-3,27.5032797905147,NaN
,B06,SYBR,,Unkn,032-4,27.4644407368056,NaN
,B07,SYBR,,Unkn,032-5,28.0094040033442,NaN
,B08,SYBR,,Unkn,042-1,28.7056629180314,NaN
,B09,SYBR,,Unkn,042-2,29.2718127018601,NaN
,C02,SYBR,,Unkn,042-3,28.0831392817571,NaN
,C03,SYBR,,Unkn,042-4,28.2525585568303,NaN
,C04,SYBR,,Unkn,042-5,27.7500315574988,NaN
,C05,SYBR,,Unkn,044-1,14.291306649555,NaN
,C06,SYBR,,Unkn,044-2,14.3044722747159,NaN
,C07,SYBR,,Unkn,044-3,14.2401820583127,NaN
,C08,SYBR,,Unkn,044-4,14.3317804045032,NaN
,C09,SYBR,,Unkn,044-5,14.332473054199,NaN
,D02,SYBR,,Unkn,045-1,13.7019370345655,NaN
,D03,SYBR,,Unkn,045-2,13.6273519257015,NaN
,D04,SYBR,,Unkn,045-3,13.2876182945285,NaN
,D05,SYBR,,Unkn,045-4,13.3492019571547,NaN
,D06,SYBR,,Unkn,045-5,13.2715238014345,NaN
,D07,SYBR,,Unkn,099-1,14.531692587725,NaN
,D08,SYBR,,Unkn,099-2,14.517988698903,NaN
,D09,SYBR,,Unkn,099-3,14.7921260776157,NaN
,E02,SYBR,,Unkn,099-4,14.4580075154086,NaN
,E03,SYBR,,Unkn,099-5,14.6144747200349,NaN
,E04,SYBR,,Unkn,100-1,13.3772655553921,NaN
,E05,SYBR,,Unkn,100-2,13.3178514335419,NaN
,E06,SYBR,,Unkn,100-3,13.2029534768822,NaN
,E07,SYBR,,Unkn,100-4,13.3871240536425,NaN
,E08,SYBR,,Unkn,100-5,13.1817011767571,NaN
,E09,SYBR,,Unkn,114-1,13.727614110301,NaN
,F02,SYBR,,Unkn,114-2,14.7634988995907,NaN
,F03,SYBR,,Unkn,114-3,14.3928783036144,NaN
,F04,SYBR,,Unkn,114-4,14.2962616208637,NaN
,F05,SYBR,,Unkn,114-5,14.1965032875297,NaN
,F06,SYBR,,Unkn,116-1,14.6237386273652,NaN
,F07,SYBR,,Unkn,116-2,14.7683736118398,NaN
,F08,SYBR,,Unkn,116-3,14.8435736225853,NaN
,F09,SYBR,,Unkn,116-4,15.0628343180181,NaN
,G02,SYBR,,Unkn,116-5,15.3012761954742,NaN
,G03,SYBR,,Unkn,117-1,14.3411600477361,NaN
,G04,SYBR,,Unkn,117-2,14.076173369692,NaN
,G05,SYBR,,Unkn,117-3,14.1223278424857,NaN
,G06,SYBR,,Unkn,117-4,13.8896844456138,NaN
,G07,SYBR,,Unkn,117-5,14.1254161840811,NaN
,G08,SYBR,,Unkn,121-1,13.9842424678385,NaN
,G09,SYBR,,Unkn,121-2,14.8888740402648,NaN
,H02,SYBR,,Unkn,121-3,15.3058238540937,NaN
,H03,SYBR,,Unkn,121-4,14.6429446072425,NaN
,H04,SYBR,,Unkn,121-5,14.8016312563804,NaN
