,Cycle,A2,A3,A4,A5,A6,A7,A8,A9,B2,B3,B4,B5,B6,B7,B8,B9,C2,C3,C4,C5,C6,C7,C8,C9,D2,D3,D4,D5,D6,D7,D8,D9,E2,E3,E4,E5,E6,E7,E8,E9,F2,F3,F4,F5,F6,F7,F8,F9,G2,G3,G4,G5,G6,G7,G8,G9,H2,H3,H4,H5,H6,H7,H8,H9
,1,7.48177276497518,1.36635838778238,-2.42769358835221,-24.7269322335983,0.746389170435123,-38.4735318680014,-12.8613997018083,-0.719686062055189,10.834683249107,17.9087470280529,-7.89617547653279,14.9155556420778,-10.3947275881919,-13.2450482405425,-9.01152906103835,17.2994776983942,12.1596974046306,-4.49378926322834,-7.18354000183945,18.2639430949534,13.7437171360807,23.0646854091769,21.5477637494591,-38.5900096057649,-1.53009542297286,12.6087179879337,20.2671876233953,14.9953265337481,4.83511234610887,15.5792019878199,3.7499294130148,5.12735762618786,-13.5571967381939,-5.62253664193895,28.2372776698594,14.4862620933941,20.2834684993454,-3.19749609659902,10.9922309084659,13.1833146207887,-33.7718882324443,0.719939323060316,-15.3189434066503,-4.63783295308394,-31.2905063929447,2.74891528724402,-3.21534227571192,-0.490589726693543,-21.3308977731144,5.46589878808709,-12.3882123890471,-3.05903110067948,-0.61529961866654,-8.44186995369182,8.87077969223537,7.88639489502157,-34.516466919797,-12.5947815723262,-11.8087784625977,-9.4696200948365,3.77776067101559,-39.6192472922439,-17.0963840124709,-0.528407811951183
,2,11.9193124722278,-0.488920308830075,12.1069705438035,-14.2722970508439,5.59207021958218,-24.8421984346792,-11.0450594487925,-2.55790643305681,9.82624417191028,17.2775652793439,4.02323886919021,16.8975003700934,2.05411292722511,5.0807216906087,-2.20074722831305,10.7368965077558,13.534774417446,-3.13012910228827,11.857848626275,19.7183338067712,14.3416017016498,20.3382211312801,18.3025567591776,-12.1904694069667,5.16473669081734,17.6203408995229,21.986024776199,15.8710966996914,14.8041969761716,17.546780428514,17.353656362036,14.2305254133489,-3.88824211509245,6.89083044110293,20.4582967472261,14.6515506457731,14.8097037580333,22.689335505012,17.1299123221088,14.5626385444043,-21.4977905085043,2.56080030835119,-4.59642509165269,0.608677036978861,-1.50271319212379,16.7664305302201,4.04729127390328,14.6409520675084,-15.4588915438835,13.7439699212068,-3.55054317217264,-2.28921483004342,4.95558224062779,0.114927135318339,17.0145221046937,14.5945888890938,-25.021468158604,-5.05929570511717,-8.66906132112808,-4.51665452657153,8.54858857656973,-12.3216183670311,-8.60763377138665,6.1491107160432
,3,6.4866432335748,9.56083168528039,8.66841640472967,-11.9443405587253,4.06037100352341,-18.2660913534482,-3.48875297300583,-0.256720679137288,8.84253703966306,14.462072162054,3.41006899883132,9.41885360249535,0.254531485420102,10.4112989153723,1.05203187875759,6.67267151430315,9.62122332349963,0.771621599455557,12.7879713681323,12.8937136570567,9.81824882689989,14.3923655282078,15.1763938260992,4.54231459095536,10.9711193125354,15.849003396072,19.1272883353349,11.0744272933052,10.8708019578639,16.366852777106,12.9080362837685,11.276097885223,-0.80907285586818,12.8268689483311,18.2245316804106,12.9072083967785,9.54572547259841,14.6417326102537,12.6976509817723,9.61337103060941,-5.06936781804234,0.910947800207396,1.72586878782249,0.454365086091912,6.62266543166243,10.1761893410062,5.23778411130979,12.4893277299448,-12.6973675179115,11.242165093146,9.84998746618794,8.48394116941927,3.77221208923038,16.9199632661216,13.5032776597318,5.03456240854757,-14.016443785476,-6.10176091135145,-2.6056063433125,-3.87258945423446,8.00617551375308,-9.71673848568253,-2.17738358586621,1.56148348040051
,4,6.49523909264781,5.9503233859632,6.62599468811004,4.99124268240757,6.65854789010564,-11.1426031162973,-5.05328178281297,-1.31037440067121,8.43623240429042,8.65616411811698,4.97972171113042,7.53250446385664,5.23728730816902,4.74342397997998,1.01539355869591,5.93762759610536,8.35203956807436,1.85953781479338,12.9124809201235,10.8318732169578,9.64045212033534,12.0781075524019,11.5149194702281,2.77994279961922,9.18829041410936,11.3868307293997,13.3810342686011,8.80343530071468,10.8055376177977,12.5723861386632,9.59325586391105,5.14316614682184,4.19953757911253,9.68821857568219,11.6061625526077,10.0561815869846,6.87718507017644,14.0838750392545,9.32802809580789,5.37575584171282,0.00205037635350891,4.60806329964089,6.57076257840617,5.90933511612002,1.78610814733293,6.73964921053721,3.23727727728647,10.9454975661893,-8.46202148281827,11.2239236255004,10.3300689678194,7.42053209658889,4.93653156144273,9.93813900694067,7.72327524787443,9.73628644005976,-12.3326515443437,-1.44131525498278,2.63651033434326,2.22643599971616,3.36287089956613,-8.37061080151761,-3.77595682206493,-0.0433592051240339
,5,7.3474577742918,9.53740668248156,10.1728033420659,6.59630711484169,4.16382758414056,-1.3057642134504,1.41905324740901,2.33276407566837,3.28272179257374,10.0651128409872,6.2672406657357,7.68531503652594,2.69779384986987,8.59305651809518,3.41040220810874,-0.533262614658724,6.71407421393542,-0.525776868601497,7.16068140801917,9.31217875149787,2.55151048845391,5.79748329221184,9.80198415187033,4.32854708536888,7.9867713678791,9.442859366216,7.34922446338442,9.53380317287838,7.26851955996653,9.00966780841736,4.04705531457194,10.3474544571473,5.80116099827319,6.76650254918422,13.3769955130101,6.76440673594834,5.05617020017326,8.26245663586315,4.19055272383639,6.98174267650847,1.66530438552263,3.11527620787774,-0.176920212928053,0.799612581914062,3.22261913692228,4.21372939954017,7.27442593182968,7.8139426742041,-3.44504199263201,6.87032227601321,4.21968535771384,4.23460036815595,4.67822654295378,8.74140432287822,1.90443930020638,6.09268464718525,-1.48417371666255,6.14341198804959,3.16058557784072,2.63587406667602,3.69043401916224,-5.75973100356441,-0.754154211707373,10.3667092628407
,6,1.02474382032369,7.04600999554168,2.74677967967,4.3128461349479,7.15408048281734,-2.18293126712751,2.86477769924204,2.57493010384178,-0.821817557034137,7.8145694859677,0.233515853889003,1.82472157021266,4.87297530700607,2.61199655322343,7.03158710413618,1.32010085572256,5.43684200039115,-0.0158994688008534,2.57436735527199,5.99467977786753,1.43771440807268,5.66126704015278,7.52842651025276,4.50348111879293,4.4215517531602,8.72595951561061,4.94412179763094,3.42909593460263,3.22230538979147,4.32379631534968,1.38398823610351,6.69510449764311,2.41050891716122,3.31611464908337,5.29748179320404,2.61177706261969,1.96236976940281,3.03925023405054,2.69603365200101,1.84522730374056,3.13286067638273,5.31220133831675,3.27682274473682,1.69687539440474,3.14121689458125,-1.40603064239122,3.53281573867935,3.95635145931647,-3.45007698505287,3.82348494604184,3.74980227151309,2.49171794998074,1.32490106104342,4.41280907783403,2.6541316111925,3.2837282365922,0.419031364843249,3.01793575399915,2.43160027248905,4.68928898064087,3.78165059896355,-0.0163584725210058,-8.52830960660867,12.4593088248071
,7,3.92914053229379,1.75907111686001,0.282011194363349,1.74098430958202,6.33676604592802,4.90096944179595,1.98751380603517,2.55780786371542,0.13551009246612,3.90988912862849,0.869123769324233,2.16083051508576,2.69663501899868,1.56684263858506,5.68334011424395,-1.74833982768405,6.7576001335151,-1.83797225250373,1.66478921405451,-0.847725621914833,1.7347300596557,3.02283126307339,0.130789069055936,1.61311982531015,1.33384449168352,5.54520318794812,2.76198952452387,-0.31978845969843,2.71759734176021,4.06249474334527,0.521025939401625,0.0337579163974624,0.147083910810579,6.70813154823463,2.07208919032018,2.29898162367817,0.717910067692628,2.05766535248586,2.60250079436446,2.80797990584688,3.67297441888013,3.84954619976634,5.26319349422329,2.88500860317845,-1.43504769729634,-0.091489383784392,4.71266665254052,2.29669052562849,3.9007775434925,5.47571086234984,0.0807814784770926,0.845972088521194,0.949999273997946,-0.0244863533662283,-0.960419244853256,3.57683060847603,-4.12050380829533,-0.1277274772292,0.930101592700339,3.15209114064328,3.24146284778362,-3.05002821811149,3.08375408856773,5.92101269882824
,8,-1.60725926201485,1.19711270164953,5.22810455093668,0.182574386344641,1.54806534241516,0.259325313628324,2.03801110226686,2.68974158395076,-0.239522725886673,-0.936520005894181,-0.605220700174414,-0.307752235111366,-0.463434542014511,2.75479701260019,0.875714236535714,0.601557695719748,-1.77596001133588,0.651612622875291,0.680647098651662,2.33372878314003,-1.34288538917781,0.331791163267553,-1.32370989012088,-3.75343971357006,2.4126275531562,0.667162837017713,2.40982959891062,-4.06658305928067,-0.199122709370386,0.776774526165809,1.41545027855409,0.805354260494823,3.37433103173771,2.29745642718581,-0.00209397671096667,1.26572744927398,0.641142020818279,-1.6692760618289,-1.9153806094846,0.0786740753355843,1.92027897490743,3.76708740453569,2.08447132236552,-0.97303904942919,-3.81794093337612,0.282566359338034,1.15338306113608,-0.358314121116109,-0.886896365896064,-0.224044684587625,0.96299736089577,-1.05364595882929,0.558752642218678,-1.06785210704356,-1.59554648833955,-1.03751747843853,0.543829835862653,-0.254461250016902,-0.00790053177797745,6.09183688125677,-0.346340645044165,0.00734160095407788,0.890133009664169,7.04307328251116
,9,-3.17011006847679,-0.0682499501440361,-0.140165241461091,2.46644568763713,1.56799063963399,2.96223516252758,2.61375492429943,2.59548072867983,-0.193254150118719,0.117567902717383,-1.46076648177268,-1.49792588603623,-0.616612052353958,-4.06677091104984,-0.38573798280504,-1.39679326666283,-0.150122067131178,0.325137800537959,1.05703660144582,-0.575137906060263,-2.109806099249,-1.53070675856497,-1.33232266566347,-0.825233999012198,0.691445433446916,-3.48698654960526,1.55005425070658,-1.28026390260948,0.574323019651274,-2.03852663532689,-0.593903738927565,-3.17990401699262,1.61122229003013,-2.8105352111138,-3.18600097027593,-3.63329473530166,-0.235252715167462,-1.2763960031939,-3.26734073868192,-2.23122391477546,3.93572945113056,4.89885353517684,3.08045833073447,0.523795117625923,3.01827381034946,-0.363678615563003,3.76826141083802,-1.28938115967276,3.62943026645644,1.45808146747459,-1.06689040041647,0.893673356963973,-0.199352446045395,0.913352177567504,-2.1263008054184,-3.23952884187793,2.42099484304845,1.63710175463166,1.62460425092559,-3.20367896098196,-0.0467077191924545,4.01890315881838,-2.75391789593004,14.0241966779013
,10,-2.29039750406855,-2.58150510609266,-3.00740231854888,0.352430198476213,1.4904496610875,2.20591414768887,0.48487230423234,-1.98480283201934,0.601030718979473,-2.36527211770817,2.07567333141742,1.35890639752961,-1.83469992485743,-1.48396595188524,-0.956213144229423,-3.45673532817955,3.1736939425582,-1.6879122347741,-2.63747680528968,-3.38045215954844,0.439570852235647,0.333263602064562,-2.58819276543545,-0.406271603831556,1.0358985378798,-1.26977032161221,-1.32763128227953,-1.45877102524673,-8.19285743972705,-2.75043328591391,-3.31430136671406,-4.46480829073471,3.70220520084513,-0.926159503177587,-1.07521033495732,-3.17446234810404,-0.381618490117035,-1.77385223453712,2.9716595175837,-3.44332383816391,1.62621642714885,1.12725992875221,2.35654904575404,1.82818478359331,-1.75550585587825,-4.66854323663938,2.61190655600376,0.896023591485118,3.20706109409366,-2.09917064068395,-1.54233244178704,-2.37190932915519,-1.8123777904425,-3.29191289640539,-3.87086984611278,0.684108054163517,3.7838241034633,3.5029318839197,2.67848976188134,1.46307946241996,-1.03899689951459,0.415160453015233,-1.50598464915174,16.6230063204894
