,Cycle,A2,A3,A4,A5,A6,A7,A8,A9,B2,B3,B4,B5,B6,B7,B8,B9,C2,C3,C4,C5,C6,C7,C8,C9,D2,D3,D4,D5,D6,D7,D8,D9,E2,E3,E4,E5,E6,E7,E8,E9,F2,F3,F4,F5,F6,F7,F8,F9,G2,G3,G4,G5,G6,G7,G8,G9,H2,H3,H4,H5,H6,H7,H8,H9
,1,4.1614212561085,13.2637014908669,10.703643663222,-3.2646294993383,56.9920000364768,117.83116115542,107.599862568941,45.7034724356595,7.72178425919856,5.42386615681789,-3.45003683874802,2.84511873433667,-7.63860343012448,-11.8813395150046,-9.25676360294347,2.63876472440779,0.326350824176188,2.62472856826344,-17.8157764124917,6.88535344424281,7.68434721089352,8.29141299832918,-20.7480312764128,-14.244561890031,16.3519192373519,5.64109217480336,2.08152088804718,22.724129334325,22.6161885421138,7.52848736533133,-5.12427767135296,-3.08967867112187,4.78908815790237,7.40070075684434,-5.48313289308362,13.1502610865655,9.41462880576364,-4.2911631226898,14.8280214853098,-20.096461399753,22.8494941440804,12.7382762671045,-0.972704709846766,10.2022520109235,-0.739858911871124,-12.1653693775261,17.2685392652011,7.21398513916483,22.1498169179372,1.35613547736148,20.005845766721,-4.98400245408811,-28.9164708266276,-10.4802474302323,-5.61008294019712,-6.28475682984799,67.7555640694063,-4.71804879627189,-7.26305239549356,6.43367308337611,11.0829408980394,1.8149525663589,35.8678652133667,29.0413954400683
,2,4.30495964145848,5.43562300099893,3.42302747171289,-2.04256409614754,27.992916532749,33.0285278099404,84.0417042103536,22.9130860486148,1.37726458474026,4.75408732672668,1.74342205667335,-0.766571510167978,0.757390017302896,-4.87563615197132,-8.1072986770846,-1.22245059763281,4.71671913825321,2.51450250844482,1.37779923908738,-0.20459932902213,5.67342974194207,5.71067166583134,2.35873324073873,-8.35019585986947,5.86303763942396,5.87122494982577,10.7927111297568,16.7235888682999,14.3454255445017,8.577589930258,-0.344459310173988,4.7880819762413,6.53318705484025,2.92070139288626,4.18927900832296,14.4983792730618,8.94664271528791,9.33607283557649,11.2392454126157,-0.166957073302001,9.19361624633029,9.45680057426353,2.31102729891882,8.91482020126659,14.8345972376183,10.7233510993128,10.9504371594626,4.65259500711591,14.3804976885876,11.305955672181,11.7137003475564,2.88652068143529,11.7190751997641,9.71515981153061,4.45027899726028,2.55111483175551,33.3982671108988,-2.70244786780495,1.06567130648,8.42143751372214,9.35737651219824,8.72483819687568,41.6895391149724,14.8872389227254
,3,0.471436933633413,2.1937076081208,0.880873787073597,1.94383085158415,5.65023408269508,12.5811749864197,26.1053885342139,2.57515560122056,2.99156286056541,3.60917180112983,0.977457090375538,1.06620048220839,5.59995901805405,2.00987632264605,-3.99072001303102,-6.98235129697377,1.40078315256187,-0.543529683555334,-2.21347485909155,1.65299181023465,2.22121061866346,5.54054592230796,1.22309806751036,-0.536519242528811,3.53857172421158,9.29159815298181,5.26387195342431,10.8254569907504,7.21785285945953,4.82283193101694,6.78072336344712,4.38178779144073,3.89022080545465,2.17158010013191,6.3221182893144,5.13587998825096,4.49665622600287,8.35224069089509,3.75262610361233,5.49112377574693,4.57185071819231,6.25339624587332,6.42049016915507,10.2871604353095,10.6317412167386,8.07885430857777,7.039703084547,5.18917734212982,7.02728370843897,2.55608325753383,5.4598908522762,4.80153759511677,7.11976995174336,4.06691122000711,3.49967922668066,2.13161985594888,10.8349828998612,-0.570684140578123,2.33458867485842,2.99587083076585,6.09309936641421,6.32820522654993,33.1215481168097,10.146451470373
,4,3.13541660500823,-0.429732711282668,2.22864111362514,0.540059888221094,-2.46215845482038,-1.32039906864975,15.7659547963194,-14.2704050736365,-4.57114099765295,1.7859317776647,2.13636418065107,2.8190013083572,0.410507296887317,0.506718992884544,-0.75492490393799,6.46672956780822,-2.45674188577914,2.5109183099712,2.36402964813578,0.874935310567707,3.22441545804031,-0.646614588449211,0.234107007391685,1.82227639899793,3.4676013897315,2.64630969244217,2.24678132359168,0.915165526270357,-0.345390613491418,-2.17138795529945,0.990405609407389,1.47282858269227,-0.654174479266203,0.443479663041671,0.507316639252167,0.493019427791296,2.45259193378615,2.62824458774867,-1.13421112225024,1.45878570072955,-1.30469136120882,5.00363590957477,1.85690353437167,3.15470086737241,3.83720600139804,2.61113687265515,-1.06381646581485,1.52529381583463,-1.9545458474895,0.806963916696077,2.12858553387969,1.17992173236462,0.773992010670099,2.7319178257917,1.46115818916496,2.45437324878003,2.10092094696165,2.36742143483934,0.717957826116617,3.93553541410893,-1.07701981487071,0.745584912869617,22.6366505875335,0.770463338922582
,5,0.56200867546977,0.866812370526986,1.58907965420076,-1.79527984297602,-3.19505311304329,-5.0235332133484,-9.16353176278517,-21.0486679842825,-3.38883777520186,2.26187663416886,-2.26291822804887,0.956587444505658,2.42098054265898,-0.0743906007360238,-0.752279009102494,4.8338106818228,0.312493777834788,0.247859304156464,2.22421664239937,0.310099858886133,-0.830711405531019,-0.272087602631927,3.93789117157985,0.533962192743729,-1.61982394473898,-2.51123927931576,-1.19852702135677,-0.943740516952403,1.69942343362573,1.34984017879742,-2.51428680372828,-3.55327656897452,-0.307711313643267,2.23785022867924,-3.85137911368292,-3.39525451807594,-2.52760129689841,-1.55084389526246,0.47465518273475,0.598526495042734,-2.69167405509688,-0.683049184413903,-3.02441980079084,-2.50409413426223,-2.83770109020179,-1.54684832360408,4.65595145687621,1.76516748319773,-2.01462347056349,0.596469616188642,1.22175929707419,-2.18683197691007,-4.35853090562341,-2.17201146181105,1.99253800160568,2.59759292113267,-5.07937468594264,1.7063022575303,0.966177370010428,-3.08735093551149,-1.5631487500832,-1.33164638383505,12.2230899961828,1.8365905337414
,6,0.615757350802141,-0.537826594719263,-2.44509878438339,-1.87782458573702,-0.903985566668325,-10.8447180962639,-17.2450547124831,8.61052235278521,-5.72115456274287,-0.257556601576198,1.81793309101977,1.05263916695912,-0.895587027272541,2.75520230832126,5.47356618617505,5.25935400185244,1.45375103668084,3.63617505831053,-1.30003592935373,-0.144583157905345,0.437689601808415,-4.62544116414392,-2.00769123856162,-1.93009629811513,-4.31811200217817,-5.93061011368172,-7.814881989681,-9.15884883744548,-4.70702873259279,-4.27493861289395,-3.85720282128159,1.00613828973837,-3.28126323816923,1.70849090100228,-6.07524171767864,-0.328389675259132,-2.04135513951269,-5.92948607293283,-2.04040095433993,-3.52084564937195,-0.290578208997886,-1.79101887924753,-4.18909252775393,-5.70524433969831,-5.79011170481272,-3.81422571227995,-3.46579029554186,-4.78340509422969,-2.86765222869599,0.236587467259596,-4.26001917874282,-1.364791221828,-3.39957671127559,-2.90010048906106,-3.59786291570254,-3.21036231024073,-6.24178018611383,-3.38903449107693,-4.00043454545494,-1.89287710927101,-0.118164032324785,-4.49944522339047,6.09610376426917,-12.2105640666873
,7,-1.94904101179736,-1.79472908717253,-2.83332852847116,-2.20221726661703,-0.490137856857018,-5.34472440624995,-19.2273705258003,6.12823252097223,-3.59381265804086,0.413668600278015,-0.213832950958022,0.180788283023958,-0.113604805955674,-2.63248056008433,2.01913553178883,-0.559335127983559,1.68496774132291,0.335462143326367,-0.929130404274019,-5.99925415787493,-2.42734719968712,-3.20706666123124,-0.868202482100969,1.23794428384781,-2.81373004370562,-8.38355846428476,-8.55707640465425,-6.00448704847395,-9.24819674082073,-4.98419903221429,-7.0468015003471,-5.18786079037181,0.854062446030184,-3.44815222121269,-0.530411865890983,-4.18959586948586,-3.94563905952691,-6.93604766162343,-2.95397632598133,-5.71873019678742,-1.74183691016469,-8.50573166476397,-7.67955594993009,-5.95665182908806,-8.97168288422154,-4.19542361789718,-6.0294127863217,-5.20862434760147,-2.75052384198762,-1.50463724606061,-6.58717529219894,-3.54926149608764,-2.1365291773468,-4.4484751688592,-3.21570310890274,-2.65024649517818,-6.30997676275956,-2.57716171373659,-1.59172243526518,-3.60231619291335,-2.94828948805798,-3.27089960114336,-4.1708685315225,-20.9464614769058
,8,-2.5965792102561,-1.53434914371064,2.14167062060096,-1.12949384972671,-1.94530015598139,-3.86955005353911,-20.4247782987163,-5.97718010078142,-4.03073378294266,-1.50340461890346,1.48916578018225,2.6660195514819,0.693266447270616,1.91601821563472,-0.272915854955045,-1.26792702531748,1.77713851402086,3.59775403735739,0.870735468809471,-2.39537310828791,-5.23848796339189,-1.66067951032028,-4.75865653488336,-1.68638337521952,-3.79710910127096,-6.5248369278429,-0.612621337806104,-8.76895581567214,-4.88217330057205,0.10052312167727,-5.54211355468215,-4.44325730705759,-0.389352290578699,-4.84723068944777,-3.84879480175186,-1.10714336867159,-3.73933791961917,-7.06617935996474,-0.725965717962481,-8.25542092053092,1.58629681804314,-7.60137685662221,-2.80531652175387,-8.91142715752085,-6.08890899427888,-7.76808772249069,-7.39510508988451,-5.07385301265231,-2.7791891487168,-0.964691586094887,-4.11672324655819,-2.84414082065814,-7.78338308338653,-4.49898806511465,-4.33540471724518,-5.20515789613501,-7.5455728524671,-3.32859522883246,-1.58161462231192,-0.954610134386712,-4.25178767010857,-2.43336337792334,-10.7175751562477,-18.7603269456513
,9,0.276067896733821,0.148331167519245,-0.401387610671918,2.83776549567892,4.40402346473684,4.59412656916675,-17.1576587299433,-8.34891962210668,2.69961634504125,3.39461786331321,0.419286098686825,-1.0685673463704,0.262819302733988,-2.29377930662531,3.29668455738465,-2.49176109771724,0.325681173674639,0.824918240475199,4.87103103521576,-1.31802387563448,2.31285690142977,-3.51654889138035,-1.8481808879651,-1.63282319848122,-7.07319547959696,-7.89057638536269,0.157674581073479,-5.39396577016396,-6.73569971283086,-3.25665544714002,0.218880096318571,-1.01454847822924,-0.646394142466306,-3.88584477101085,0.186799234347291,-2.21503614843186,3.65715470174518,-3.05004175294198,-0.0224430751795808,-3.43687091130732,2.32791288371618,-4.94444342943598,-1.11473990057902,-6.36013893009522,-4.10417404646523,-3.83971597417394,-6.04548897271525,-3.92328260080649,-1.38428179183256,-6.30436025418931,-2.97453421003411,-3.2415246631017,-3.29857966320969,-2.91291652299515,-3.40508843898488,-3.2481195260375,-3.11096563916863,-1.08267961872843,-2.87616215077469,-1.3463299244836,-0.84302070411195,-3.78592065526482,-20.9879044370268,12.6995874180302
,10,-0.252610945819924,2.98943155685811,2.57810242513688,-0.5201353813477,11.4224349035267,7.07623622091978,-6.95870022902773,-7.75907312396021,14.7525626262645,-1.10081240351201,0.263124840635555,-0.312716831100261,-2.33192136637217,1.74013975937987,2.14643211050998,1.95304336765957,0.747543473039514,-1.0742556136056,0.267989890675835,0.800740063360536,-1.43240850466373,-0.479427184958695,0.371236764216064,2.43040848737155,-1.97695589740943,2.22275721116466,6.61101639298795,-0.528271262070575,0.419475088431227,-1.60209656639472,-2.5333418488176,-0.465515312200296,-2.40526556450413,0.195619280176743,5.75783318030244,6.64118722070361,4.42761050433955,1.60502219400405,3.60356865195445,-0.667920008808323,3.38716424661607,-4.06932106386785,-2.53114701945105,-4.10533870217159,-2.2721404093204,-2.72786048925445,-2.3197357624199,-1.40656752244104,1.61858809689829,1.79255794461642,2.9057199900044,-0.399252605533093,0.279838226489574,0.566570926908298,0.166441976735314,-1.82046003912819,-1.43068471311244,-0.102896441198482,2.48665930000243,-0.493973007841305,-3.26579044159189,-4.77357513681727,-28.2285920819131,9.22846197139506
