Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,ROX,,Unkn,019-1,N/A,N/A
A02,ROX,,Unkn,019-2,N/A,N/A
A03,ROX,,Unkn,019-3,N/A,N/A
A04,ROX,,Unkn,Blank,N/A,N/A
A05,ROX,,Unkn,075-1,N/A,N/A
A06,ROX,,Unkn,075-2,N/A,N/A
A07,ROX,,Unkn,075-3,N/A,N/A
A08,ROX,,Unkn,075-4,N/A,N/A
B01,ROX,,Unkn,075-5,N/A,N/A
B02,ROX,,Unkn,080-1,N/A,N/A
B03,ROX,,Unkn,080-2,N/A,N/A
B04,ROX,,Unkn,080-3,N/A,N/A
B05,ROX,,Unkn,080-4,N/A,N/A
B06,ROX,,Unkn,081-1,N/A,N/A
B07,ROX,,Unkn,080-5,N/A,N/A
B08,ROX,,Unkn,081-2,N/A,N/A
C01,ROX,,Unkn,081-3,N/A,N/A
C02,ROX,,Unkn,081-4,N/A,N/A
C03,ROX,,Unkn,081-5,N/A,N/A
C04,ROX,,Unkn,082-1,N/A,N/A
C05,ROX,,Unkn,082-2,N/A,N/A
C06,ROX,,Unkn,082-3,N/A,N/A
C07,ROX,,Unkn,082-4,N/A,N/A
C08,ROX,,Unkn,082-5,N/A,N/A
D01,ROX,,Unkn,088-1,N/A,N/A
D02,ROX,,Unkn,088-2,N/A,N/A
D03,ROX,,Unkn,088-3,N/A,N/A
D04,ROX,,Unkn,088-4,N/A,N/A
D05,ROX,,Unkn,088-5,N/A,N/A
D06,ROX,,Unkn,091-1,N/A,N/A
D07,ROX,,Unkn,091-2,N/A,N/A
D08,ROX,,Unkn,091-3,N/A,N/A
E01,ROX,,Unkn,091-4,N/A,N/A
E02,ROX,,Unkn,091-5,N/A,N/A
E03,ROX,,Unkn,094-1,N/A,N/A
E04,ROX,,Unkn,094-2,N/A,N/A
E05,ROX,,Unkn,094-3,N/A,N/A
E06,ROX,,Unkn,094-4,N/A,N/A
E07,ROX,,Unkn,094-5,N/A,N/A
E08,ROX,,Unkn,106-1,N/A,N/A
F01,ROX,,Unkn,106-2,N/A,N/A
F02,ROX,,Unkn,106-3,N/A,N/A
F03,ROX,,Unkn,106-4,N/A,N/A
F04,ROX,,Unkn,106-5,N/A,N/A
F05,ROX,,Unkn,111-1,N/A,N/A
F06,ROX,,Unkn,111-2,N/A,N/A
F07,ROX,,Unkn,111-3,N/A,N/A
F08,ROX,,Unkn,111-4,N/A,N/A
G01,ROX,,Unkn,111-5,N/A,N/A
G02,ROX,,Unkn,118-1,N/A,N/A
G03,ROX,,Unkn,118-2,N/A,N/A
G04,ROX,,Unkn,118-3,N/A,N/A
G05,ROX,,Unkn,118-4,N/A,N/A
G06,ROX,,Unkn,118-5,N/A,N/A
G07,ROX,,Unkn,131-1,N/A,N/A
G08,ROX,,Unkn,131-2,N/A,N/A
H01,ROX,,Unkn,131-3,N/A,N/A
H02,ROX,,Unkn,131-4,N/A,N/A
H03,ROX,,Unkn,131-5,N/A,N/A
H04,ROX,,Unkn,132-1,N/A,N/A
H05,ROX,,Unkn,132-2,N/A,N/A
H06,ROX,,Unkn,132-3,N/A,N/A
H07,ROX,,Unkn,132-4,N/A,N/A
H08,ROX,,Unkn,132-5,N/A,N/A
A01,SYBR,,Unkn,019-1,14.92,N/A
A02,SYBR,,Unkn,019-2,14.35,N/A
A03,SYBR,,Unkn,019-3,14.45,N/A
A04,SYBR,,Unkn,Blank,35.54,N/A
A05,SYBR,,Unkn,075-1,14.30,N/A
A06,SYBR,,Unkn,075-2,14.31,N/A
A07,SYBR,,Unkn,075-3,14.32,N/A
A08,SYBR,,Unkn,075-4,14.51,N/A
B01,SYBR,,Unkn,075-5,13.89,N/A
B02,SYBR,,Unkn,080-1,12.37,N/A
B03,SYBR,,Unkn,080-2,12.50,N/A
B04,SYBR,,Unkn,080-3,12.37,N/A
B05,SYBR,,Unkn,080-4,12.16,N/A
B06,SYBR,,Unkn,081-1,13.83,N/A
B07,SYBR,,Unkn,080-5,12.29,N/A
B08,SYBR,,Unkn,081-2,14.09,N/A
C01,SYBR,,Unkn,081-3,14.48,N/A
C02,SYBR,,Unkn,081-4,14.29,N/A
C03,SYBR,,Unkn,081-5,14.21,N/A
C04,SYBR,,Unkn,082-1,14.61,N/A
C05,SYBR,,Unkn,082-2,14.33,N/A
C06,SYBR,,Unkn,082-3,14.16,N/A
C07,SYBR,,Unkn,082-4,14.26,N/A
C08,SYBR,,Unkn,082-5,14.53,N/A
D01,SYBR,,Unkn,088-1,14.57,N/A
D02,SYBR,,Unkn,088-2,13.88,N/A
D03,SYBR,,Unkn,088-3,13.91,N/A
D04,SYBR,,Unkn,088-4,13.81,N/A
D05,SYBR,,Unkn,088-5,13.51,N/A
D06,SYBR,,Unkn,091-1,14.04,N/A
D07,SYBR,,Unkn,091-2,13.84,N/A
D08,SYBR,,Unkn,091-3,14.01,N/A
E01,SYBR,,Unkn,091-4,14.88,N/A
E02,SYBR,,Unkn,091-5,14.15,N/A
E03,SYBR,,Unkn,094-1,12.89,N/A
E04,SYBR,,Unkn,094-2,13.15,N/A
E05,SYBR,,Unkn,094-3,13.18,N/A
E06,SYBR,,Unkn,094-4,12.71,N/A
E07,SYBR,,Unkn,094-5,13.13,N/A
E08,SYBR,,Unkn,106-1,14.93,N/A
F01,SYBR,,Unkn,106-2,14.38,N/A
F02,SYBR,,Unkn,106-3,13.68,N/A
F03,SYBR,,Unkn,106-4,13.98,N/A
F04,SYBR,,Unkn,106-5,14.10,N/A
F05,SYBR,,Unkn,111-1,14.05,N/A
F06,SYBR,,Unkn,111-2,14.33,N/A
F07,SYBR,,Unkn,111-3,13.98,N/A
F08,SYBR,,Unkn,111-4,14.12,N/A
G01,SYBR,,Unkn,111-5,15.31,N/A
G02,SYBR,,Unkn,118-1,12.13,N/A
