Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,ROX,,Unkn,055-1,N/A,N/A
A02,ROX,,Unkn,055-2,N/A,N/A
A03,ROX,,Unkn,055-3,N/A,N/A
A04,ROX,,Unkn,055-4,N/A,N/A
A05,ROX,,Unkn,055-5,N/A,N/A
A06,ROX,,Unkn,Blank,N/A,N/A
A07,ROX,,Unkn,056-1,N/A,N/A
A08,ROX,,Unkn,056-2,N/A,N/A
B01,ROX,,Unkn,056-3,N/A,N/A
B02,ROX,,Unkn,056-4,N/A,N/A
B03,ROX,,Unkn,056-5,N/A,N/A
B04,ROX,,Unkn,057-1,N/A,N/A
B05,ROX,,Unkn,057-2,N/A,N/A
B06,ROX,,Unkn,057-3,N/A,N/A
B07,ROX,,Unkn,057-4,N/A,N/A
B08,ROX,,Unkn,057-5,N/A,N/A
C01,ROX,,Unkn,059-1,N/A,N/A
C02,ROX,,Unkn,059-2,N/A,N/A
C03,ROX,,Unkn,059-3,N/A,N/A
C04,ROX,,Unkn,059-4,N/A,N/A
C05,ROX,,Unkn,059-5,N/A,N/A
C06,ROX,,Unkn,086-1,N/A,N/A
C07,ROX,,Unkn,086-2,N/A,N/A
C08,ROX,,Unkn,086-3,N/A,N/A
D01,ROX,,Unkn,086-4,N/A,N/A
D02,ROX,,Unkn,086-5,N/A,N/A
D03,ROX,,Unkn,087-1,N/A,N/A
D04,ROX,,Unkn,087-2,N/A,N/A
D05,ROX,,Unkn,087-3,N/A,N/A
D06,ROX,,Unkn,087-4,N/A,N/A
D07,ROX,,Unkn,087-5,N/A,N/A
D08,ROX,,Unkn,101-1,N/A,N/A
E01,ROX,,Unkn,101-2,N/A,N/A
E02,ROX,,Unkn,101-3,N/A,N/A
E03,ROX,,Unkn,101-4,N/A,N/A
E04,ROX,,Unkn,101-5,N/A,N/A
E05,ROX,,Unkn,104-1,N/A,N/A
E06,ROX,,Unkn,104-2,N/A,N/A
E07,ROX,,Unkn,104-3,N/A,N/A
E08,ROX,,Unkn,104-4,N/A,N/A
F01,ROX,,Unkn,104-5,N/A,N/A
F02,ROX,,Unkn,112-1,N/A,N/A
F03,ROX,,Unkn,112-2,N/A,N/A
F04,ROX,,Unkn,112-3,N/A,N/A
F05,ROX,,Unkn,112-4,N/A,N/A
F06,ROX,,Unkn,112-5,N/A,N/A
F07,ROX,,Unkn,120-1,N/A,N/A
F08,ROX,,Unkn,120-2,N/A,N/A
G01,ROX,,Unkn,120-3,N/A,N/A
G02,ROX,,Unkn,120-4,N/A,N/A
G03,ROX,,Unkn,120-5,N/A,N/A
G04,ROX,,Unkn,123-1,N/A,N/A
G05,ROX,,Unkn,123-2,N/A,N/A
G06,ROX,,Unkn,123-3,N/A,N/A
G07,ROX,,Unkn,123-4,N/A,N/A
G08,ROX,,Unkn,123-5,N/A,N/A
H01,ROX,,Unkn,125-1,N/A,N/A
H02,ROX,,Unkn,125-2,N/A,N/A
H03,ROX,,Unkn,125-3,N/A,N/A
H04,ROX,,Unkn,125-4,N/A,N/A
H05,ROX,,Unkn,125-5,N/A,N/A
H06,ROX,,Unkn,019-1,N/A,N/A
H07,ROX,,Unkn,019-2,N/A,N/A
H08,ROX,,Unkn,019-3,N/A,N/A
A01,SYBR,,Unkn,055-1,14.63,N/A
A02,SYBR,,Unkn,055-2,14.53,N/A
A03,SYBR,,Unkn,055-3,14.07,N/A
A04,SYBR,,Unkn,055-4,14.46,N/A
A05,SYBR,,Unkn,055-5,14.40,N/A
A06,SYBR,,Unkn,Blank,36.38,N/A
A07,SYBR,,Unkn,056-1,14.56,N/A
A08,SYBR,,Unkn,056-2,13.53,N/A
B01,SYBR,,Unkn,056-3,13.85,N/A
B02,SYBR,,Unkn,056-4,12.69,N/A
B03,SYBR,,Unkn,056-5,13.75,N/A
B04,SYBR,,Unkn,057-1,14.35,N/A
B05,SYBR,,Unkn,057-2,13.94,N/A
B06,SYBR,,Unkn,057-3,14.32,N/A
B07,SYBR,,Unkn,057-4,14.44,N/A
B08,SYBR,,Unkn,057-5,14.80,N/A
C01,SYBR,,Unkn,059-1,15.03,N/A
C02,SYBR,,Unkn,059-2,13.91,N/A
C03,SYBR,,Unkn,059-3,14.06,N/A
C04,SYBR,,Unkn,059-4,14.46,N/A
C05,SYBR,,Unkn,059-5,14.33,N/A
C06,SYBR,,Unkn,086-1,14.46,N/A
C07,SYBR,,Unkn,086-2,14.86,N/A
C08,SYBR,,Unkn,086-3,14.49,N/A
D01,SYBR,,Unkn,086-4,14.38,N/A
D02,SYBR,,Unkn,086-5,14.50,N/A
D03,SYBR,,Unkn,087-1,13.99,N/A
D04,SYBR,,Unkn,087-2,13.87,N/A
D05,SYBR,,Unkn,087-3,14.10,N/A
D06,SYBR,,Unkn,087-4,14.27,N/A
D07,SYBR,,Unkn,087-5,14.14,N/A
D08,SYBR,,Unkn,101-1,14.67,N/A
E01,SYBR,,Unkn,101-2,15.31,N/A
E02,SYBR,,Unkn,101-3,14.96,N/A
E03,SYBR,,Unkn,101-4,14.52,N/A
E04,SYBR,,Unkn,101-5,14.80,N/A
E05,SYBR,,Unkn,104-1,14.83,N/A
E06,SYBR,,Unkn,104-2,14.69,N/A
E07,SYBR,,Unkn,104-3,15.37,N/A
E08,SYBR,,Unkn,104-4,15.05,N/A
F01,SYBR,,Unkn,104-5,15.24,N/A
F02,SYBR,,Unkn,112-1,13.56,N/A
F03,SYBR,,Unkn,112-2,13.73,N/A
F04,SYBR,,Unkn,112-3,13.62,N/A
F05,SYBR,,Unkn,112-4,13.39,N/A
F06,SYBR,,Unkn,112-5,14.13,N/A
F07,SYBR,,Unkn,120-1,12.95,N/A
F08,SYBR,,Unkn,120-2,13.03,N/A
G01,SYBR,,Unkn,120-3,14.88,N/A
G02,SYBR,,Unkn,120-4,13.75,N/A
G03,SYBR,,Unkn,120-5,14.21,N/A
G04,SYBR,,Unkn,123-1,14.66,N/A
G05,SYBR,,Unkn,123-2,15.07,N/A
G06,SYBR,,Unkn,123-3,14.94,N/A
G07,SYBR,,Unkn,123-4,14.82,N/A
G08,SYBR,,Unkn,123-5,14.88,N/A
H01,SYBR,,Unkn,125-1,14.19,N/A
H02,SYBR,,Unkn,125-2,13.08,N/A
H03,SYBR,,Unkn,125-3,13.79,N/A
H04,SYBR,,Unkn,125-4,13.76,N/A
H05,SYBR,,Unkn,125-5,13.47,N/A
H06,SYBR,,Unkn,019-1,14.47,N/A
H07,SYBR,,Unkn,019-2,14.42,N/A
H08,SYBR,,Unkn,019-3,14.15,N/A
