,Well,Sample,Call,Type,RFU1,RFU2
,A02,019-1,Allele 1,Auto,535.922261632123,1.45410314418314
,A03,019-2,Allele 1,Auto,564.548428105416,5.1643101005352
,A04,019-3,Allele 1,Auto,598.421821209562,6.13825785577183
,A05,Blank,Allele 1,Auto,404.390339159495,0.20562417192059
,A06,058-1,Allele 1,Auto,522.210367762832,7.95178590071828
,A07,058-2,Allele 1,Auto,514.064241658531,-2.96534953709761
,A08,058-3,Allele 1,Auto,495.510002598232,7.08743965906069
,A09,058-4,Allele 1,Auto,532.764406596521,4.16303890800464
,B02,058-5,Allele 1,Auto,425.808119235975,4.67055665508633
,B03,063-1,Allele 1,Auto,536.052107930945,3.74378525211478
,B04,063-2,Allele 1,Auto,568.571544847271,2.48710739883336
,B05,063-3,Allele 1,Auto,597.056959476815,6.80390056135411
,B06,063-4,Allele 1,Auto,381.777028963052,4.07920594225425
,B07,063-5,Allele 1,Auto,537.513913342068,3.81545931289065
,B08,068-1,Allele 1,Auto,510.944845061877,3.04969025230093
,B09,068-2,Allele 1,Auto,504.94497046243,0.383152857630648
,C02,068-3,Allele 1,Auto,510.315235562973,5.60783291869893
,C03,068-4,Allele 1,Auto,598.683009548528,0.156114731098114
,C04,068-5,Allele 1,Auto,628.336933656101,6.31757960922823
,C05,074-1,Allele 1,Auto,598.990660799505,7.17443956163379
,C06,074-2,Allele 1,Auto,648.081100550255,3.05517001872568
,C07,074-3,Allele 1,Auto,659.869720288942,3.85638822396731
,C08,074-4,Allele 1,Auto,677.476794381463,2.19726292317773
,C09,074-5,Allele 1,Auto,614.948607556517,1.5614940421251
,D02,078-1,Allele 1,Auto,589.571284187784,8.24474515535803
,D03,078-2,Allele 1,Auto,739.843032715261,7.0332240884386
,D04,078-3,Allele 1,Auto,751.217621700082,6.49755471389244
,D05,078-4,Allele 1,Auto,712.856463257037,2.24073618472949
,D06,078-5,Allele 1,Auto,697.765328510546,-0.606986774235338
,D07,093-1,Allele 1,Auto,548.457856501848,0.853690787280357
,D08,093-2,Allele 1,Auto,624.418391064555,4.76730506669401
,D09,093-3,Allele 1,Auto,584.468309074509,5.71461688653199
,E02,093-4,Allele 1,Auto,579.759264080812,5.40970338358329
,E03,093-5,Allele 1,Auto,639.273250873489,5.72700145349927
,E04,095-1,Allele 1,Auto,566.746645187128,9.00431594392239
,E05,095-2,Allele 1,Auto,587.232176808583,3.20987590800041
,E06,095-3,Allele 1,Auto,592.573398372959,3.45260260066243
,E07,095-4,Allele 1,Auto,604.290895451625,6.64614153530647
,E08,095-5,Allele 1,Auto,627.450451214188,6.66101442614263
,E09,097-1,Allele 1,Auto,783.401684388338,3.06305138969537
,F02,097-2,Allele 1,Auto,574.271712314662,3.80221967227044
,F03,097-3,Allele 1,Auto,644.37446909141,1.54040461250997
,F04,097-4,Allele 1,Auto,752.900780234294,2.52137784092929
,F05,097-5,Allele 1,Auto,697.046895523824,5.75306145754712
,F06,108-1,Allele 1,Auto,583.893307698628,0.981099727467608
,F07,108-2,Allele 1,Auto,577.540561249724,1.60612579800863
,F08,108-3,Allele 1,Auto,499.773027064363,5.55686313557226
,F09,126-2,Allele 1,Auto,527.122967572782,8.47841084125776
,G02,108-5,Allele 1,Auto,536.467624471408,-0.522146308489027
,G03,119-1,Allele 1,Auto,658.816257459901,9.93370154230615
,G04,119-2,Allele 1,Auto,829.739939639685,5.1813505242194
,G05,119-3,Allele 1,Auto,817.717688336646,4.50623531121391
,G06,119-4,Allele 1,Auto,814.478627037988,4.10089485604703
,G07,119-5,Allele 1,Auto,715.299161043318,3.88415188843283
,G08,126-1,Allele 1,Auto,632.935501064545,4.87206584281512
,G09,126-2,Allele 1,Auto,573.704394135743,0.693669551455969
,H02,126-3,Allele 1,Auto,367.332433983329,-2.22397638284747
,H03,126-4,Allele 1,Auto,530.290680878864,2.050508013735
,H04,126-5,Allele 1,Auto,532.527706412751,2.19735404534958
,H05,128-1,Allele 1,Auto,381.908662697022,0.448836177489284
,H06,128-2,Allele 1,Auto,435.783061408476,1.87087920383965
,H07,128-3,Allele 1,Auto,455.059622458481,5.12212627189638
,H08,128-4,Allele 1,Auto,483.671960868312,15.5111107604894
,H09,128-5,Allele 1,Auto,469.623328090689,-4.04352236525847
