id,sample_no
1,5
2,8
3,11
4,16
5,17
6,20
7,24
8,25
9,26
10,27
11,28
12,37
13,38
14,59
15,60
16,62
17,64
18,67
19,70
20,73
21,77
22,88
23,89
24,91
25,104
26,107
27,111
28,120
29,123
30,129
