,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,014-1,NaN,NaN
,A02,ROX,,Unkn,014-2,NaN,NaN
,A03,ROX,,Unkn,048-1,NaN,NaN
,A04,ROX,,Unkn,048-2,NaN,NaN
,A05,ROX,,Unkn,048-3,NaN,NaN
,A06,ROX,,Unkn,049-1,NaN,NaN
,A07,ROX,,Unkn,049-2,NaN,NaN
,A08,ROX,,Unkn,049-3,NaN,NaN
,A09,ROX,,Unkn,052-1,NaN,NaN
,A10,ROX,,Unkn,052-2,NaN,NaN
,A11,ROX,,Unkn,053-1,NaN,NaN
,A12,ROX,,Unkn,053-2,NaN,NaN
,B01,ROX,,Unkn,053-3,NaN,NaN
,B02,ROX,,Unkn,053-4,NaN,NaN
,B03,ROX,,Unkn,053-5,NaN,NaN
,B04,ROX,,Unkn,069-1,NaN,NaN
,B05,ROX,,Unkn,069-2,NaN,NaN
,B06,ROX,,Unkn,069-3,NaN,NaN
,B07,ROX,,Unkn,069-4,NaN,NaN
,B08,ROX,,Unkn,069-5,NaN,NaN
,B09,ROX,,Unkn,070-1,NaN,NaN
,B10,ROX,,Unkn,070-2,NaN,NaN
,B11,ROX,,Unkn,070-3,3.60533457504767,NaN
,B12,ROX,,Unkn,070-4,NaN,NaN
,C01,ROX,,Unkn,070-5,NaN,NaN
,C02,ROX,,Unkn,075-1,NaN,NaN
,C03,ROX,,Unkn,075-2,NaN,NaN
,C04,ROX,,Unkn,075-3,NaN,NaN
,C05,ROX,,Unkn,075-4,NaN,NaN
,C06,ROX,,Unkn,075-5,NaN,NaN
,C07,ROX,,Unkn,080-1,NaN,NaN
,C08,ROX,,Unkn,080-2,NaN,NaN
,C09,ROX,,Unkn,080-3,NaN,NaN
,C10,ROX,,Unkn,080-4,NaN,NaN
,C11,ROX,,Unkn,080-5,NaN,NaN
,C12,ROX,,Unkn,081-1,NaN,NaN
,D01,ROX,,Unkn,081-2,NaN,NaN
,D02,ROX,,Unkn,081-3,NaN,NaN
,D03,ROX,,Unkn,081-4,NaN,NaN
,D04,ROX,,Unkn,081-5,NaN,NaN
,D05,ROX,,Unkn,082-1,NaN,NaN
,D06,ROX,,Unkn,082-2,NaN,NaN
,D07,ROX,,Unkn,082-3,NaN,NaN
