sample_no,cc_treatment,drying_treatment,pre_post_wet,samp_med_bact,samp_med_fung
99,no_cc,two_wk,post,4.4152598174844964e-5,2.3717461508609898e-8
100,w_cc,two_wk,pre,8.630847986674907e-5,2.320002618429838e-7
101,no_cc,one_wk,pre,3.1791932615298086e-5,6.05244551254741e-8
103,w_cc,one_wk,post,6.994467073308136e-5,7.018067372393054e-7
104,no_cc,one_wk,cw,3.039069359913314e-5,8.171564883586542e-8
106,no_cc,four_wk,pre,5.122107573521659e-5,6.71668540415829e-8
107,w_cc,two_wk,cw,5.8178994586394536e-5,3.5695229923798884e-7
108,w_cc,four_wk,post,5.680214218985584e-5,1.6474375129833552e-7
109,w_cc,one_wk,post,9.270215444384884e-5,1.042156005638046e-6
111,no_cc,four_wk,cw,5.790265901888986e-5,6.106025650179195e-8
112,w_cc,initial,initial,8.427177594456074e-5,1.166469219660269e-6
114,w_cc,two_wk,post,4.9833092640674214e-5,1.2330289050665593e-7
116,no_cc,two_wk,post,3.4900962247770845e-5,3.789242054974309e-8
117,no_cc,two_wk,pre,4.921916836849481e-5,4.816958441496374e-8
118,w_cc,four_wk,pre,1.9984543575658883e-4,3.765890578440136e-6
119,no_soil,no_soil,no_soil,NA,NA
120,w_cc,four_wk,cw,7.738585873323879e-5,2.4027238133036183e-7
121,no_cc,two_wk,pre,3.0984604818156096e-5,6.500260176310594e-8
122,no_cc,two_wk,post,2.7212148840549643e-5,6.206151934103131e-8
123,no_cc,four_wk,cw,3.468209201018142e-5,1.0540748598799441e-7
124,no_cc,one_wk,pre,3.708107960129897e-5,9.34802042764258e-8
125,w_cc,four_wk,pre,6.404276296744172e-5,6.510827961106496e-7
126,no_cc,four_wk,post,4.577964945430897e-5,6.497259290819711e-8
128,w_cc,all_dry,all_dry,3.471347972039766e-5,9.62499517510534e-7
129,no_cc,one_wk,cw,3.1393173297055e-5,7.798753744991047e-8
130,no_cc,initial,initial,3.153251922706885e-5,1.0139535246193689e-7
131,w_cc,two_wk,pre,6.475143281760797e-5,1.5972447680090948e-7
132,w_cc,two_wk,post,1.3747623462969134e-4,7.520149618887114e-7
133,w_cc,initial,initial,8.213875604832314e-5,1.3750599658899942e-6
