,Well,Fluor,Target,Content,Sample,Cq,SQ
,A02,ROX,,Unkn,019-1,NaN,NaN
,A03,ROX,,Unkn,019-2,NaN,NaN
,A04,ROX,,Unkn,024-1,NaN,NaN
,A05,ROX,,Unkn,024-2,NaN,NaN
,A06,ROX,,Unkn,Blank,NaN,NaN
,A07,ROX,,Unkn,016-1,NaN,NaN
,A08,ROX,,Unkn,016-2,NaN,NaN
,A09,ROX,,Unkn,016-3,NaN,NaN
,B02,ROX,,Unkn,016-4,NaN,NaN
,B03,ROX,,Unkn,016-5,NaN,NaN
,B04,ROX,,Unkn,017-1,NaN,NaN
,B05,ROX,,Unkn,017-2,NaN,NaN
,B06,ROX,,Unkn,017-3,NaN,NaN
,B07,ROX,,Unkn,017-4,NaN,NaN
,B08,ROX,,Unkn,017-5,NaN,NaN
,B09,ROX,,Unkn,020-1,NaN,NaN
,C02,ROX,,Unkn,020-2,NaN,NaN
,C03,ROX,,Unkn,020-3,NaN,NaN
,C04,ROX,,Unkn,020-4,NaN,NaN
,C05,ROX,,Unkn,020-5,NaN,NaN
,C06,ROX,,Unkn,027-1,NaN,NaN
,C07,ROX,,Unkn,027-2,NaN,NaN
,C08,ROX,,Unkn,027-3,NaN,NaN
,C09,ROX,,Unkn,027-4,NaN,NaN
,D02,ROX,,Unkn,027-5,NaN,NaN
,D03,ROX,,Unkn,029-1,NaN,NaN
,D04,ROX,,Unkn,029-2,NaN,NaN
,D05,ROX,,Unkn,029-3,NaN,NaN
,D06,ROX,,Unkn,029-4,NaN,NaN
,D07,ROX,,Unkn,029-5,NaN,NaN
,D08,ROX,,Unkn,035-1,NaN,NaN
,D09,ROX,,Unkn,035-2,NaN,NaN
,E02,ROX,,Unkn,035-3,NaN,NaN
,E03,ROX,,Unkn,035-4,NaN,NaN
,E04,ROX,,Unkn,035-5,NaN,NaN
,E05,ROX,,Unkn,079-1,NaN,NaN
,E06,ROX,,Unkn,079-2,NaN,NaN
,E07,ROX,,Unkn,079-3,NaN,NaN
,E08,ROX,,Unkn,079-4,NaN,NaN
,E09,ROX,,Unkn,079-5,NaN,NaN
,F02,ROX,,Unkn,083-1,NaN,NaN
,F03,ROX,,Unkn,083-2,NaN,NaN
,F04,ROX,,Unkn,083-3,NaN,NaN
,F05,ROX,,Unkn,083-4,NaN,NaN
,F06,ROX,,Unkn,083-5,NaN,NaN
,F07,ROX,,Unkn,085-1,NaN,NaN
,F08,ROX,,Unkn,085-2,NaN,NaN
,F09,ROX,,Unkn,085-3,NaN,NaN
,G02,ROX,,Unkn,085-4,NaN,NaN
,G03,ROX,,Unkn,085-5,NaN,NaN
,G04,ROX,,Unkn,090-1,NaN,NaN
,G05,ROX,,Unkn,090-2,NaN,NaN
,G06,ROX,,Unkn,090-3,NaN,NaN
,G07,ROX,,Unkn,090-4,NaN,NaN
,G08,ROX,,Unkn,090-5,NaN,NaN
,G09,ROX,,Unkn,109-1,NaN,NaN
,H02,ROX,,Unkn,109-2,6.21800789484659,NaN
,H03,ROX,,Unkn,109-3,NaN,NaN
,H04,ROX,,Unkn,109-4,NaN,NaN
,H05,ROX,,Unkn,109-5,NaN,NaN
,H06,ROX,,Unkn,Blank,NaN,NaN
,H07,ROX,,Unkn,019-3,NaN,NaN
,H08,ROX,,Unkn,024-3,19.7869914674162,NaN
,H09,ROX,,Unkn,,38.6699126874273,NaN
,A02,SYBR,,Unkn,019-1,14.5016560092547,NaN
,A03,SYBR,,Unkn,019-2,14.3350507696875,NaN
,A04,SYBR,,Unkn,024-1,13.2976564278028,NaN
,A05,SYBR,,Unkn,024-2,13.631752465183,NaN
,A06,SYBR,,Unkn,Blank,35.115374220908,NaN
,A07,SYBR,,Unkn,016-1,13.4539322927614,NaN
,A08,SYBR,,Unkn,016-2,14.0430068890967,NaN
,A09,SYBR,,Unkn,016-3,14.1778293986849,NaN
,B02,SYBR,,Unkn,016-4,13.8898262494976,NaN
,B03,SYBR,,Unkn,016-5,13.9848807651166,NaN
,B04,SYBR,,Unkn,017-1,13.7687719384156,NaN
,B05,SYBR,,Unkn,017-2,13.8308478280731,NaN
,B06,SYBR,,Unkn,017-3,13.6941450670004,NaN
,B07,SYBR,,Unkn,017-4,13.9020139048537,NaN
,B08,SYBR,,Unkn,017-5,13.834384930443,NaN
,B09,SYBR,,Unkn,020-1,12.9787136079505,NaN
,C02,SYBR,,Unkn,020-2,13.7331309531152,NaN
,C03,SYBR,,Unkn,020-3,13.3960222637884,NaN
,C04,SYBR,,Unkn,020-4,13.281505464923,NaN
,C05,SYBR,,Unkn,020-5,13.1925271436179,NaN
,C06,SYBR,,Unkn,027-1,13.5817267182585,NaN
,C07,SYBR,,Unkn,027-2,12.8671466045522,NaN
,C08,SYBR,,Unkn,027-3,13.1965328493145,NaN
,C09,SYBR,,Unkn,027-4,13.3920180315848,NaN
,D02,SYBR,,Unkn,027-5,13.3945923179974,NaN
,D03,SYBR,,Unkn,029-1,14.0295832865366,NaN
,D04,SYBR,,Unkn,029-2,13.8467156022941,NaN
,D05,SYBR,,Unkn,029-3,13.9708274282613,NaN
,D06,SYBR,,Unkn,029-4,13.7938444462533,NaN
,D07,SYBR,,Unkn,029-5,13.7125195124656,NaN
,D08,SYBR,,Unkn,035-1,13.7891742680707,NaN
,D09,SYBR,,Unkn,035-2,13.7972718207465,NaN
,E02,SYBR,,Unkn,035-3,14.1483334257869,NaN
,E03,SYBR,,Unkn,035-4,13.3843587392826,NaN
,E04,SYBR,,Unkn,035-5,13.6046492827739,NaN
,E05,SYBR,,Unkn,079-1,13.3410037488459,NaN
,E06,SYBR,,Unkn,079-2,13.8017578599434,NaN
,E07,SYBR,,Unkn,079-3,13.3689748476243,NaN
,E08,SYBR,,Unkn,079-4,13.2718482801735,NaN
,E09,SYBR,,Unkn,079-5,12.8955795103728,NaN
,F02,SYBR,,Unkn,083-1,15.0142446873765,NaN
,F03,SYBR,,Unkn,083-2,14.3389726748966,NaN
,F04,SYBR,,Unkn,083-3,14.5366061054214,NaN
,F05,SYBR,,Unkn,083-4,14.4862345075461,NaN
,F06,SYBR,,Unkn,083-5,14.3148629262028,NaN
,F07,SYBR,,Unkn,085-1,14.1223236030903,NaN
,F08,SYBR,,Unkn,085-2,14.1119531666547,NaN
,F09,SYBR,,Unkn,085-3,14.0922782482351,NaN
,G02,SYBR,,Unkn,085-4,14.7461958288065,NaN
,G03,SYBR,,Unkn,085-5,14.1256511783943,NaN
,G04,SYBR,,Unkn,090-1,13.6572153180458,NaN
,G05,SYBR,,Unkn,090-2,14.2434747657604,NaN
,G06,SYBR,,Unkn,090-3,14.0836728608649,NaN
,G07,SYBR,,Unkn,090-4,13.989670832107,NaN
,G08,SYBR,,Unkn,090-5,13.9331124529836,NaN
,G09,SYBR,,Unkn,109-1,13.4419070171676,NaN
,H02,SYBR,,Unkn,109-2,14.2312427909086,NaN
,H03,SYBR,,Unkn,109-3,13.5036112706933,NaN
,H04,SYBR,,Unkn,109-4,13.3478878011287,NaN
