,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-21.2000056757352,-14.6401143664116,-5.43432272449991,-6.1001467233541,-19.9624626847685,12.9065680127592,2.1472378298954,-19.502153153675,-18.0088144994556,-42.0888009096529,-65.1036348569946,-46.0131082759067,-20.6404379992114,-4.93399106751895,-8.70778928043683,5.60805980027499,-8.26906428979828,-14.4737485846117,17.8094797390236,-10.7943093351655,17.1486303930565,-16.5103851679341,-11.5052994170055,-17.7506459047831,7.25162954125199,-17.2978597694164,-20.1728021838803,-26.4522776084314,-19.9485118823504,-12.0592743749262,-13.9644939871832,-11.2436940877615,-18.1331213553908,-15.8810618525213,-9.5468091598691,0.0317261579325532,-4.20673703814555,0.75204758435757,9.574957851205,0.366700702491016,-26.4474627074001,26.8804289685327,12.6669695146034,-2.07937987354035,45.4747742384357,21.2669030899265,-5.26217603162877,-4.04292456387975,15.0942799089903,23.2204526056362,-21.846944846242,-1.15592187974971,2.03469998990158,-20.5804136361726,8.50110510785862,14.2900019136832,-11.1371073152727,-8.37983928726771,17.8435038194325,16.4256363573286,-1.52916627381046,6.5759116404929,0.305203143626841,36.4594138831972,-0.0410387009706028,-35.862285226036,0.0215472276713626,9.53188036526399,-2.69820370857906,-12.5241233717379,5.33476161355384,-15.0458780871827,-5.50988061122644,17.1246449245382,24.0565792079592,8.63195099911945,-9.04920132736424,-9.66778873166777,25.5508587822424,-4.78172142571975,-46.1828038608605,14.5592547526435,-2.12910284378313,-3.50214914306252,-23.1260379911273,-30.7761314036175,-0.554710396834707,-25.4484330621708,-25.5184559573581,-43.2839957330207,15.2068288300907,-20.7969835472704,-0.791045401707379,12.5172370500768,-10.3685931707291,-41.8904248754739
,2,-9.47613177242965,-10.8986009278656,4.36419957711905,0.0103450828960376,-7.98231811474216,9.02642097362786,2.37610110594733,-11.130304028914,0.597415270103738,-12.8450459012774,-13.7066600338944,-1.81466573263151,5.94731741572059,12.0138501390015,15.2057218117798,4.04251101773161,2.56062857128154,-4.44332658464282,-8.37677965843841,-4.72319689017058,12.8664379185066,6.14647464248992,-0.438611626792863,-8.13876109858438,10.0184263282231,-10.2232371657547,-14.642412118671,-12.3918170906618,-16.7614245376612,-12.2826698413046,-7.83316694377345,-8.00611949563563,-11.0768479471208,-6.95388367329906,-7.66139235529317,5.23197547195559,-6.00431781417319,1.20439824113646,5.03009623353819,3.44360132756538,-13.645637314195,9.48825899064605,6.20933791500602,-7.17974685746549,-8.89045395830544,68.7741211413645,8.3280630718582,10.9463998693745,17.2916740950423,13.3556536667315,-9.56960680364728,-2.88094954841108,0.329916875230538,16.2602799063434,5.58394582645406,9.02381587517721,-2.87801934531717,1.42177147009033,16.4244473655358,10.0322518690969,7.71247657315007,11.4829409673903,1.68258948636139,23.0560988735056,6.609049134222,-6.3835904898765,-1.51243159053911,2.69864501331767,11.4129596521084,8.00598073504216,13.4028494656218,11.2938184433701,4.51473260426292,7.25801793037044,13.1011869606955,8.44498854376752,-7.48109080167706,4.23850569711658,36.0102125135268,-7.29291533936657,-16.2665346604736,19.046126869282,-3.67082474438439,-0.569402894140694,-4.95200427330883,3.36646877136627,6.55451730983486,-18.5761945782833,1.28121628171039,-2.60440570193668,9.04694863053874,-0.942713436279519,4.23917593770784,10.873763019787,16.8437517483089,-13.1375041912479
,3,-7.4364296113622,-5.71975083375537,4.23695611699486,1.014141034565,-6.83614686435203,9.09066359716735,2.68961121404163,-9.57853473251453,0.894353428382146,-1.85378665051985,5.33743145245808,11.9419846773308,9.52046405827969,6.6286626367405,6.80941603565407,4.82450096477805,-3.91189789085001,-2.25659948291104,0.636041773384932,-2.38085254124144,8.19392108058992,3.7780481515274,7.14546458870791,-3.55147590384286,5.17558879364378,-8.43166353099332,-9.25015116351142,-11.8698181091486,-6.45135001061226,-5.21307179148289,-4.70678670173902,-8.19446995578755,-5.24366064336391,-8.19852403040977,-1.66487442130983,4.13717237728497,0.329902165753538,2.11539910979172,6.98509396671761,1.98325388731564,-4.51784928769393,10.596768868716,6.02439909923078,2.57160207032075,-9.24515585239988,17.7384317376932,12.9668614412831,11.8807976243061,13.2775882267229,10.5631522662561,-2.17649852367867,-7.90212633271767,-0.408853513968552,12.4136515443056,6.81633360091246,4.7834606175611,-1.16910799577909,1.43771817314337,6.09615138215713,13.5208266865748,4.95880251271637,4.3500687788578,1.15825973499932,15.7650987717293,4.12488471958159,-0.353421264187091,-5.2072146765222,-1.39831287808738,5.43783455942867,6.31427455541279,4.93255825275764,11.8969788801278,1.74724537692873,4.89810466405652,6.60984225606308,8.89297569685596,1.4201178158246,2.65051154698767,17.1506122789269,-4.70501158414208,6.99988562929957,15.1771576146989,1.85814720955523,2.91464656854214,-1.35257963748563,1.7648018495961,-1.86817166199535,-6.19356522361841,5.05850496474295,-2.32261084825541,10.6122133470635,1.87293892928119,2.04685662066004,9.32646067445876,9.35609790414674,-4.84192077457101
,4,-6.69283519360715,-3.23495643738806,-1.76811463069953,-0.980599563370106,-5.0611319874015,8.7449562338702,-0.252005592925343,-8.72960976091326,0.0186763714705194,3.81617912413367,4.62574244397047,8.99586599790791,5.52932095558663,3.06039396796905,7.63699605161491,-3.35025672145184,-0.0942787426574796,-1.53576986810867,1.78259226313185,-1.13902988501559,2.8173808640463,-2.13042762979103,2.78048875784179,3.13875241794494,3.40017146479249,-5.12609534373951,-5.95697246284544,-8.9217891609992,-4.37191373450833,-1.95064711227769,-3.88788822149854,-0.877519763952932,-5.23782327080744,-2.90922410178337,-4.59712093095322,3.59684860013886,-0.999050984311907,-0.33264904960015,8.32307934685878,3.66723025439433,-2.48325159477918,4.10603269243347,4.84609098544342,3.92358339751718,1.5624773468744,11.2521348317332,-3.75420026059328,8.66798504417147,1.51367170318872,6.21689133320206,2.58334807912843,2.59022665740486,4.73198858443311,4.66339528320123,8.57138016327008,-0.763266265284983,-1.55545163913166,-1.52868385257852,4.60407877316948,3.65859149035032,1.81482119883458,5.13809010638943,0.338579702003699,10.9960692195368,5.70934371305157,3.84925149722176,-3.15459138584447,0.684088733979024,5.97672935655692,8.14704753456908,5.1097488738551,5.63787860567163,12.2919162997468,2.80555688178583,3.88087172856513,4.33101202866646,2.17737110523694,3.26170012046987,5.63693794147912,-3.28536013910616,4.6813146333775,8.82175112333971,2.00366283030962,-2.8156706826403,7.51889189809117,3.0124310346705,3.28396860392922,-5.07480022790151,3.08733451215858,-0.33588609495655,6.30561494642598,2.55876615772013,2.36892891088883,-7.01806476128195,4.40215681681411,-3.59184235386374
,5,-2.42497390447488,-1.81037857462843,-1.03898700043965,0.0601088364487623,-4.99384071413533,-2.64220610157327,-1.29877218381489,-6.38310597422151,2.67819889895372,1.87846733483593,4.14486245222406,1.10539026506922,-1.76232177116663,5.80644317420229,5.24993498368622,3.01369743570785,2.59920869764983,3.58569825444783,1.89945535560946,0.34853058048293,3.23633543608958,2.30361890096174,5.76228289223081,0.356764709814797,-0.774282819515975,-0.62557975086429,-5.02562933586933,-0.900166164920392,-3.2301291654635,-0.240654430893755,-3.20885058557587,-3.6792915590313,-2.71148480106422,-1.2746133989026,-0.163226208030665,-1.70017449096076,2.61133025396748,2.67113426142032,4.68557333354056,2.12181947449608,-1.7455104945434,6.19732945983014,5.8438411701286,5.82867689824525,7.70560686802037,2.96246976540124,6.58781632855107,4.22133849246302,6.4979296645829,3.74106417337407,8.23021775564075,0.556459905257725,5.12115965770136,4.42176496326965,3.75995681102722,3.33280129824834,1.54730908455167,1.44948128074111,-2.00960873699387,0.0905046025181946,4.29755800335215,-0.0231468024990136,-0.324795362550958,10.395810139622,7.45904731837436,5.86742145611197,-3.98210136153602,2.42171396011327,6.46624830108158,5.73892457258671,3.66320291184411,3.35914240006014,9.23606589080782,2.80282395866561,3.60138548748819,4.67711480949174,3.67751695230163,3.37589633789139,5.94550355828051,1.56031976972827,5.45200895376274,1.22507762643863,1.79092894343148,9.29933683190393,5.20871394272672,2.72811035453469,1.30746721051764,-2.22677523568018,3.38172820675572,4.40072485925248,5.78813808323412,3.98379455609984,1.74877952676388,-9.29588416240813,4.16388480879095,0.896818449438342
,6,-3.86455935821459,-2.16980079235691,-1.35033598116206,3.21449911555101,-2.80941979336239,0.919251252408685,3.55091477843735,-0.978128142597598,2.78214837757105,3.26334080594961,5.7250395464207,5.01871776058715,4.36445430506546,-0.351888623830291,-1.42046276856172,2.06176642902801,4.23935005476369,2.03260368670999,1.96827428011375,7.16716608494471,2.11589810687565,0.950805771673458,-0.275220637232906,-0.420365276085704,-0.103429119518751,-1.44148938006492,-0.303391699821987,-2.04443860355195,-2.92909526074436,1.38087039250422,0.676292543370892,2.6218964642012,-3.43084548237812,-2.60037663562025,-0.800106921212318,0.830499948996476,1.39302013506904,-1.45803971791565,0.642599017221983,7.02146674365395,-3.81624371060752,-0.590434800419644,3.28499553166375,3.54808835678341,7.66276377164559,0.755816187094752,-2.0447364550555,-2.79020118844619,0.314422343275055,9.84510034025971,8.00750811726357,3.18222459486333,3.65693383025291,2.82289532037112,3.64711825028689,1.96819462258645,2.9839487088575,2.50622411260656,4.22606919395048,-1.58788880597967,6.27093152667339,3.87490873161914,0.882680351538966,8.07078876041987,6.88443604126314,5.4363988106079,-1.26056224633385,2.30864212842789,5.48232393276157,6.70352755363183,5.24986376247489,10.3820210932986,4.84828220628424,1.62476482558668,5.34158015558978,3.56273596421534,5.0024238549754,4.0285219319594,6.02590942596635,7.405921850087,0.944312756013005,5.99559985115366,6.17408100470084,4.19380357285354,6.37656530531194,1.24119154374284,3.44364285673782,3.46562445144809,7.28694131531347,3.69062995397644,4.1991338594994,6.8135478256886,3.50996527463485,-0.401391658254397,4.01214179702629,-0.35455016959304
,7,0.286927540951638,-0.32670876464681,2.00607075056814,2.08931506763975,-1.68583092113977,-6.34840050586718,2.9933270818583,-0.74103310335704,-0.460108197791669,0.532434776689115,0.474173730734492,0.470000687264474,0.888477706130743,-0.872228045014253,-1.15038587876415,0.0434500447522623,1.43001273571917,1.81329334685915,3.74229521339566,5.81079161901971,0.512671958897045,2.86070866272894,0.5176423682924,2.9820103246584,1.93144982894137,-1.58969384883403,-0.683705673244731,2.8913606525507,-3.72117657833451,-1.37626349731772,1.94716497277659,7.02528921513976,2.59669508232173,0.0109221498109946,0.378857596753278,1.80528525629597,3.97810276021164,4.35097269429343,1.7545441543557,2.02041450849629,1.39560216586324,-1.84879599833221,-0.442379632751454,-0.797370624225096,4.76714048629765,-8.05064833397,-6.5553102028357,-2.80676221073418,-0.161770645958313,4.57180058707127,2.23634790796905,8.58399814767063,5.10946033303526,-5.55995519203952,0.590911795629836,3.19412918159651,2.25674725125191,1.56002285578734,-0.73433876489662,-5.69391864445606,0.575668346731618,4.53051748190046,5.38838914674534,2.12992996053481,6.767335415042,6.65811298213475,5.51505868840832,4.64156374382173,5.88633377853876,2.88178920745304,-0.632586511038426,4.00220370300622,0.865096370464016,1.56991454547915,1.08922166172079,-1.11527711166218,4.27619948489064,5.56114974069169,2.2037716100117,2.63156018896825,-0.139427717431317,1.72601849717967,4.21131419333869,4.94709251422864,5.0509846849327,3.01828545216767,2.95084496531672,5.24380430228075,3.8314758052029,5.67805709157165,1.78078381261912,2.11284247046933,0.166408706979382,-4.96430965703166,-0.660423865641405,-0.701861392327828
,8,-0.28407410269574,-1.64638316199034,1.55445438169136,-0.56808832574734,-4.28104458628286,-3.46715612205116,-0.518891683265792,-0.152017620243441,1.95130618416442,0.0116170822634558,-5.24869476640197,-7.17326813122281,-2.20838829941113,-4.89603295076449,-7.58828200698827,1.8589145800961,4.62503288040216,2.39708795187425,4.32314750109936,2.36401961693946,-3.19288938168484,6.55564373116567,-0.0801153485226678,3.07761115172616,-3.00118056676001,-0.620131023455997,1.69883386987294,-0.0491772173577374,-0.197943202949773,-0.957375864035839,0.341081369932908,0.551132001117821,1.11556588521762,6.37323306181452,2.72945160444351,-0.502387770299265,0.30807079117676,1.73343202632441,0.123123006734204,-0.219607651450588,2.68247316622592,-6.3758917463806,2.85333012173805,-1.90371435901261,3.44709025396196,-5.899291706658,-4.96700212234555,-0.97216409380826,-6.16736720733206,-9.22288214645596,0.372345013498489,3.01258624701404,3.36654211740233,-2.70904232903376,1.37925325352035,-0.0769663712894726,7.22504492135749,2.6838890862191,1.74850280632836,-5.5540507007463,-0.359752307131203,1.83605826668099,3.25902907244699,-0.338440690871266,2.09504329231686,0.421858043661359,6.28526784257747,2.77268299738216,1.89538543901335,6.09462629331256,-1.21724691290819,-2.50599758007638,0.415700079675844,-1.11645045408113,-3.66548542992996,2.10045163269297,3.98382687020739,8.28985160512184,2.79373976805527,10.960627223034,-0.76093062538439,-3.71512904686233,6.27891245331557,2.50308477201588,5.00680957234636,2.48454093799182,7.2164897198968,2.4062028747162,3.05745760990158,2.03548526169925,-1.11407121051843,7.14443648842507,3.07304962781018,-5.37545056060708,-1.08420367162125,5.69183946060093
,9,1.72919416691093,-2.46671344339666,0.102490134283016,4.68500647704559,3.5613749920899,-1.93624874022998,0.328531032021147,6.06783296179856,1.69625473787892,1.42425475340951,-4.99655352612626,-7.85264936834028,-2.26799854402043,-4.03473679593844,-3.08825780273173,-1.84733357852247,1.28472700748534,1.59866429170188,0.254799052151611,2.24036535780033,-5.18062116205419,1.17079713682233,-1.8221871229689,4.3361686398498,0.18675555800337,1.43863781297432,0.380832270043811,0.653914988838096,2.04688339959785,-2.33631226947136,-0.381784605678604,1.39725307675644,2.223535207032,1.59541726138059,-1.43284875272275,4.73045443038291,3.15995668618098,6.9223697082125,4.58340486415409,-1.51373425861038,0.134593355818652,-7.40003767336657,-2.86141497488279,-1.21704753634549,0.962205320710837,-9.53942781040951,-7.65658488786175,-13.05783909509,-8.90987425791764,-4.43309880174002,-6.72408804636279,-0.156200135274048,-3.43480446076364,-4.79879851659052,-1.55653193810258,2.51380411908258,2.21526666332738,1.0745012183279,-2.35872529397057,-0.786222628276846,-3.63738264320546,0.795482839974738,2.39311903152384,-4.27000618339071,-1.73609532769979,0.88430234978614,4.02552339409385,1.85304739743606,2.51280208421213,1.61559368661665,3.97435189120233,-1.04546926607281,-3.73933769054656,-3.12055850657589,-4.22767766477773,-4.10268460005864,-0.964521596301893,0.993287519917885,-4.4632744298865,1.12722454857158,-1.1283771049043,-0.590706642669375,-1.83428453073839,2.02287363198775,-3.33470327194891,1.14859599286592,3.74641138451761,7.21840173104283,-2.79641280654732,2.78993137913312,-0.593509517474558,-2.24688896113639,-3.5870393383284,-2.34905633302333,-0.710261915772662,-1.05905091174827
,10,3.7386250333866,2.00941901652504,0.326691632338225,1.80082346331437,-2.83049221735564,-2.39424107624973,1.44373018066244,5.69611272116299,-4.95040555517744,-1.00965000408723,-6.71941372555011,-7.78163696050797,-9.37755687962681,-2.563316361533,-3.71738555110051,-2.46264065323021,3.52928906604029,3.37474349184504,-1.84887541956641,-0.758444501619579,-1.38707620130708,-2.96783525754745,-4.56038342397778,-1.22636801890303,-4.82629443507358,0.852193395507584,2.35177954296523,-0.765180169667019,2.25598732662775,0.794164141468627,4.39829472827296,1.01863554443025,2.76651182077967,-0.125743072124806,6.19233662213446,-7.0819764383441,-0.891159116956715,0.480661212392988,-4.10770770937916,0.598227435147237,0.231264095564256,-8.64504567945323,-3.95736163155243,-5.75447829702853,-6.53532620358783,-18.4546264276655,-8.20000700068431,-11.8083153213911,-14.8339497399274,-13.9885858816492,2.00306448318361,1.42441553741173,-1.15641069716958,-11.081556325305,-13.212961458677,-3.10290070002657,-0.642379913995228,-2.13166840265831,-3.52342107230925,-7.42043962188154,-2.72701541878314,-7.42086145690064,-2.99034876984024,-8.41412513177829,0.308317085392446,-0.401805837879238,8.42504446588009,5.85849840837864,3.56975744707324,-5.26084114741752,-5.20837834960685,-7.17133767564746,-6.7978914310861,-2.30951928137029,-4.63733323798215,-7.29589087612567,-3.7286015561599,-4.66374436953765,-6.07698545056473,-1.37419415253544,-6.99750848548729,-8.964955627775,-0.141387607728575,-0.932101291870822,-0.232979552965389,0.0102544289716207,-2.46401408557176,6.36134594805026,0.432298366921259,-2.63106016719757,-1.92126460297868,-4.35708016320314,3.09735220332732,-3.8942858795026,-5.06946251300633,3.99897241205736
