,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,G05,SYBR,,Unkn,107-2,1916.58052750762,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,107-3,1744.89184896757,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,107-4,1967.73900654926,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,107-5,2166.04135656507,,Unknown,Unassigned,False
,G09,SYBR,,Unkn,114-1,2101.91198002396,,Unknown,Unassigned,False
,G10,SYBR,,Unkn,114-2,1650.50705054711,,Unknown,Unassigned,False
,G11,SYBR,,Unkn,114-3,1686.32139898545,,Unknown,Unassigned,False
,G12,SYBR,,Unkn,114-4,1711.87918025962,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,114-5,1683.55587989846,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,116-1,1743.37529984744,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,116-2,1844.88567781169,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,116-3,1897.14508484386,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,116-4,1884.25803515002,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,116-5,2017.9928474717,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,117-1,1813.07486002754,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,117-2,1947.78170655007,,Unknown,Unassigned,False
,H09,SYBR,,Unkn,117-3,1816.81297855996,,Unknown,Unassigned,False
,H10,SYBR,,Unkn,117-4,1743.86650165454,,Unknown,Unassigned,False
,H11,SYBR,,Unkn,117-5,1566.85544736132,,Unknown,Unassigned,False
,H12,SYBR,,Unkn,Blank,61.7924389651361,,Unknown,Unassigned,False
