,Well,Fluor,Target,Content,Sample,Cq,SQ
,F01,SYBR,,Unkn,024-5,22.4210092259132,NaN
,F02,SYBR,,Unkn,025-1,14.3574453471498,NaN
,F03,SYBR,,Unkn,025-2,14.1712660248198,NaN
,F04,SYBR,,Unkn,025-3,14.2055659023638,NaN
,F05,SYBR,,Unkn,025-4,14.0658830287139,NaN
,F06,SYBR,,Unkn,025-5,14.150297183256,NaN
,F07,SYBR,,Unkn,031-1,12.2759154550997,NaN
,F08,SYBR,,Unkn,031-2,12.2857673453123,NaN
,G01,SYBR,,Unkn,031-3,16.4163136821899,NaN
,G02,SYBR,,Unkn,031-4,12.618514206105,NaN
,G03,SYBR,,Unkn,031-5,12.5350478976366,NaN
,G04,SYBR,,Unkn,037-1,14.1664749211828,NaN
,G05,SYBR,,Unkn,037-2,14.2623117009637,NaN
,G06,SYBR,,Unkn,037-3,13.8701814899192,NaN
,G07,SYBR,,Unkn,037-4,14.1548829423788,NaN
,G08,SYBR,,Unkn,037-5,14.6944552525481,NaN
,H01,SYBR,,Unkn,Blank,NaN,NaN
,H02,SYBR,,Unkn,Blank,NaN,NaN
,H03,SYBR,,Unkn,,39.1035096591445,NaN
