,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3
,1,-16.0069434053175,2.14704878026077,-1.77155563191582,-2.43925580420955,1.0399668174332,118.121366556098,135.835009157649,62.6126115253574,48.1156296024383,-0.178429925164437,15.4209499057174,19.2222820919014,-10.8448767908608,-28.6168944055944,14.3343393495638,81.236341288276,-32.6863329805383,-31.7722126800472,-2.642568932004,5.15105209122248,18.5072654540359,5.58777258230248,0.602321538072374,-8.90962203197932,142.458654475355,11.9604051704146,6.19885384387726,-5.97884826393965,4.14393041640415,-2.36437816642683,3.39095255208395,1.33993361210923,75.3579171532574,-21.637185474985,13.7381977990485,3.25887423349877,16.2210177874349,13.9812616674153,7.46327019545834,25.4684922529086,101.719230555565,5.43881488294755,3.12748562435581,9.48552962707754,8.13630584938574,3.56281922850985,-4.83805201736232,10.1966288538106,-30.9316411086024,4.78255434513767,24.5169798540833,27.7859297863856,8.52802775078862,14.3659182018905,10.4986440029152,-14.716428180699,2.34420542556063,-9.66284330879716,-5.94610045027048
,2,-6.43431645354485,1.16088224620853,-4.71332880445925,-7.89693494534095,8.5169824322038,16.3122293703973,91.5000350012815,47.6166770581517,55.2328932243527,-3.01605000858262,2.61214173091821,3.68816761718062,4.80787896147149,-8.90518049243292,2.35058289901872,28.838978027004,-15.2192136950866,2.31236309858423,-1.75772395519698,2.16608229281746,1.68779223240927,2.40493356001843,0.137081741866496,-1.16367116582524,126.915077087056,7.50406087992405,5.31735641843579,0.42320486556855,2.73205390101384,-3.33161758418737,0.699729704746005,2.79053372461613,67.2122369673261,-14.2607909298981,3.77789278582031,1.14440350135555,7.81414978954945,7.0873838943171,8.16271559388224,3.98374231942898,76.2975754396712,-0.0515993980484382,-0.753180813265317,2.34435501928147,11.1527100501262,3.18373475704266,6.54454621351624,1.87640755297889,3.88996433880675,2.01467481932787,11.105323217394,12.2169958942686,10.3218298135166,9.52733475859486,2.68212547709754,-8.03417302688331,1.98625794226928,-3.65067847413184,-1.02479103156975
,3,-3.61432962570279,3.50270590340779,3.45817981864002,0.419439824283472,1.4035005620467,5.56387755061178,11.5298279119993,35.4361886135039,56.0233523753545,6.29248323900401,3.62523186277713,-0.686866135052696,2.91731573474453,3.48203753998951,-0.212878737607753,5.58228113688619,-1.02637181421778,0.948762856020949,3.23711388903257,3.17599781343461,0.711587096210678,0.699509189015316,4.07505657384172,4.27900215085765,101.515424073535,4.290891827628,2.86653128884109,2.4240479001719,0.888429026956146,3.57569345769389,-0.184250361011891,4.75343062084585,56.9150208857168,3.40248529339078,2.19592457712452,0.23197134641714,4.61969049587424,4.70059713294677,3.90074611611453,3.03651826100486,55.4416471974619,0.18278174842726,4.86581228530486,1.79375196011097,2.32207633532244,2.25728283357194,1.55281805288132,0.449650684854532,-4.39513450487721,2.52598768860935,2.97182321182254,3.0492449450112,3.77011015698963,3.76066397867135,4.44671441260971,-0.820672396986538,1.54450426918902,-0.668027153365074,0.39275116424551
,4,-3.89752428126167,-0.587076396586326,-0.229639124338973,1.1412176421677,1.36882284560079,-5.53703405488659,-8.08715407460068,-20.7089199605739,63.4324623520001,-0.617926861136311,1.46696854717766,1.616923969857,2.611635941028,-2.53613354704294,-0.858962356463962,-12.355781973687,-3.53226603832536,1.23493445052509,0.984913252758361,-0.0410015523775655,-0.105049749336558,-1.25159014668543,-2.21208367374447,-0.560621325754255,81.9556128854183,3.9363074387411,0.791888053865932,-0.120753077949303,4.06673139520854,0.0738649109889593,2.66696569359965,-0.284728241394532,47.9409611365018,0.144464831331788,1.68148274569512,0.65386886006263,1.77379135851834,2.99191922980799,3.45353200780755,0.365682317551091,28.1580060551432,3.49998430729192,-0.711537126057465,-0.0271536424406804,1.29506231088908,2.04880911201644,1.50273682821989,3.58159572151862,-9.216048716356,-1.04840276424329,-0.842053273818237,3.75585255683791,6.80894183957844,1.45853826440816,2.10010380534641,1.80462112901068,3.01545003046385,-0.31554350936176,-0.351869019503738
,5,-0.532829958892307,-0.671442048328117,-3.23188836316604,1.4115833116457,-1.0527774211555,-9.20908929048483,-13.99492336917,-31.1649255569623,56.4090363377054,0.303519034199326,0.284418101452502,0.188844303856968,-1.57935190420585,0.0858565226340033,-0.193272141415491,-9.88296396573151,-2.61810570283433,1.92648977145063,0.131049126578091,1.5362175602063,2.42905622545322,4.67569085871446,-2.1104739839534,-1.94834793307882,55.0167783609518,-1.73975464150863,-0.744115347505613,0.336547979138231,0.723491617381114,-0.0767280638892771,0.660961412491361,-0.0147520096306835,40.5827480888379,-2.73161800521484,-0.487781661567624,2.91558149628963,-2.27242988449507,0.942674166743018,0.464593346740003,-0.764308279307897,15.8212203950548,3.02485577929519,-3.6562404432625,-0.281785013040917,-4.22840277856039,1.07754800778002,-0.478159423499619,-2.11551675906958,-12.5350388542624,-0.863394877115297,-2.71807846589081,-2.09659386475323,1.49668079507865,-1.6662097357239,-1.53664710714156,5.45516719686475,2.1103413879373,-0.76101062780117,1.79496547817007
,6,-4.19207301864844,-3.55293406529836,-0.991820089975135,-1.13297009892722,-1.44444631465512,-3.17724142726047,-14.4250727853469,-32.9800385521935,51.7579032626395,-3.87052620025906,-1.73802974389446,2.53358627440593,-3.82212944715047,-3.34122044809783,3.10031243717322,-6.36421107493152,-4.23247630320293,-1.34273544915504,-2.75455577345565,-0.424094393068117,1.27554308108529,-0.496527161989889,-0.67440266981248,0.684913550942838,28.9502706495919,-1.75688512439865,-0.263956196521576,0.57768718372472,-3.67203029205439,-2.06070614187001,-1.0783508874847,1.44771702722483,32.3219352944238,2.62633794222484,-2.64218326370928,-1.23033585992653,-1.03724731646753,-6.51495133188382,-3.59961340979362,-0.0254464826361982,-6.96950470645015,-4.51503605271455,-0.442878204333283,-1.63330997231333,0.436337220033693,-1.63857832084477,-3.24702095448492,-3.53686896657382,-13.6445269439178,0.0705201870287056,2.44498754948881,1.68699466229828,-0.527803874964775,-1.52926737422058,-5.30826775576725,-1.8946253459344,2.77308307916974,-1.74326780650108,-3.9514234156245
,7,-0.390193619567981,-4.35249093131142,-3.95356282187504,-3.25865411996892,-2.2469103029739,-2.30346264692844,-9.54933511872969,-23.2121572761416,37.2199906211222,-3.73910611821248,-4.2246449811496,-2.35709251239678,-4.50823609635563,-0.757513335225667,-1.84977153769842,-5.83797496824536,-7.29553862297371,-4.01957668294745,-0.975841455639966,-1.83342225382012,-1.5938182047189,0.382329673742333,-1.091569804355,-3.25771136453568,8.27267873516757,0.703383740028585,-2.60885545865085,-0.882687939278185,-0.371639847679489,0.0958717383405201,-1.34132456385851,0.97684729319144,29.416958722381,-1.61298598117401,0.885808453488607,-3.35950307046778,-8.60336396066714,-5.08100921996356,-1.09432375226697,-2.28364598377675,-22.2965311354915,0.546050983079567,-3.00368814522744,-2.00516780686121,-0.464586882987078,-4.10628884059679,-2.68263835427524,-1.8805820820603,-7.57008441082962,-2.11033940893367,0.163812306413092,-3.28541962013833,-3.67100220766997,-3.21062085816084,-2.24964328242731,-1.5829665259489,-1.91106180416909,-1.99031954726934,-1.41273240749842
,8,-0.456338099914774,-3.8235535673889,-0.235544292316717,-0.454482442147764,-2.45412994531944,2.4173651331962,-5.45518337105432,-15.9070034993147,21.0489738154797,-6.14650343704807,-5.61114298731627,-1.69775077729128,1.97502780672039,0.796166328703293,0.803741576281482,0.967846355479651,-16.2458955457637,-6.09722032724494,-2.33630879422435,-3.30555098518062,-1.54733618354612,-1.23785299760311,-0.770234192839325,-4.4300225577299,-8.18056563945902,-6.29770891687758,-2.38198882389861,0.0649271127381326,-3.08345246937051,-1.44293619428709,-0.971820247408232,-6.50444687972504,12.5578716433961,-2.55176399699849,0.227149775186263,-2.38391326786814,-3.76660137459248,-3.12983861320072,-6.02769255936255,-2.94811401121933,-42.0286102780328,-0.743488009286466,-0.405192656568033,0.964922272801232,-2.19933589071707,-7.6226630652036,-2.93624283315285,-0.969444160355579,-9.39667646033558,2.97636666260314,-3.38143898340013,-5.51884262020667,-6.83928232865674,-4.16047518194682,-7.38237359083996,-4.75587404689986,-2.08777987949452,0.610960094936672,1.43960278455643
,9,4.17510431687288,-0.849388075339903,-3.78666799256143,0.475861385523785,-1.04973817359314,3.76972642621422,8.29331802615707,0.0386543592908311,6.59026985367564,-3.70838316867776,-2.57360307449107,-0.984113779538347,-0.927916293723229,1.541627575441,-2.32267959869296,7.02403218252402,-13.1768386436079,-1.37695859746236,-2.35836834158499,-3.78726254263347,-2.09246501233656,-0.952019107202432,-1.26176359789179,-3.12920578172134,-40.0091645383231,-5.20325573858554,-1.73139743678757,-5.27767347133067,-0.245733508455942,-4.67868253353163,-2.22179282499701,-6.39175621608229,12.0709604822237,1.53772265052658,-1.86035217390418,0.878314775637136,-3.02741890028483,-4.98517793390965,-7.11479601900783,-6.48258982293373,-57.9682191267452,0.384905557324146,0.289008943878798,-0.201860387288434,-3.65002241228785,0.570934234387096,5.24696413738729,3.40536571376606,-15.7558772664579,7.81903386756358,3.70411676077583,-3.73382564583608,-4.46188934031261,-3.95970057688692,-2.17694952183319,-8.56099581681519,-0.818928115922517,4.08797339995226,1.31736313422925
,10,2.0320464577685,5.15519873440508,5.13787337013719,1.9981059050906,-1.87120290157145,11.0133774745668,21.9829008123629,12.681971606607,-7.71458709486205,0.636767442446853,0.687006247036607,2.67822711883991,4.02027697618996,10.5623775197778,1.11249683852338,21.407274636475,-18.4345828698556,0.138957755459614,-0.47403947931889,0.618143030241754,0.855720110093444,-0.991087617431731,2.8814633426914,-2.9708083138712,-63.7741803918816,-2.06570137632798,-0.498776769649794,-0.586254719876706,-4.94808470934777,-0.799024946601548,0.404531508823766,-7.48191537930052,-3.54452618268124,-2.9729356097173,-2.18043626933468,2.6470316214336,1.19670115730923,1.76979422395789,-0.0513875329952498,2.50794864097043,-10.0456645302284,3.29983004554288,3.12366031832153,1.43736191743483,0.250940034002724,0.61581869044403,15.4001940116882,15.9381342619181,-13.8656983509177,14.7058997135759,5.42380512570526,-1.14503651833093,-8.85444761197095,-2.38587992458861,1.71106720371426,-2.06446763545637,-0.552106850988821,1.45445042133269,1.08743157568688
