,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3
,1,-37.0581415575371,-9.75953769617217,-15.4695355291128,-11.6612163950113,-14.6989224466038,35.0744015630808,34.808918050373,32.9141705879865,-34.0934660262942,-6.84528010829263,-2.72863543818949,-8.42303895953546,-22.6735694846225,-37.2196642611534,-20.6605068648523,20.5641685536975,-23.6443429095689,-15.7864038811031,-10.5213341851668,-9.69674647964621,-9.44501199364322,-18.9785001312416,-18.1092483417842,-26.7222006868615,-12.4771838082879,-5.49350883187071,-4.65587716795972,-17.8568048740158,-9.42542921579525,-12.7126936193376,-11.813557282911,-6.48485385016329,-7.53593435820767,-19.3113174201412,-7.13220904399986,-2.17658176473378,-3.62150596531183,-6.0495567233138,-9.62171855245333,-0.823200813860694,-2.80233121628862,-15.5269584877442,-8.59431941083903,-8.09362481651851,-7.78179556836039,-5.12586974665874,-9.62295818903567,-11.286493630128,-24.0690183915913,-11.02608478513,-1.12393801281769,8.30094358622409,-6.3059421272892,5.35833857763646,-4.26041510213827,-12.9891541537709,-12.1694025757834,-30.4454632453444,-17.1179174956865
,2,-22.2670180298837,-5.77160357190451,-8.83072311065371,-11.3217122261467,-5.22800750823353,-2.98424694326377,26.223776109397,40.6455515754978,-23.2911899050005,-6.81584950482011,-0.330334767716067,-8.78593428016711,-9.64254350694318,-19.876227286994,-15.4796930874504,5.76937694399476,-7.31785437680401,3.14202151528161,-11.279366805235,-10.6187552465112,-9.73236070381927,-10.3138156390623,-8.54504406038996,-10.8330299480363,-3.09961460945578,1.14194586013537,-4.58526770672961,-7.0795983590001,-4.26332939118356,-10.7501801297872,-11.7527548260873,-9.05526251804167,1.55940915764904,-11.6384993560164,-7.04993427626869,-0.294909430740063,0.682146171231125,-6.60108209495047,-6.78053547081709,-4.95506335678283,1.29551343208459,-11.2153869002736,-12.8894111739432,-7.80943141337093,-3.87247441358795,-8.59553524261673,-2.96307100834974,-5.13049321249309,-2.88877659641912,-6.84996744835053,0.618886567543541,8.03878921572868,0.245194625402291,-0.576429741086486,-2.10670889770154,-6.05831919141747,-9.54909549469176,-14.1782378877265,-11.6559959275146
,3,-11.1934909778042,-0.821287033448698,-7.29373369803216,-5.25036363988056,-4.36622113885051,-4.57495193031673,-10.7807493912137,39.8656323687069,-16.1384738623551,0.240058087690613,0.892586709439911,-6.55095716751293,-4.78066452813664,-15.6651311214951,-13.3522780077828,-0.964115769969794,3.80159358321635,4.58400391369105,-3.32902889768275,-3.71644117929191,-3.32923061787278,-9.08053402126552,-7.66468915409632,-6.17440456382155,-0.40967960016178,1.82581183330285,-2.46712020473888,-3.98368820181531,-0.157661873860889,-6.94141190607843,-3.64094968075869,-5.69534962253647,2.26020688701965,2.17479866159738,-2.85199771379803,-3.02352174179987,2.41491850914099,-2.16340501599325,0.432875857001363,2.44097725862775,0.5005988278931,-12.1319377552045,-4.59880366774041,-9.39217992125896,-4.49318641518812,-2.7838991843214,-0.583281507465472,-6.55173277486028,-0.599974408310118,-6.58721079449833,1.65887799080292,5.40262148373722,0.637029727457048,4.70113467392594,2.13624907072517,-2.3046404505294,-7.04266047771353,-10.1001925590135,-7.94715529880841
,4,-5.31055638941689,-0.0149488695092259,-3.65284178486945,-2.25866225506616,0.535549101373817,-6.17476371713246,-8.19926300620136,4.40175862246178,-1.04730790989925,3.5749402800684,1.58533513379143,-2.7828905463457,-3.02936616504439,-8.60877960084281,-2.93963853538617,-3.95094864175962,8.31359538695142,1.31225961777045,0.0874848505072805,-2.53818724111034,-4.684633894733,-3.72146749199101,-4.353819890262,-5.98561098520122,1.51766183423433,1.74560722280603,3.96863211661093,-3.18615302340868,-4.01550400510996,-1.00917704994799,-1.94934818885622,-0.124735606321337,3.58340952097387,3.52448660389382,-0.14097147324037,-1.31409962249199,4.12763538715217,1.23120531599125,-0.0877147633982531,1.31540160784107,2.64446518527302,-4.60306909082647,-1.52009394351126,-2.05521233260106,-3.22015565781248,-2.04433047416796,-0.892189810126638,2.14887842861981,-0.758502824777679,-2.92264724930328,1.72995688646006,4.29250995640496,1.29050497378921,1.05214011844328,2.78693397826009,2.12605667382695,-5.38403062783118,-7.14992237213846,-9.02461871404012
,5,-2.57404947922123,-1.06620024378572,-5.38694630807868,-3.70082418369429,2.38094639745896,1.77708424674574,-9.53378652982155,-8.55195045000391,4.07163162669849,2.1522493676116,1.19908230623423,-3.7838369379815,-6.23851194987719,-7.14749535762985,-1.22521450023896,-4.07098111495679,8.55183673058218,5.70450032430017,-0.491482648425063,-0.84159641598626,-0.908383801086984,-3.31990159559246,-5.0117823487717,-2.66703010212359,-2.63287654857231,-0.482421867930043,1.34674953967169,-3.34223594515379,0.396043368684332,-4.39189865692015,-1.40716638381173,-0.719703667635713,3.06240966925589,1.31147140429084,1.14127984757033,0.953762384091533,3.75874326089661,0.569604887025434,-0.320493263441676,0.943626462046268,3.78772765814347,-3.99491643470219,-0.0757659960959245,-1.85195899210657,1.39164403664154,1.88033829141114,-2.14383541921825,-2.56335475237347,-3.47805999713728,-3.46285074310072,2.75777001447113,3.417717889306,3.52631783811603,2.19161980419449,0.321954359662413,3.65224933143372,-7.3217357718263,-8.25345073180324,-2.32043900942199
,6,6.05485503598084,-1.5150217042451,-1.30901503722089,-4.68921685635769,0.653757614792085,2.43282481082451,-6.0853117627189,-9.80527903941174,4.71545241956437,1.79487841843365,0.163999939596124,-3.53438117309497,0.155821904896584,-6.46077398529314,-1.93332870444692,-0.341221698872232,5.43807822904955,0.35080616369487,-0.582128943087355,-0.90526693837819,1.87602971283013,2.85723337255695,-4.82038539750783,-0.878715111687598,-4.94483317397362,1.09557502879761,-4.85448246340184,-2.96448451818605,0.674975857488789,0.4366271291251,0.293076686313725,-3.19793567498164,3.75671554884002,-1.10153425012459,-0.81459192701459,-2.61174155913386,2.79856515290612,-0.693972518822193,1.09124481775507,1.68005522115709,-3.54400577096339,-6.51739088772229,-1.41764593329208,-0.284795332219346,-0.787756284560146,-0.458434712088547,-1.21261209495606,-4.02737581455722,-2.74815820101139,0.580873196548055,-0.105860023190871,0.929106825498366,-1.02579264057113,0.864094702332295,-0.391511972204626,3.35004628427168,-8.59561754719971,-5.39526561456887,-0.624111006722615
,7,7.49028205598279,-2.82497999103998,-1.06002545848742,-1.84386591982866,2.27429917598784,4.84176369193028,-1.40081881030983,-10.6289034006168,5.96615920460999,1.78209781894884,-0.217958525575796,2.58821915495355,2.8601483589573,-9.51674662472487,0.406188115884106,-4.61343939941844,5.67453501557975,-2.02321889533459,4.68966573350781,1.82004507364763,-2.10771725170525,1.12780615152315,-2.77101569556362,-0.441375851402881,3.28891665087986,1.05239146234044,1.71550650466406,-0.745455260605922,0.749480069779565,2.00845649541634,3.36151376198359,0.35786372449229,0.747705846370081,-0.661632827770973,0.883848940088683,-0.0273995331931474,-0.67005981946204,2.49608401464047,3.74378397760893,1.25060085834684,-1.12575945168373,-5.12994125708201,0.112479975890437,-5.76996113514406,1.64186615649169,-1.85119193300579,-0.315887420419585,1.30336250015216,-0.881223471018075,1.71287130589417,2.53385173104971,-0.423989380449711,-1.34787107120883,-1.37368315471213,2.55376888063847,2.00664492422493,-5.77740784000662,-4.56225095492118,-3.65745511165778
,8,10.1165271310015,-3.70133580819675,-3.23875178606977,2.48820921286915,0.984014902182025,1.09251034438103,-2.25548601035052,-5.74800611974797,4.08972554316642,0.243077306827672,-2.14083312284401,-2.03571965654965,0.20142394731738,-2.72014513519616,2.69350835151999,-2.7398605097078,4.68793488027086,-1.36031109503392,-0.903724603303544,-1.01766944161091,5.19889400626016,-1.33032904124502,-3.41381344144793,-0.720713899281691,-2.9303885344716,-0.605638656638348,-0.338230959851444,2.55154043373477,-2.8144998356729,-0.885379277642187,3.59169748578142,0.514649903056579,-4.16932202347789,1.52383879949502,0.0439138375272705,-2.2268237465023,-1.53805912530515,1.23325416719854,-2.56384158733727,2.39490906534547,-0.275575293319889,-1.24699307432229,-3.22577260934258,3.17352257892708,-1.04864435719765,1.48353043188536,-0.325663224223717,1.47009053186366,-5.41445971851635,-4.70135036303054,-0.214405740199709,-1.06590286776736,0.844165936726313,-0.48643340990111,-2.52288897020344,-1.77385687928654,-4.78825809196906,-0.0404835947570064,0.0461406145168439
,9,3.13709443205107,4.91742277414232,-3.95110569691087,-2.64880157326706,-0.962441790955381,3.76992344965038,-1.94799879187713,-5.3091586317737,4.77277575868584,-3.03287794402286,-0.745717280943609,4.54255715622912,1.6571839252324,-0.811327682820775,1.58656801186044,-1.54675383568974,2.50391328946125,-3.00647382874195,1.20429719581671,2.47148694248472,1.6169288514343,2.79094751949606,0.826304474162498,-1.13767526483844,-1.57458729049404,-2.46948873989913,-3.27103381605184,0.623267606352329,-3.84323033014425,0.810246380367971,-0.846692720769624,3.09127802375588,-3.65494625640395,-4.03357508980798,-0.329640902432857,-2.06853428839759,-2.95227563104481,-1.30298078712167,-1.72905416470576,0.691126050142429,-5.09697419080567,-1.83658408777364,0.533310811622869,0.970871800487657,-2.29201058194258,0.421469393888401,0.218264822245146,-1.00470701055019,-6.09334814129124,-0.473025592026715,-2.14887401890383,0.245291524781805,2.95350344862072,0.295912590842363,-2.26768204947348,-5.12703653851304,-0.246101596927929,-2.30113591567397,1.19521023297784
,10,-0.305020461416916,0.436125117783376,2.06569659736033,0.443830199387776,-0.57790910791482,5.69619067565736,-1.37965284400752,-2.39850579622725,3.03070467001271,-1.02533281173237,-1.36595159895342,0.600537850693854,3.47513686104639,-0.220775899136697,1.06541461685674,-2.78621146251044,0.299583950912165,-1.36759698063133,-0.313991025672749,-4.26809789825074,-2.34043857251709,-1.08276565073356,4.99308206975002,2.07573157006618,2.99508393270025,-0.879920410125578,-1.30280894445468,1.696120135402,1.38602517868731,-0.436447893199329,0.273086309297014,1.76102356942556,-2.65770685247662,0.00942162652381739,1.3207990791966,-0.0218135676700513,-1.41803926905413,-1.01582869262893,0.831549976448514,-2.39970942141326,7.88025552572844,-2.93533470640114,4.25927938692621,5.40288599032147,0.360689521345648,2.13399465440807,-0.101049784887437,-1.14905108732773,-6.05802571478307,-1.52013806447849,-0.0710130201241554,-4.35704737353853,0.578917592096332,-1.9665905008269,-1.59038155564713,1.58845278853687,0.317195850972439,7.18942439103967,-2.04431428313046
