sample_no,pre_post_wet,cc_treatment,drying_treatment
1,pre,w_cc,one_wk
3,cw,w_cc,one_wk
4,cw,no_cc,one_wk
28,cw,no_cc,one_wk
29,cw,w_cc,one_wk
33,pre,w_cc,one_wk
44,cw,w_cc,one_wk
48,pre,no_cc,one_wk
49,pre,no_cc,one_wk
56,cw,w_cc,one_wk
62,pre,w_cc,one_wk
70,pre,no_cc,one_wk
78,pre,no_cc,one_wk
79,pre,w_cc,one_wk
88,pre,w_cc,one_wk
91,pre,no_cc,one_wk
95,cw,w_cc,one_wk
105,cw,no_cc,one_wk
109,cw,no_cc,one_wk
113,cw,no_cc,one_wk
