sample,date,total_auc
098_01,2022-02-17,111.2475
098_02,2022-02-17,97.76715
098_03,2022-02-17,135.34885
098_04,2022-02-17,108.21804
098_05,2022-02-17,62.061350000000004
098_06,2022-02-17,122.77995
10000ppm_01,2022-02-17,752.3245
10000ppm_02,2022-02-17,464.31170000000003
10000ppm_03,2022-02-17,496.4585
10000ppm_04,2022-02-17,542.8466999999999
10000ppm_05,2022-02-17,484.35550000000006
10000ppm_06,2022-02-17,499.5965
1000ppm_01,2022-02-17,56.12545
1000ppm_02,2022-02-17,54.372600000000006
1000ppm_03,2022-02-17,50.749469999999995
1000ppm_04,2022-02-17,19.6417
1000ppm_05,2022-02-17,54.0801
100ppm_01,2022-02-17,6.0912
100ppm_02,2022-02-17,7.5985249999999995
100ppm_03,2022-02-17,6.858675
100ppm_04,2022-02-17,10.429215
100ppm_05,2022-02-17,6.067305
100ppm_06,2022-02-17,11.070085
110_01,2022-02-17,2856.9798849999997
110_02,2022-02-17,9679.283805
110_03,2022-02-17,8032.88153
110_04,2022-02-17,7163.644805000001
110_05,2022-02-17,11970.06987
110_06,2022-02-17,9695.92298
023_01,2022-02-18,130.35681
023_02,2022-02-18,143.41625
023_03,2022-02-18,139.904995
023_04,2022-02-18,152.94449999999998
023_05,2022-02-18,173.199905
036_01,2022-02-18,137.07405
036_02,2022-02-18,128.31545
036_03,2022-02-18,127.21564000000001
036_04,2022-02-18,93.09110000000001
036_05,2022-02-18,137.39024999999998
040_01,2022-02-18,4471.37299
040_02,2022-02-18,4376.456715
040_03,2022-02-18,5269.409584999999
040_04,2022-02-18,4697.9476700000005
040_05,2022-02-18,6123.132370000001
046_01,2022-02-18,4310.35939
046_02,2022-02-18,3934.7366
046_03,2022-02-18,3939.33094
046_04,2022-02-18,4232.228175
046_05,2022-02-18,3623.4148149999996
098_01,2022-02-18,126.264
098_02,2022-02-18,130.1473
098_03,2022-02-18,202.57942500000001
098_04,2022-02-18,109.16114999999999
098_05,2022-02-18,111.50784999999999
098_06,2022-02-18,129.8654
10000ppm_01,2022-02-18,360.8095
10000ppm_02,2022-02-18,163.05700000000002
10000ppm_03,2022-02-18,400.82415
10000ppm_04,2022-02-18,503.01593
10000ppm_05,2022-02-18,599.51265
10000ppm_06,2022-02-18,370.81899999999996
1000ppm_01,2022-02-18,47.44789
1000ppm_02,2022-02-18,74.4506
1000ppm_03,2022-02-18,60.24119
1000ppm_04,2022-02-18,84.55393000000001
1000ppm_05,2022-02-18,31.58607
1000ppm_06,2022-02-18,37.06803
100ppm_01,2022-02-18,15.112549999999999
100ppm_02,2022-02-18,12.578975
100ppm_03,2022-02-18,10.056995
100ppm_04,2022-02-18,6.59924
100ppm_05,2022-02-18,9.391414999999999
100ppm_06,2022-02-18,10.66223
110_01,2022-02-18,14536.125790000002
110_02,2022-02-18,14690.452620000002
110_03,2022-02-18,16901.84011
110_04,2022-02-18,13986.203454999997
110_05,2022-02-18,22758.722729999998
023_01,2022-02-19,135.450445
023_02,2022-02-19,63.974500000000006
023_03,2022-02-19,139.58015
023_04,2022-02-19,149.31705
023_05,2022-02-19,156.03055
023_06,2022-02-19,152.78175
036_01,2022-02-19,138.3111
036_02,2022-02-19,127.85039
036_03,2022-02-19,110.82145
036_04,2022-02-19,106.77744500000001
036_05,2022-02-19,129.95385
040_01,2022-02-19,2777.7791649999995
040_02,2022-02-19,5464.069015
040_03,2022-02-19,12366.074744999998
040_04,2022-02-19,4745.760045
040_05,2022-02-19,4797.092475
046_01,2022-02-19,4920.4834200000005
046_02,2022-02-19,3791.049255
046_03,2022-02-19,4098.64721
046_04,2022-02-19,4903.791625
046_05,2022-02-19,4029.14629
098_01,2022-02-19,95.806475
098_02,2022-02-19,98.1169
098_03,2022-02-19,56.09852
098_04,2022-02-19,106.3007
098_05,2022-02-19,91.80595
10000ppm_01,2022-02-19,436.24232000000006
10000ppm_02,2022-02-19,465.6435
10000ppm_03,2022-02-19,188.31259999999997
10000ppm_04,2022-02-19,461.5886
10000ppm_05,2022-02-19,337.04875000000004
10000ppm_06,2022-02-19,456.8042
1000ppm_01,2022-02-19,23.166150000000002
1000ppm_02,2022-02-19,59.456685
1000ppm_03,2022-02-19,95.70894999999999
1000ppm_04,2022-02-19,42.20864999999999
1000ppm_05,2022-02-19,46.5815
1000ppm_06,2022-02-19,31.56925
1000ppm_07,2022-02-19,59.903999999999996
100ppm_01,2022-02-19,1.19859
100ppm_02,2022-02-19,10.424710000000001
100ppm_03,2022-02-19,3.8654200000000003
100ppm_04,2022-02-19,6.75015
100ppm_05,2022-02-19,2.08333
100ppm_06,2022-02-19,7.2024099999999995
110_01,2022-02-19,14189.086884999999
110_02,2022-02-19,7741.7007
110_03,2022-02-19,11267.43911
110_04,2022-02-19,17172.829285
110_05,2022-02-19,19725.98791
110_06,2022-02-19,26833.308685
033_01,2022-02-22,309.24885
033_02,2022-02-22,188.07225
033_03,2022-02-22,323.83565
033_04,2022-02-22,295.3516
033_05,2022-02-22,278.466
092_01,2022-02-22,689.1588
092_02,2022-02-22,735.408
092_03,2022-02-22,571.53789
092_04,2022-02-22,776.159705
092_05,2022-02-22,654.6265999999999
10000ppm_01,2022-02-22,540.241
10000ppm_02,2022-02-22,152.571655
10000ppm_03,2022-02-22,389.7353
10000ppm_04,2022-02-22,534.9601449999999
10000ppm_05,2022-02-22,314.99415999999997
1000ppm_01,2022-02-22,44.546200000000006
1000ppm_02,2022-02-22,80.9345
1000ppm_03,2022-02-22,21.54805
1000ppm_04,2022-02-22,49.431400000000004
1000ppm_05,2022-02-22,23.53355
1000ppm_06,2022-02-22,19.36607
100ppm_01,2022-02-22,2.38543
100ppm_02,2022-02-22,9.38684
100ppm_03,2022-02-22,10.216255
100ppm_04,2022-02-22,10.843465
100ppm_05,2022-02-22,3.5563650000000004
102_01,2022-02-22,28.73872
102_02,2022-02-22,40.559149999999995
102_03,2022-02-22,38.813649999999996
102_04,2022-02-22,34.73813
102_05,2022-02-22,41.7034
105_01,2022-02-22,38.41455
105_02,2022-02-22,63.046505
105_03,2022-02-22,46.27037
105_04,2022-02-22,40.344120000000004
105_05,2022-02-22,44.795114999999996
113_01,2022-02-22,801.625925
113_02,2022-02-22,910.702975
113_03,2022-02-22,907.1435
113_04,2022-02-22,1100.641
113_05,2022-02-22,864.1485
115_01,2022-02-22,37.781400000000005
115_02,2022-02-22,17.50685
115_03,2022-02-22,36.204495
115_04,2022-02-22,43.796305000000004
115_05,2022-02-22,34.78035
006_01,2022-02-23,203.7247
006_02,2022-02-23,189.43248
006_03,2022-02-23,139.2295
006_04,2022-02-23,177.53109999999998
006_05,2022-02-23,217.839975
012_01,2022-02-23,140.40165
012_02,2022-02-23,167.83659000000003
012_03,2022-02-23,132.43733
012_04,2022-02-23,185.90427000000003
012_05,2022-02-23,157.7461
012_06,2022-02-23,122.6345
018_01,2022-02-23,179.79145
018_02,2022-02-23,169.5506
018_03,2022-02-23,95.22399999999999
018_04,2022-02-23,137.287955
018_05,2022-02-23,162.49435
018_06,2022-02-23,143.501615
031_01,2022-02-23,2672.748945
031_02,2022-02-23,3478.696725
031_03,2022-02-23,3379.54458
031_04,2022-02-23,4583.185215
031_05,2022-02-23,4948.317150000001
031_06,2022-02-23,3715.20823
033_01,2022-02-23,2881.088705
033_02,2022-02-23,1675.0800849999998
033_03,2022-02-23,1808.69536
033_04,2022-02-23,1532.0298000000003
033_05,2022-02-23,2059.895435
033_06,2022-02-23,2031.405755
041_01,2022-02-23,160.72050000000002
041_02,2022-02-23,168.44255
041_03,2022-02-23,188.99710000000002
041_04,2022-02-23,150.42849999999999
041_05,2022-02-23,162.62253
041_06,2022-02-23,198.90255
050_01,2022-02-23,189.87865
050_02,2022-02-23,157.99251500000003
050_03,2022-02-23,162.61882
050_04,2022-02-23,187.410665
050_05,2022-02-23,183.68885
061_01,2022-02-23,3961.9982499999996
061_02,2022-02-23,3598.660025
061_03,2022-02-23,1708.54453
061_04,2022-02-23,1474.98198
061_05,2022-02-23,4340.97878
092_01,2022-02-23,8993.1479
092_02,2022-02-23,2971.42029
092_03,2022-02-23,2524.869245
092_04,2022-02-23,1446.6505800000002
092_05,2022-02-23,3370.3971500000002
096_01,2022-02-23,3377.86837
096_02,2022-02-23,2279.1755850000004
096_03,2022-02-23,4568.66459
096_04,2022-02-23,2944.74879
096_05,2022-02-23,3028.500985
10000ppm_01,2022-02-23,239.03668000000002
10000ppm_02,2022-02-23,208.19008000000002
10000ppm_03,2022-02-23,781.2611999999999
10000ppm_04,2022-02-23,352.71416
10000ppm_05,2022-02-23,702.265665
10000ppm_06,2022-02-23,561.7925100000001
1000ppm_01,2022-02-23,34.004340000000006
1000ppm_02,2022-02-23,55.65953
1000ppm_03,2022-02-23,52.41272
1000ppm_04,2022-02-23,48.7671
1000ppm_05,2022-02-23,31.228895
1000ppm_06,2022-02-23,51.694649999999996
100ppm_01,2022-02-23,9.137550000000001
100ppm_01b,2022-02-23,1.2521149999999999
100ppm_02,2022-02-23,5.15133
100ppm_02b,2022-02-23,3.8364849999999997
100ppm_03,2022-02-23,3.3799699999999993
100ppm_03b,2022-02-23,5.863835
100ppm_04,2022-02-23,12.440760000000001
100ppm_04b,2022-02-23,1.4611849999999997
100ppm_05,2022-02-23,8.51512
100ppm_05b,2022-02-23,3.81215
100ppm_06,2022-02-23,8.30309
100ppm_07,2022-02-23,10.772424999999998
102_01,2022-02-23,308.533525
102_02,2022-02-23,218.32173
102_03,2022-02-23,230.38867
102_04,2022-02-23,161.574665
102_05,2022-02-23,111.93715
103_01,2022-02-23,2280.0133299999998
103_02,2022-02-23,831.038235
103_03,2022-02-23,1116.819075
103_04,2022-02-23,1852.53242
103_05,2022-02-23,2424.88741
103_06,2022-02-23,2583.192625
105_01,2022-02-23,228.59548
105_02,2022-02-23,140.32798
105_03,2022-02-23,180.31370000000004
105_04,2022-02-23,168.559955
105_05,2022-02-23,184.59365
109_01,2022-02-23,5668.50626
109_02,2022-02-23,3589.82877
109_03,2022-02-23,2967.4864
109_04,2022-02-23,4197.26622
109_05,2022-02-23,809.6262849999999
109_06,2022-02-23,1483.544735
113_01,2022-02-23,4113.621905
113_02,2022-02-23,7602.192395
113_03,2022-02-23,3536.84022
113_04,2022-02-23,1579.5926850000003
113_05,2022-02-23,3274.17573
115_01,2022-02-23,231.42979
115_02,2022-02-23,81.22704999999999
115_03,2022-02-23,158.88706
115_04,2022-02-23,92.4792
115_05,2022-02-23,195.34240999999997
006_01,2022-02-24,0.34375
006_02,2022-02-24,13.407160000000001
006_03,2022-02-24,26.985
006_04,2022-02-24,32.592254999999994
006_05,2022-02-24,39.07355
006_06,2022-02-24,25.849649999999997
006_07,2022-02-24,116.3845
006_08,2022-02-24,126.038
006_09,2022-02-24,145.86583499999998
006_10,2022-02-24,116.75682000000002
006_11,2022-02-24,51.78695
012_01,2022-02-24,15.221150000000002
012_02,2022-02-24,57.385214999999995
012_03,2022-02-24,78.26145
012_04,2022-02-24,82.3403
012_05,2022-02-24,67.45985
012_06,2022-02-24,71.22585
012_07,2022-02-24,164.98691499999998
012_08,2022-02-24,122.3605
012_09,2022-02-24,142.64066000000003
012_10,2022-02-24,161.0009
012_11,2022-02-24,129.5053
018_01,2022-02-24,38.714985000000006
018_02,2022-02-24,62.6425
018_03,2022-02-24,68.04165
018_04,2022-02-24,94.35335
018_05,2022-02-24,0.593995
018_06,2022-02-24,126.425525
018_07,2022-02-24,202.24694999999997
018_08,2022-02-24,136.2159
018_09,2022-02-24,103.270725
