cc_treatment,drying_treatment,date,day_med,day_iqr
no_cc,one_wk,2022-02-23,4021.5365939131975,670.0723297442214
w_cc,one_wk,2022-02-24,160397.28535878393,90347.45590809901
no_cc,two_wk,2022-03-02,4730.3799642406775,733.3574502227948
w_cc,two_wk,2022-03-02,78551.21986588762,22013.89618644245
no_cc,four_wk,2022-03-16,3948.5241069187996,618.2452326787029
w_cc,four_wk,2022-03-16,56394.65893057056,10048.903857307232
