sample_no,cc_treatment,drying_treatment,pre_post_wet,leach_nh3_per_median,leach_no2no3_per_median,ext_nh3_per_median,ext_no2no3_per_median,ratio_nh3,ratio_no2no3
1,no_cc,initial,initial,0.400266844563042,4.162775183455637,2.8143954710877472,5.895673271330368,0.14222125094890847,0.7060729100607538
2,w_cc,two_wk,pre,4.170552964690207,33.67255163224517,18.39392728725529,65.05793048341988,0.22673531864942634,0.5175779706184578
3,no_cc,all_dry,all_dry,0,5.27787049399199,3.272799840351227,13.163041309119937,0,0.4009613257336849
4,w_cc,two_wk,pre,5.238333333333332,39.701666666666675,31.212361331220286,71.58478605388272,0.16782880595751878,0.5546103977566232
5,w_cc,two_wk,cw,0,0,3.696474805815575,162.43776140211114,0,0
6,no_cc,one_wk,post,0.05336891260840561,5.707138092061374,1.1610337972166997,8.954274353876738,0.045966717537719214,0.637364667030833
7,no_cc,one_wk,pre,0.2237192282102462,6.4778775781769795,3.033551717292039,6.360929124478856,0.07374828223134883,1.0183854357452387
8,no_cc,one_wk,cw,0.26525198938992045,4.9552387267904505,2.440276406712734,8.11056268509378,0.10869751830582097,0.6109611526580728
9,w_cc,initial,initial,4.357476635514019,1.9092122830440585,3.050640634533252,6.719544437665243,1.4283808411214955,0.28412823231621176
10,no_cc,four_wk,post,0,6.791666666666667,2.2857142857142856,16.71928071928072,0,0.40621763463989796
11,w_cc,one_wk,cw,1.5716666666666665,13.6,11.047162270183852,41.03117505995204,0.14226881331403762,0.33145528930450024
12,no_cc,one_wk,post,NA,NA,2.0049627791563274,23.76178660049628,NA,NA
13,no_cc,four_wk,post,0,7.564956695536309,2.245305633240112,14.918098282061527,0,0.5070992664415475
14,w_cc,all_dry,all_dry,9.457390146471372,26.236684420772303,74.78504299140171,69.0741851629674,0.1264609842847683,0.3798334263208728
15,no_cc,initial,initial,0.5518617021276596,5.59341755319149,10.25843361609785,3.251134346024857,0.05379590323240589,1.7204510665732802
16,w_cc,four_wk,cw,0.675,0,3.2127872127872132,188.76323676323676,0.210097947761194,0
17,w_cc,four_wk,cw,0.5953177257525084,81.73578595317727,2.8035143769968047,154.46485623003193,0.21234694947069532,0.5291545788995189
18,no_cc,one_wk,post,0.40360240160106736,8.970980653769178,1.7391304347826086,10.450737933785401,0.23207138092061375,0.8584064312595164
